Date,Closing Price
10/05/2022,28.90
09/05/2022,29.95
06/05/2022,31.50
05/05/2022,32.10
04/05/2022,32.20
29/04/2022,32.15
28/04/2022,31.90
27/04/2022,31.30
26/04/2022,31.25
25/04/2022,31.50
22/04/2022,32.40
21/04/2022,31.40
20/04/2022,30.90
19/04/2022,31.20
18/04/2022,31.60
15/04/2022,32.40
14/04/2022,33.30
13/04/2022,33.30
12/04/2022,33.35
08/04/2022,33.00
07/04/2022,34.40
06/04/2022,34.60
05/04/2022,35.00
04/04/2022,35.20
01/04/2022,34.90
31/03/2022,35.30
30/03/2022,35.30
29/03/2022,35.80
28/03/2022,35.90
25/03/2022,36.00
24/03/2022,36.20
23/03/2022,35.55
22/03/2022,35.40
21/03/2022,35.40
18/03/2022,35.50
17/03/2022,35.50
16/03/2022,35.50
15/03/2022,35.50
14/03/2022,34.90
11/03/2022,36.30
10/03/2022,36.20
09/03/2022,35.75
08/03/2022,36.40
07/03/2022,37.00
04/03/2022,37.00
03/03/2022,37.40
02/03/2022,37.40
01/03/2022,37.60
28/02/2022,37.60
25/02/2022,37.75
24/02/2022,37.70
23/02/2022,38.00
22/02/2022,37.80
21/02/2022,38.50
18/02/2022,39.00
17/02/2022,39.00
16/02/2022,40.00
15/02/2022,40.40
14/02/2022,42.10
11/02/2022,42.40
21/01/2022,39.80
20/01/2022,39.40
19/01/2022,39.00
18/01/2022,39.60
17/01/2022,39.20
14/01/2022,39.70
13/01/2022,39.70
12/01/2022,39.50
11/01/2022,40.50
10/01/2022,40.30
07/01/2022,40.90
06/01/2022,40.80
05/01/2022,41.80
04/01/2022,41.90
31/12/2021,39.20
30/12/2021,38.70
29/12/2021,38.00
28/12/2021,38.50
27/12/2021,39.00
24/12/2021,38.40
23/12/2021,38.50
21/12/2021,40.20
20/12/2021,38.40
17/12/2021,38.10
16/12/2021,38.00
15/12/2021,37.00
14/12/2021,34.60
13/12/2021,34.20
10/12/2021,34.10
09/12/2021,33.90
08/12/2021,34.90
07/12/2021,35.00
06/12/2021,33.30
03/12/2021,34.30
02/12/2021,34.80
01/12/2021,35.50
30/11/2021,35.00
29/11/2021,35.00
26/11/2021,36.20
25/11/2021,36.40
24/11/2021,36.50
23/11/2021,36.20
22/11/2021,35.70
19/11/2021,37.30
18/11/2021,37.00
17/11/2021,37.00
16/11/2021,37.50
15/11/2021,37.70
12/11/2021,38.10
11/11/2021,36.60
10/11/2021,32.70
09/11/2021,31.20
08/11/2021,31.30
05/11/2021,31.40
04/11/2021,31.40
03/11/2021,31.10
02/11/2021,32.20
01/11/2021,32.70
29/10/2021,32.00
28/10/2021,29.70
27/10/2021,29.00
26/10/2021,29.00
25/10/2021,29.10
22/10/2021,29.40
21/10/2021,28.70
20/10/2021,29.20
19/10/2021,29.30
18/10/2021,29.00
15/10/2021,29.30
14/10/2021,29.60
13/10/2021,29.40
12/10/2021,29.60
11/10/2021,29.70
08/10/2021,29.80
07/10/2021,30.70
06/10/2021,31.90
05/10/2021,32.60
04/10/2021,32.70
01/10/2021,28.30
30/09/2021,28.40
29/09/2021,28.30
28/09/2021,27.40
27/09/2021,27.00
24/09/2021,28.30
23/09/2021,28.60
22/09/2021,29.00
21/09/2021,28.00
20/09/2021,29.30
17/09/2021,30.50
16/09/2021,30.00
15/09/2021,29.30
14/09/2021,28.80
13/09/2021,29.40
10/09/2021,29.90
09/09/2021,31.00
08/09/2021,28.00
07/09/2021,28.00
06/09/2021,29.30
01/09/2021,29.50
31/08/2021,26.60
30/08/2021,24.10
27/08/2021,22.00
26/08/2021,19.70
25/08/2021,19.70
24/08/2021,19.70
23/08/2021,20.20
20/08/2021,19.70
19/08/2021,20.10
18/08/2021,20.30
16/08/2021,19.50
13/08/2021,18.20
12/08/2021,18.30
11/08/2021,18.50
10/08/2021,17.60
09/08/2021,17.50
06/08/2021,17.60
05/08/2021,17.70
04/08/2021,17.60
03/08/2021,17.70
02/08/2021,17.60
30/07/2021,18.40
29/07/2021,18.50
28/07/2021,18.50
27/07/2021,18.60
26/07/2021,17.80
23/07/2021,17.70
22/07/2021,18.90
21/07/2021,18.30
20/07/2021,18.40
19/07/2021,18.30
16/07/2021,18.90
15/07/2021,19.20
14/07/2021,18.40
13/07/2021,18.30
12/07/2021,17.80
09/07/2021,18.90
08/07/2021,19.00
07/07/2021,18.90
06/07/2021,18.90
05/07/2021,20.80
02/07/2021,20.20
01/07/2021,18.90
30/06/2021,17.50
29/06/2021,17.40
28/06/2021,17.20
25/06/2021,17.40
24/06/2021,17.70
23/06/2021,17.80
22/06/2021,17.90
18/06/2021,17.40
17/06/2021,17.30
16/06/2021,17.20
15/06/2021,17.00
14/06/2021,17.30
11/06/2021,17.00
10/06/2021,17.30
09/06/2021,17.60
08/06/2021,17.70
07/06/2021,17.50
04/06/2021,17.80
03/06/2021,17.40
02/06/2021,17.20
01/06/2021,17.20
31/05/2021,17.20
28/05/2021,17.30
27/05/2021,17.30
26/05/2021,17.50
25/05/2021,17.40
24/05/2021,17.20
21/05/2021,16.90
20/05/2021,16.90
19/05/2021,17.00
18/05/2021,16.90
17/05/2021,17.00
14/05/2021,16.70
13/05/2021,16.80
12/05/2021,16.90
11/05/2021,17.00
07/05/2021,17.20
06/05/2021,17.40
05/05/2021,17.30
04/05/2021,17.50
29/04/2021,16.90
28/04/2021,16.90
27/04/2021,16.50
26/04/2021,16.90
23/04/2021,17.00
22/04/2021,16.50
20/04/2021,17.20
19/04/2021,17.40
16/04/2021,17.40
15/04/2021,17.60
14/04/2021,18.20
13/04/2021,18.30
12/04/2021,19.00
09/04/2021,18.10
08/04/2021,17.10
07/04/2021,17.00
06/04/2021,16.90
05/04/2021,17.40
02/04/2021,17.40
01/04/2021,17.50
31/03/2021,17.30
30/03/2021,17.40
29/03/2021,17.40
25/03/2021,17.10
24/03/2021,17.30
23/03/2021,17.40
22/03/2021,17.50
19/03/2021,17.80
18/03/2021,17.60
17/03/2021,17.80
16/03/2021,18.00
15/03/2021,17.90
12/03/2021,18.00
11/03/2021,18.10
10/03/2021,18.00
09/03/2021,18.00
05/03/2021,17.90
04/03/2021,17.90
03/03/2021,18.00
02/03/2021,18.00
01/03/2021,18.20
26/02/2021,18.00
25/02/2021,18.10
24/02/2021,18.10
23/02/2021,18.30
22/02/2021,18.20
19/02/2021,18.30
18/02/2021,18.40
17/02/2021,18.40
09/02/2021,18.20
08/02/2021,17.50
05/02/2021,18.00
04/02/2021,17.90
03/02/2021,18.90
02/02/2021,17.40
01/02/2021,17.00
29/01/2021,17.00
28/01/2021,15.30
27/01/2021,17.00
26/01/2021,18.10
25/01/2021,18.50
22/01/2021,18.50
21/01/2021,18.60
20/01/2021,19.00
19/01/2021,18.80
18/01/2021,19.00
15/01/2021,18.40
14/01/2021,18.20
13/01/2021,18.20
12/01/2021,18.30
11/01/2021,18.80
08/01/2021,19.00
07/01/2021,18.80
06/01/2021,18.90
05/01/2021,18.30
04/01/2021,17.90
31/12/2020,17.50
30/12/2020,17.40
29/12/2020,16.80
28/12/2020,17.30
25/12/2020,16.80
24/12/2020,17.10
23/12/2020,18.10
22/12/2020,18.00
21/12/2020,16.70
18/12/2020,15.80
17/12/2020,15.80
16/12/2020,15.70
15/12/2020,15.90
14/12/2020,16.00
11/12/2020,15.90
10/12/2020,15.70
09/12/2020,15.80
08/12/2020,15.50
07/12/2020,15.20
04/12/2020,15.40
03/12/2020,15.00
02/12/2020,14.80
01/12/2020,14.70
30/11/2020,14.80
26/11/2020,15.60
25/11/2020,15.80
24/11/2020,16.00
19/11/2020,14.30
18/11/2020,13.80
17/11/2020,13.90
16/11/2020,12.70
13/11/2020,12.20
12/11/2020,12.00
11/11/2020,12.10
10/11/2020,12.30
09/11/2020,12.50
06/11/2020,12.40
05/11/2020,12.20
04/11/2020,12.10
03/11/2020,12.90
02/11/2020,12.30
30/10/2020,12.40
29/10/2020,11.50
28/10/2020,11.40
27/10/2020,11.90
26/10/2020,11.20
23/10/2020,11.70
22/10/2020,11.60
21/10/2020,11.50
20/10/2020,11.80
19/10/2020,11.70
16/10/2020,11.80
15/10/2020,11.40
14/10/2020,11.70
13/10/2020,11.80
12/10/2020,11.90
09/10/2020,11.60
08/10/2020,11.70
07/10/2020,12.10
06/10/2020,11.70
05/10/2020,12.50
02/10/2020,11.60
01/10/2020,11.90
30/09/2020,11.50
29/09/2020,11.60
28/09/2020,11.70
25/09/2020,11.70
24/09/2020,11.80
23/09/2020,12.00
22/09/2020,11.80
21/09/2020,11.90
18/09/2020,12.00
17/09/2020,11.90
16/09/2020,12.00
15/09/2020,12.40
14/09/2020,12.40
11/09/2020,12.90
10/09/2020,13.00
09/09/2020,13.40
08/09/2020,12.40
07/09/2020,11.80
04/09/2020,11.60
03/09/2020,11.80
01/09/2020,12.00
31/08/2020,11.90
28/08/2020,11.30
27/08/2020,11.10
26/08/2020,11.00
25/08/2020,10.30
24/08/2020,10.50
21/08/2020,10.60
20/08/2020,10.50
19/08/2020,10.50
18/08/2020,10.60
17/08/2020,10.80
14/08/2020,10.50
13/08/2020,10.40
12/08/2020,10.80
11/08/2020,10.50
10/08/2020,10.70
07/08/2020,10.50
06/08/2020,10.80
05/08/2020,10.80
04/08/2020,10.50
03/08/2020,10.80
31/07/2020,10.70
30/07/2020,10.60
29/07/2020,10.20
28/07/2020,11.90
27/07/2020,10.40
24/07/2020,10.60
23/07/2020,9.80
22/07/2020,9.20
21/07/2020,10.40
20/07/2020,10.40
17/07/2020,10.20
16/07/2020,10.10
15/07/2020,10.40
14/07/2020,10.30
13/07/2020,10.90
10/07/2020,10.90
09/07/2020,10.90
08/07/2020,10.20
07/07/2020,10.10
06/07/2020,10.10
03/07/2020,10.10
02/07/2020,10.10
01/07/2020,10.50
30/06/2020,10.50
29/06/2020,10.50
26/06/2020,10.50
25/06/2020,10.50
24/06/2020,10.50
23/06/2020,10.50
22/06/2020,10.50
19/06/2020,10.10
18/06/2020,10.50
17/06/2020,10.50
16/06/2020,10.50
15/06/2020,10.50
12/06/2020,10.50
11/06/2020,10.50
10/06/2020,10.50
09/06/2020,10.50
08/06/2020,10.50
05/06/2020,10.50
04/06/2020,10.50
03/06/2020,10.50
02/06/2020,10.90
01/06/2020,12.60
29/05/2020,12.30
28/05/2020,12.00
27/05/2020,11.90
26/05/2020,10.50
25/05/2020,10.40
22/05/2020,10.40
21/05/2020,10.30
20/05/2020,10.70
19/05/2020,10.50
18/05/2020,11.10
15/05/2020,11.90
14/05/2020,11.60
13/05/2020,11.60
12/05/2020,11.70
11/05/2020,11.90
08/05/2020,11.90
07/05/2020,11.90
06/05/2020,11.90
05/05/2020,11.00
04/05/2020,10.20
29/04/2020,10.20
28/04/2020,10.20
27/04/2020,10.20
24/04/2020,10.20
23/04/2020,11.10
22/04/2020,11.10
21/04/2020,10.50
20/04/2020,10.30
17/04/2020,10.60
16/04/2020,10.60
15/04/2020,10.60
14/04/2020,10.20
13/04/2020,10.20
10/04/2020,10.20
09/04/2020,10.20
08/04/2020,10.30
07/04/2020,10.30
06/04/2020,9.60
03/04/2020,9.60
01/04/2020,9.60
31/03/2020,9.50
30/03/2020,10.90
27/03/2020,10.90
26/03/2020,11.00
25/03/2020,9.60
24/03/2020,10.90
23/03/2020,11.10
20/03/2020,11.00
19/03/2020,10.90
18/03/2020,10.90
17/03/2020,10.90
16/03/2020,11.00
13/03/2020,9.80
12/03/2020,10.00
11/03/2020,10.20
10/03/2020,10.20
09/03/2020,10.10
06/03/2020,10.30
05/03/2020,10.30
04/03/2020,10.50
