Date,Closing Price
10/05/2022,11.30
09/05/2022,11.20
06/05/2022,11.45
05/05/2022,12.00
04/05/2022,12.00
29/04/2022,12.35
28/04/2022,11.90
27/04/2022,11.55
26/04/2022,11.85
25/04/2022,11.40
22/04/2022,11.70
21/04/2022,11.90
20/04/2022,11.60
19/04/2022,11.70
18/04/2022,11.80
15/04/2022,12.65
14/04/2022,12.75
13/04/2022,12.75
12/04/2022,12.80
08/04/2022,13.20
07/04/2022,13.15
06/04/2022,13.10
05/04/2022,13.40
04/04/2022,13.30
01/04/2022,13.50
31/03/2022,13.50
30/03/2022,13.20
29/03/2022,13.45
28/03/2022,13.45
25/03/2022,13.40
24/03/2022,13.40
23/03/2022,13.40
22/03/2022,13.50
21/03/2022,13.50
18/03/2022,13.65
17/03/2022,13.65
16/03/2022,13.80
15/03/2022,14.20
14/03/2022,14.10
11/03/2022,14.30
10/03/2022,14.60
09/03/2022,14.70
08/03/2022,14.40
07/03/2022,14.50
04/03/2022,14.45
03/03/2022,15.25
02/03/2022,14.55
01/03/2022,13.60
28/02/2022,13.00
25/02/2022,13.05
24/02/2022,13.50
23/02/2022,13.95
22/02/2022,13.70
21/02/2022,13.90
18/02/2022,13.00
17/02/2022,12.60
16/02/2022,12.20
15/02/2022,12.45
14/02/2022,12.35
11/02/2022,12.25
10/02/2022,12.20
09/02/2022,12.00
08/02/2022,12.00
07/02/2022,11.55
28/01/2022,11.40
27/01/2022,11.60
26/01/2022,11.35
25/01/2022,11.35
24/01/2022,11.35
21/01/2022,11.70
20/01/2022,11.90
19/01/2022,11.45
18/01/2022,11.50
17/01/2022,11.70
14/01/2022,11.85
13/01/2022,12.00
12/01/2022,11.95
11/01/2022,12.30
10/01/2022,12.45
07/01/2022,12.50
06/01/2022,12.35
05/01/2022,12.20
04/01/2022,12.15
31/12/2021,11.90
30/12/2021,12.05
29/12/2021,12.05
28/12/2021,12.05
27/12/2021,11.70
24/12/2021,11.85
23/12/2021,11.75
22/12/2021,11.90
21/12/2021,11.90
20/12/2021,11.90
17/12/2021,12.00
16/12/2021,12.00
15/12/2021,12.20
14/12/2021,12.20
13/12/2021,12.30
10/12/2021,12.00
09/12/2021,12.00
08/12/2021,12.00
07/12/2021,12.00
06/12/2021,12.10
03/12/2021,12.40
02/12/2021,12.50
01/12/2021,12.25
30/11/2021,12.30
29/11/2021,12.30
26/11/2021,12.45
25/11/2021,12.50
24/11/2021,12.70
23/11/2021,12.45
22/11/2021,12.50
19/11/2021,12.70
18/11/2021,12.70
17/11/2021,12.85
16/11/2021,13.00
15/11/2021,13.30
12/11/2021,12.80
11/11/2021,12.80
10/11/2021,12.75
09/11/2021,12.70
08/11/2021,12.75
05/11/2021,12.80
04/11/2021,12.80
03/11/2021,12.70
02/11/2021,12.80
01/11/2021,12.85
29/10/2021,13.20
28/10/2021,13.10
27/10/2021,13.10
26/10/2021,12.85
25/10/2021,12.75
22/10/2021,12.70
21/10/2021,12.80
20/10/2021,12.75
19/10/2021,12.70
18/10/2021,12.75
15/10/2021,12.80
14/10/2021,13.15
13/10/2021,12.85
12/10/2021,12.80
11/10/2021,12.90
08/10/2021,13.20
07/10/2021,13.20
06/10/2021,13.50
05/10/2021,13.25
04/10/2021,12.50
01/10/2021,12.20
30/09/2021,12.30
29/09/2021,12.20
28/09/2021,12.00
27/09/2021,12.00
24/09/2021,12.30
23/09/2021,12.75
22/09/2021,12.40
21/09/2021,11.95
20/09/2021,11.95
17/09/2021,12.00
16/09/2021,11.90
15/09/2021,12.15
14/09/2021,12.40
13/09/2021,12.15
10/09/2021,12.10
09/09/2021,11.75
08/09/2021,11.70
07/09/2021,11.70
06/09/2021,11.85
01/09/2021,11.55
31/08/2021,11.40
30/08/2021,11.35
27/08/2021,11.35
26/08/2021,11.55
25/08/2021,11.40
24/08/2021,11.35
23/08/2021,11.15
20/08/2021,11.40
19/08/2021,11.50
18/08/2021,11.90
17/08/2021,11.60
16/08/2021,12.05
13/08/2021,12.40
12/08/2021,12.45
11/08/2021,11.65
10/08/2021,10.90
09/08/2021,10.80
06/08/2021,10.80
05/08/2021,10.80
04/08/2021,10.80
03/08/2021,10.60
02/08/2021,10.70
30/07/2021,10.90
29/07/2021,10.80
28/07/2021,10.80
27/07/2021,10.80
26/07/2021,11.40
23/07/2021,11.40
22/07/2021,13.00
21/07/2021,12.50
20/07/2021,12.60
19/07/2021,12.35
16/07/2021,12.50
15/07/2021,11.70
14/07/2021,12.50
13/07/2021,12.75
12/07/2021,12.20
09/07/2021,11.75
08/07/2021,11.90
07/07/2021,11.90
06/07/2021,12.00
05/07/2021,12.00
02/07/2021,12.10
01/07/2021,12.50
30/06/2021,12.30
29/06/2021,12.30
28/06/2021,12.50
25/06/2021,12.50
24/06/2021,12.50
23/06/2021,12.40
22/06/2021,12.50
21/06/2021,12.40
18/06/2021,12.45
17/06/2021,12.45
16/06/2021,12.15
15/06/2021,12.15
14/06/2021,12.50
