Date,Closing Price
10/05/2022,9.01
09/05/2022,9.01
06/05/2022,9.01
05/05/2022,9.50
04/05/2022,9.42
29/04/2022,8.81
28/04/2022,9.40
27/04/2022,9.40
26/04/2022,10.10
25/04/2022,10.10
22/04/2022,10.00
21/04/2022,10.00
20/04/2022,10.20
19/04/2022,10.25
18/04/2022,11.00
15/04/2022,10.95
14/04/2022,10.95
13/04/2022,10.95
12/04/2022,10.95
08/04/2022,10.95
07/04/2022,10.95
06/04/2022,10.95
05/04/2022,10.95
04/04/2022,10.50
01/04/2022,10.30
31/03/2022,10.30
30/03/2022,10.75
29/03/2022,11.50
28/03/2022,11.50
25/03/2022,11.50
24/03/2022,11.50
23/03/2022,11.50
22/03/2022,11.50
21/03/2022,11.50
18/03/2022,11.50
17/03/2022,10.90
16/03/2022,10.90
15/03/2022,10.90
14/03/2022,11.30
11/03/2022,10.60
10/03/2022,10.50
09/03/2022,10.00
08/03/2022,10.40
07/03/2022,10.40
04/03/2022,10.60
03/03/2022,10.60
02/03/2022,10.60
01/03/2022,10.20
28/02/2022,10.20
25/02/2022,9.54
24/02/2022,9.54
23/02/2022,10.20
22/02/2022,10.20
21/02/2022,10.25
18/02/2022,10.25
17/02/2022,9.70
16/02/2022,9.60
15/02/2022,9.70
14/02/2022,10.40
11/02/2022,10.40
10/02/2022,10.00
09/02/2022,9.45
08/02/2022,9.45
07/02/2022,9.45
28/01/2022,9.45
27/01/2022,9.45
26/01/2022,9.45
25/01/2022,9.45
24/01/2022,9.45
21/01/2022,9.90
20/01/2022,9.90
19/01/2022,9.90
18/01/2022,10.60
17/01/2022,11.10
14/01/2022,11.90
13/01/2022,11.90
12/01/2022,12.00
11/01/2022,12.85
10/01/2022,12.85
07/01/2022,12.85
06/01/2022,12.05
05/01/2022,12.85
04/01/2022,12.85
31/12/2021,13.50
30/12/2021,13.50
29/12/2021,12.80
28/12/2021,12.05
27/12/2021,11.30
24/12/2021,11.30
23/12/2021,11.30
22/12/2021,11.45
21/12/2021,11.45
20/12/2021,11.45
17/12/2021,11.50
16/12/2021,10.90
15/12/2021,10.90
14/12/2021,11.55
13/12/2021,11.55
10/12/2021,10.80
09/12/2021,10.80
08/12/2021,11.55
