Date,Closing Price
10/05/2022,18.70
09/05/2022,17.95
06/05/2022,19.25
05/05/2022,20.50
04/05/2022,20.50
29/04/2022,20.30
28/04/2022,19.40
27/04/2022,19.65
26/04/2022,19.50
25/04/2022,18.60
22/04/2022,20.00
21/04/2022,21.00
20/04/2022,21.50
19/04/2022,23.00
18/04/2022,22.50
15/04/2022,23.50
14/04/2022,23.80
13/04/2022,23.55
12/04/2022,23.00
08/04/2022,23.80
07/04/2022,24.70
06/04/2022,24.50
05/04/2022,25.05
04/04/2022,25.10
01/04/2022,25.30
31/03/2022,25.70
30/03/2022,25.60
29/03/2022,26.70
28/03/2022,26.00
25/03/2022,25.60
24/03/2022,25.60
23/03/2022,25.70
22/03/2022,26.35
21/03/2022,26.00
18/03/2022,25.80
17/03/2022,25.80
16/03/2022,25.30
15/03/2022,25.50
14/03/2022,24.65
11/03/2022,26.30
10/03/2022,27.65
09/03/2022,28.45
08/03/2022,27.70
07/03/2022,29.10
04/03/2022,27.40
03/03/2022,27.80
02/03/2022,26.00
01/03/2022,25.00
28/02/2022,24.90
25/02/2022,24.30
24/02/2022,25.00
23/02/2022,24.85
22/02/2022,23.25
21/02/2022,23.00
18/02/2022,22.90
17/02/2022,23.05
16/02/2022,22.95
15/02/2022,22.80
14/02/2022,23.20
11/02/2022,22.85
10/02/2022,23.10
09/02/2022,23.00
08/02/2022,22.25
07/02/2022,21.90
28/01/2022,21.20
27/01/2022,21.00
26/01/2022,21.40
25/01/2022,21.50
24/01/2022,21.65
21/01/2022,21.80
20/01/2022,22.00
19/01/2022,21.20
18/01/2022,21.00
17/01/2022,21.95
14/01/2022,23.30
13/01/2022,23.10
12/01/2022,23.90
11/01/2022,23.40
10/01/2022,24.00
07/01/2022,25.00
06/01/2022,24.85
05/01/2022,24.90
04/01/2022,25.20
31/12/2021,24.10
30/12/2021,23.80
29/12/2021,23.70
28/12/2021,23.75
27/12/2021,24.00
24/12/2021,23.80
23/12/2021,23.70
22/12/2021,22.80
21/12/2021,23.25
20/12/2021,23.15
17/12/2021,24.00
16/12/2021,24.10
15/12/2021,24.35
14/12/2021,24.20
13/12/2021,23.90
10/12/2021,23.35
09/12/2021,23.15
08/12/2021,22.70
07/12/2021,23.00
06/12/2021,22.00
03/12/2021,23.10
02/12/2021,24.00
01/12/2021,24.00
30/11/2021,23.60
29/11/2021,23.60
26/11/2021,23.85
25/11/2021,23.80
24/11/2021,24.00
23/11/2021,24.35
22/11/2021,23.00
19/11/2021,24.50
18/11/2021,25.00
17/11/2021,25.80
16/11/2021,26.20
15/11/2021,26.10
12/11/2021,25.60
