Date,Closing Price
10/05/2022,5.19
09/05/2022,5.12
06/05/2022,5.50
05/05/2022,5.72
04/05/2022,6.00
29/04/2022,6.31
28/04/2022,6.12
27/04/2022,6.09
26/04/2022,5.70
25/04/2022,5.34
22/04/2022,5.74
21/04/2022,6.17
20/04/2022,6.63
19/04/2022,7.12
18/04/2022,7.65
15/04/2022,8.17
14/04/2022,8.38
13/04/2022,8.66
12/04/2022,8.33
08/04/2022,8.65
07/04/2022,8.41
06/04/2022,8.70
05/04/2022,8.57
04/04/2022,8.01
01/04/2022,7.63
31/03/2022,7.38
30/03/2022,7.84
29/03/2022,8.42
28/03/2022,8.18
25/03/2022,8.17
24/03/2022,7.64
23/03/2022,7.65
22/03/2022,7.61
21/03/2022,7.59
18/03/2022,7.58
17/03/2022,7.55
16/03/2022,7.70
15/03/2022,7.35
14/03/2022,7.32
11/03/2022,7.47
10/03/2022,7.35
09/03/2022,7.32
08/03/2022,7.44
07/03/2022,7.46
04/03/2022,7.19
03/03/2022,7.11
02/03/2022,6.88
01/03/2022,7.00
28/02/2022,6.55
25/02/2022,6.38
24/02/2022,6.25
23/02/2022,6.59
22/02/2022,6.53
21/02/2022,6.71
18/02/2022,6.64
17/02/2022,6.45
16/02/2022,6.55
15/02/2022,6.48
14/02/2022,6.65
11/02/2022,6.41
10/02/2022,6.89
09/02/2022,6.44
08/02/2022,6.02
07/02/2022,5.63
28/01/2022,5.27
27/01/2022,5.12
26/01/2022,5.50
25/01/2022,5.70
24/01/2022,5.80
21/01/2022,6.23
20/01/2022,5.83
19/01/2022,5.45
18/01/2022,5.85
17/01/2022,6.28
14/01/2022,6.75
13/01/2022,7.25
12/01/2022,7.79
11/01/2022,8.37
10/01/2022,8.99
07/01/2022,8.86
06/01/2022,8.70
05/01/2022,8.55
04/01/2022,8.32
31/12/2021,8.32
30/12/2021,8.75
29/12/2021,9.28
28/12/2021,8.68
27/12/2021,8.12
24/12/2021,8.02
23/12/2021,7.66
22/12/2021,7.17
21/12/2021,7.10
20/12/2021,6.99
17/12/2021,7.20
16/12/2021,7.32
15/12/2021,6.85
14/12/2021,6.80
13/12/2021,6.85
10/12/2021,6.60
09/12/2021,6.63
08/12/2021,6.60
07/12/2021,6.70
06/12/2021,6.51
03/12/2021,7.00
02/12/2021,6.74
01/12/2021,6.30
30/11/2021,6.26
29/11/2021,6.33
26/11/2021,6.10
25/11/2021,6.19
24/11/2021,6.26
23/11/2021,6.27
22/11/2021,6.42
19/11/2021,6.90
18/11/2021,6.67
17/11/2021,6.24
16/11/2021,5.84
15/11/2021,6.27
12/11/2021,5.87
11/11/2021,5.49
10/11/2021,5.38
09/11/2021,5.24
08/11/2021,5.24
05/11/2021,4.90
04/11/2021,4.80
03/11/2021,4.78
02/11/2021,5.02
01/11/2021,4.70
29/10/2021,4.85
28/10/2021,4.68
27/10/2021,4.72
26/10/2021,4.67
25/10/2021,4.58
22/10/2021,4.80
21/10/2021,4.94
20/10/2021,4.91
19/10/2021,4.59
18/10/2021,4.29
15/10/2021,4.30
14/10/2021,4.16
13/10/2021,4.16
12/10/2021,4.21
11/10/2021,4.28
08/10/2021,4.39
07/10/2021,4.46
06/10/2021,4.36
05/10/2021,4.39
04/10/2021,4.11
01/10/2021,4.27
30/09/2021,4.14
29/09/2021,4.45
28/09/2021,4.27
27/09/2021,4.59
24/09/2021,4.93
23/09/2021,5.30
22/09/2021,5.29
21/09/2021,4.95
20/09/2021,4.63
17/09/2021,4.33
16/09/2021,4.62
15/09/2021,4.32
14/09/2021,4.04
13/09/2021,3.78
10/09/2021,3.54
09/09/2021,3.31
08/09/2021,3.10
07/09/2021,3.18
06/09/2021,2.99
27/08/2021,2.80
26/08/2021,2.80
25/08/2021,2.90
24/08/2021,2.80
23/08/2021,2.90
20/08/2021,2.90
19/08/2021,3.00
18/08/2021,3.10
17/08/2021,3.20
16/08/2021,3.10
13/08/2021,3.10
12/08/2021,3.10
11/08/2021,3.00
10/08/2021,2.80
09/08/2021,2.80
06/08/2021,2.80
05/08/2021,2.90
04/08/2021,2.70
03/08/2021,2.60
02/08/2021,2.80
30/07/2021,2.70
29/07/2021,2.50
28/07/2021,2.60
27/07/2021,2.70
26/07/2021,2.70
23/07/2021,2.60
22/07/2021,2.70
21/07/2021,2.60
20/07/2021,2.60
19/07/2021,2.50
16/07/2021,2.70
15/07/2021,2.80
14/07/2021,2.70
13/07/2021,2.80
12/07/2021,2.70
09/07/2021,2.90
08/07/2021,3.00
07/07/2021,2.80
06/07/2021,2.90
05/07/2021,3.00
02/07/2021,3.10
01/07/2021,3.00
30/06/2021,3.10
29/06/2021,3.10
28/06/2021,3.10
25/06/2021,3.10
24/06/2021,3.10
23/06/2021,3.10
22/06/2021,3.20
21/06/2021,3.20
18/06/2021,3.30
17/06/2021,3.30
16/06/2021,3.20
15/06/2021,3.20
14/06/2021,3.10
11/06/2021,3.30
10/06/2021,3.10
09/06/2021,3.20
08/06/2021,3.20
07/06/2021,3.50
04/06/2021,3.50
03/06/2021,3.40
02/06/2021,3.30
01/06/2021,3.00
31/05/2021,2.80
28/05/2021,3.10
27/05/2021,3.20
26/05/2021,3.20
25/05/2021,3.40
24/05/2021,3.50
21/05/2021,3.50
20/05/2021,3.50
19/05/2021,3.80
18/05/2021,4.00
17/05/2021,3.80
11/05/2021,3.50
10/05/2021,3.38
07/05/2021,3.30
06/05/2021,3.35
05/05/2021,3.28
04/05/2021,3.50
29/04/2021,3.50
28/04/2021,3.50
27/04/2021,3.29
26/04/2021,3.50
23/04/2021,3.76
22/04/2021,3.73
20/04/2021,3.49
19/04/2021,3.27
16/04/2021,3.51
15/04/2021,3.77
14/04/2021,4.05
13/04/2021,4.10
12/04/2021,4.37
09/04/2021,4.41
08/04/2021,4.70
07/04/2021,4.57
06/04/2021,4.30
05/04/2021,4.05
02/04/2021,3.79
01/04/2021,3.55
31/03/2021,3.60
30/03/2021,3.41
29/03/2021,3.19
26/03/2021,2.99
25/03/2021,3.04
24/03/2021,2.94
23/03/2021,3.05
22/03/2021,3.08
19/03/2021,2.98
18/03/2021,2.94
17/03/2021,2.98
16/03/2021,2.99
15/03/2021,2.96
12/03/2021,3.10
11/03/2021,3.14
10/03/2021,3.13
09/03/2021,2.95
08/03/2021,2.95
05/03/2021,2.90
04/03/2021,3.05
03/03/2021,2.86
02/03/2021,2.68
01/03/2021,2.51
26/02/2021,2.35
25/02/2021,2.33
24/02/2021,2.30
23/02/2021,2.37
22/02/2021,2.36
19/02/2021,2.36
18/02/2021,2.32
17/02/2021,2.30
09/02/2021,2.29
08/02/2021,2.26
05/02/2021,2.27
04/02/2021,2.23
03/02/2021,2.28
02/02/2021,2.17
01/02/2021,2.20
29/01/2021,2.28
28/01/2021,2.33
27/01/2021,2.50
26/01/2021,2.65
25/01/2021,2.77
22/01/2021,2.81
21/01/2021,2.93
20/01/2021,2.80
19/01/2021,2.98
18/01/2021,3.20
15/01/2021,3.06
14/01/2021,2.95
13/01/2021,2.79
12/01/2021,2.63
11/01/2021,2.79
08/01/2021,2.85
07/01/2021,2.77
06/01/2021,2.59
05/01/2021,2.53
04/01/2021,2.47
31/12/2020,2.50
30/12/2020,2.52
29/12/2020,2.46
28/12/2020,2.48
25/12/2020,2.48
24/12/2020,2.50
23/12/2020,2.47
22/12/2020,2.44
21/12/2020,2.40
18/12/2020,2.40
17/12/2020,2.40
16/12/2020,2.36
15/12/2020,2.31
14/12/2020,2.32
11/12/2020,2.30
10/12/2020,2.34
09/12/2020,2.39
08/12/2020,2.41
07/12/2020,2.30
04/12/2020,2.45
03/12/2020,2.37
02/12/2020,2.22
01/12/2020,2.08
30/11/2020,2.07
27/11/2020,2.07
26/11/2020,2.06
25/11/2020,2.06
24/11/2020,2.08
23/11/2020,2.09
20/11/2020,2.14
19/11/2020,2.20
18/11/2020,2.15
17/11/2020,2.11
16/11/2020,2.10
13/11/2020,2.10
12/11/2020,2.13
11/11/2020,2.11
10/11/2020,2.12
09/11/2020,2.06
06/11/2020,2.10
05/11/2020,2.16
04/11/2020,2.09
03/11/2020,2.10
02/11/2020,2.10
30/10/2020,2.16
29/10/2020,2.17
28/10/2020,2.22
27/10/2020,2.22
26/10/2020,2.20
23/10/2020,2.20
22/10/2020,2.16
21/10/2020,2.26
20/10/2020,2.28
19/10/2020,2.20
16/10/2020,2.27
15/10/2020,2.30
14/10/2020,2.30
13/10/2020,2.35
12/10/2020,2.35
09/10/2020,2.35
08/10/2020,2.41
07/10/2020,2.44
06/10/2020,2.46
05/10/2020,2.30
02/10/2020,2.27
01/10/2020,2.32
30/09/2020,2.35
29/09/2020,2.33
28/09/2020,2.30
25/09/2020,2.33
24/09/2020,2.36
23/09/2020,2.36
22/09/2020,2.36
21/09/2020,2.37
18/09/2020,2.42
17/09/2020,2.36
16/09/2020,2.47
15/09/2020,2.45
14/09/2020,2.48
11/09/2020,2.55
10/09/2020,2.39
09/09/2020,2.39
08/09/2020,2.35
07/09/2020,2.40
04/09/2020,2.34
03/09/2020,2.39
01/09/2020,2.34
31/08/2020,2.32
28/08/2020,2.40
27/08/2020,2.48
26/08/2020,2.32
25/08/2020,2.48
24/08/2020,2.66
21/08/2020,2.49
20/08/2020,2.33
19/08/2020,2.18
18/08/2020,2.04
17/08/2020,1.91
14/08/2020,2.03
13/08/2020,2.03
12/08/2020,2.00
11/08/2020,2.06
10/08/2020,2.14
07/08/2020,2.00
06/08/2020,2.07
05/08/2020,2.14
04/08/2020,2.15
03/08/2020,2.13
31/07/2020,2.05
30/07/2020,1.92
29/07/2020,1.91
28/07/2020,1.99
27/07/2020,1.86
24/07/2020,2.00
23/07/2020,2.15
22/07/2020,2.22
21/07/2020,2.23
20/07/2020,2.25
17/07/2020,2.39
16/07/2020,2.37
15/07/2020,2.46
14/07/2020,2.49
13/07/2020,2.40
10/07/2020,2.57
09/07/2020,2.59
08/07/2020,2.66
07/07/2020,2.83
06/07/2020,2.65
03/07/2020,2.66
