Date,Closing Price
10/05/2022,86.60
09/05/2022,81.00
06/05/2022,86.00
05/05/2022,82.20
04/05/2022,83.00
29/04/2022,82.40
28/04/2022,79.10
27/04/2022,74.00
26/04/2022,73.90
25/04/2022,71.30
22/04/2022,76.60
21/04/2022,80.80
20/04/2022,80.00
19/04/2022,84.60
18/04/2022,88.60
15/04/2022,87.00
14/04/2022,82.00
13/04/2022,81.10
12/04/2022,79.10
08/04/2022,81.80
07/04/2022,81.00
06/04/2022,84.70
05/04/2022,82.00
04/04/2022,82.50
01/04/2022,84.10
31/03/2022,81.70
30/03/2022,81.40
29/03/2022,80.50
28/03/2022,79.90
25/03/2022,79.00
24/03/2022,79.70
23/03/2022,74.50
22/03/2022,74.10
21/03/2022,72.00
18/03/2022,71.80
17/03/2022,71.80
16/03/2022,71.20
15/03/2022,72.00
14/03/2022,72.90
11/03/2022,72.20
10/03/2022,71.70
09/03/2022,71.10
08/03/2022,72.50
07/03/2022,73.80
04/03/2022,74.90
03/03/2022,75.70
02/03/2022,74.00
01/03/2022,74.70
28/02/2022,75.60
25/02/2022,74.00
24/02/2022,73.50
23/02/2022,74.50
22/02/2022,71.60
21/02/2022,72.40
18/02/2022,72.50
17/02/2022,71.50
16/02/2022,72.30
15/02/2022,68.30
14/02/2022,67.50
11/02/2022,68.30
10/02/2022,68.20
09/02/2022,69.70
08/02/2022,69.40
07/02/2022,68.60
28/01/2022,69.00
27/01/2022,67.40
26/01/2022,64.90
25/01/2022,64.30
24/01/2022,63.00
21/01/2022,65.60
20/01/2022,65.30
19/01/2022,64.30
18/01/2022,64.00
17/01/2022,64.00
14/01/2022,66.40
13/01/2022,66.10
12/01/2022,66.10
11/01/2022,66.00
10/01/2022,68.10
07/01/2022,69.30
06/01/2022,69.90
05/01/2022,71.00
04/01/2022,70.00
31/12/2021,69.10
30/12/2021,69.90
29/12/2021,70.30
28/12/2021,71.90
27/12/2021,71.90
24/12/2021,71.80
23/12/2021,70.00
22/12/2021,69.00
21/12/2021,69.00
20/12/2021,67.10
17/12/2021,67.60
16/12/2021,67.20
15/12/2021,66.00
14/12/2021,68.70
13/12/2021,69.40
10/12/2021,68.10
09/12/2021,67.50
08/12/2021,67.20
07/12/2021,67.50
06/12/2021,65.10
03/12/2021,67.50
02/12/2021,69.00
01/12/2021,69.90
30/11/2021,70.50
29/11/2021,69.00
26/11/2021,67.00
25/11/2021,66.90
24/11/2021,67.60
23/11/2021,66.70
22/11/2021,64.50
19/11/2021,67.10
18/11/2021,70.00
17/11/2021,71.80
16/11/2021,71.80
15/11/2021,72.10
12/11/2021,73.00
11/11/2021,70.80
10/11/2021,70.80
09/11/2021,72.00
08/11/2021,72.00
05/11/2021,71.10
04/11/2021,70.80
03/11/2021,72.30
02/11/2021,72.30
01/11/2021,72.00
29/10/2021,74.80
28/10/2021,76.00
27/10/2021,76.00
26/10/2021,75.20
25/10/2021,76.00
22/10/2021,76.00
21/10/2021,74.90
20/10/2021,74.90
19/10/2021,74.80
18/10/2021,74.00
15/10/2021,73.00
14/10/2021,73.00
13/10/2021,73.00
12/10/2021,72.40
11/10/2021,70.50
