Date,Closing Price
10/05/2022,24.60
09/05/2022,24.70
06/05/2022,25.50
05/05/2022,26.00
04/05/2022,27.00
29/04/2022,25.55
28/04/2022,25.50
27/04/2022,25.25
26/04/2022,25.30
25/04/2022,25.50
22/04/2022,26.50
21/04/2022,27.35
20/04/2022,27.00
19/04/2022,28.50
18/04/2022,28.05
15/04/2022,28.50
14/04/2022,29.10
13/04/2022,29.15
12/04/2022,28.70
08/04/2022,29.00
07/04/2022,29.10
06/04/2022,29.00
05/04/2022,29.00
04/04/2022,29.10
01/04/2022,29.35
31/03/2022,28.75
30/03/2022,29.10
29/03/2022,29.70
28/03/2022,28.45
25/03/2022,28.45
24/03/2022,28.35
23/03/2022,28.65
22/03/2022,28.75
21/03/2022,28.20
18/03/2022,28.10
17/03/2022,28.60
16/03/2022,29.00
15/03/2022,28.55
14/03/2022,29.10
11/03/2022,30.10
10/03/2022,29.10
09/03/2022,28.10
08/03/2022,28.10
07/03/2022,28.00
04/03/2022,28.10
03/03/2022,27.20
02/03/2022,25.90
01/03/2022,25.90
28/02/2022,25.80
25/02/2022,25.90
24/02/2022,25.80
23/02/2022,25.90
22/02/2022,26.20
21/02/2022,26.20
18/02/2022,26.50
17/02/2022,25.95
16/02/2022,26.10
15/02/2022,26.25
14/02/2022,26.30
11/02/2022,26.40
10/02/2022,26.40
09/02/2022,26.30
08/02/2022,26.35
07/02/2022,25.95
28/01/2022,25.70
27/01/2022,26.35
26/01/2022,26.40
25/01/2022,26.50
24/01/2022,26.00
21/01/2022,27.00
20/01/2022,27.00
19/01/2022,26.90
18/01/2022,27.35
17/01/2022,26.55
14/01/2022,27.30
13/01/2022,27.10
12/01/2022,27.75
11/01/2022,27.70
10/01/2022,27.85
07/01/2022,28.20
06/01/2022,28.25
05/01/2022,28.00
04/01/2022,28.15
31/12/2021,27.90
30/12/2021,27.85
29/12/2021,27.70
28/12/2021,27.50
27/12/2021,27.90
24/12/2021,27.50
23/12/2021,26.50
22/12/2021,27.80
21/12/2021,28.00
20/12/2021,28.10
17/12/2021,28.00
16/12/2021,28.40
15/12/2021,28.25
14/12/2021,28.20
13/12/2021,28.50
10/12/2021,28.35
09/12/2021,28.70
08/12/2021,28.70
07/12/2021,28.80
06/12/2021,27.00
03/12/2021,28.65
02/12/2021,29.10
01/12/2021,29.00
30/11/2021,28.45
29/11/2021,28.40
26/11/2021,28.40
25/11/2021,28.95
24/11/2021,28.95
23/11/2021,29.15
22/11/2021,27.60
19/11/2021,29.00
18/11/2021,30.80
17/11/2021,31.35
16/11/2021,31.15
15/11/2021,31.95
12/11/2021,32.50
11/11/2021,32.80
10/11/2021,32.50
09/11/2021,32.90
08/11/2021,33.90
05/11/2021,34.20
04/11/2021,32.60
03/11/2021,31.80
02/11/2021,33.70
01/11/2021,34.00
29/10/2021,32.95
28/10/2021,30.80
27/10/2021,32.00
26/10/2021,30.90
25/10/2021,28.90
22/10/2021,27.60
21/10/2021,27.60
20/10/2021,28.15
19/10/2021,28.45
18/10/2021,26.60
15/10/2021,27.00
14/10/2021,27.00
13/10/2021,27.10
12/10/2021,27.20
11/10/2021,27.50
08/10/2021,27.10
07/10/2021,27.25
06/10/2021,27.30
05/10/2021,27.40
04/10/2021,26.80
01/10/2021,27.00
30/09/2021,27.00
29/09/2021,27.25
28/09/2021,26.70
27/09/2021,26.50
24/09/2021,28.00
23/09/2021,28.80
22/09/2021,29.20
21/09/2021,28.00
20/09/2021,28.55
17/09/2021,27.50
16/09/2021,27.00
15/09/2021,27.00
14/09/2021,26.90
13/09/2021,27.00
10/09/2021,27.95
09/09/2021,27.50
08/09/2021,27.00
07/09/2021,28.45
06/09/2021,29.10
01/09/2021,28.80
31/08/2021,26.95
30/08/2021,25.20
27/08/2021,24.40
26/08/2021,23.80
25/08/2021,24.00
24/08/2021,24.30
23/08/2021,24.00
