Date,Closing Price
10/05/2022,22.90
09/05/2022,23.10
06/05/2022,22.60
05/05/2022,22.75
04/05/2022,23.40
29/04/2022,22.35
28/04/2022,21.10
27/04/2022,19.75
26/04/2022,20.25
25/04/2022,20.70
22/04/2022,20.00
21/04/2022,21.05
20/04/2022,21.45
19/04/2022,22.80
18/04/2022,22.75
15/04/2022,23.40
14/04/2022,22.75
13/04/2022,22.95
12/04/2022,22.95
08/04/2022,23.35
07/04/2022,23.20
06/04/2022,23.20
05/04/2022,23.20
04/04/2022,23.20
01/04/2022,23.20
31/03/2022,23.15
30/03/2022,23.95
29/03/2022,23.20
28/03/2022,24.05
25/03/2022,24.15
24/03/2022,23.45
23/03/2022,23.65
22/03/2022,23.95
21/03/2022,24.00
18/03/2022,24.45
17/03/2022,23.05
16/03/2022,23.60
15/03/2022,22.90
14/03/2022,23.00
11/03/2022,23.60
10/03/2022,23.80
09/03/2022,23.25
08/03/2022,24.50
07/03/2022,25.25
04/03/2022,24.75
03/03/2022,24.40
02/03/2022,24.35
01/03/2022,24.30
28/02/2022,24.80
25/02/2022,24.10
24/02/2022,24.00
23/02/2022,24.10
22/02/2022,24.10
21/02/2022,23.70
18/02/2022,23.70
17/02/2022,24.30
16/02/2022,24.00
15/02/2022,24.30
14/02/2022,25.65
11/02/2022,26.50
10/02/2022,26.50
09/02/2022,26.90
08/02/2022,25.50
07/02/2022,24.00
28/01/2022,24.00
27/01/2022,23.30
26/01/2022,24.00
25/01/2022,24.00
24/01/2022,22.50
21/01/2022,23.65
20/01/2022,23.70
19/01/2022,23.25
18/01/2022,24.95
17/01/2022,24.95
14/01/2022,24.60
13/01/2022,26.40
12/01/2022,24.90
11/01/2022,24.95
10/01/2022,23.50
07/01/2022,23.50
06/01/2022,23.00
05/01/2022,23.00
04/01/2022,23.55
31/12/2021,22.10
30/12/2021,23.30
29/12/2021,22.80
28/12/2021,22.80
27/12/2021,22.80
24/12/2021,22.10
23/12/2021,22.10
22/12/2021,23.70
21/12/2021,22.25
20/12/2021,21.05
17/12/2021,22.15
16/12/2021,22.15
15/12/2021,22.50
14/12/2021,22.80
13/12/2021,22.80
10/12/2021,22.80
09/12/2021,22.80
08/12/2021,22.80
07/12/2021,22.80
06/12/2021,22.80
03/12/2021,22.80
02/12/2021,23.00
01/12/2021,23.25
30/11/2021,23.25
29/11/2021,21.80
26/11/2021,23.35
25/11/2021,24.00
24/11/2021,24.00
23/11/2021,24.05
22/11/2021,24.05
19/11/2021,24.05
18/11/2021,24.50
17/11/2021,23.95
16/11/2021,23.90
15/11/2021,23.80
12/11/2021,23.80
11/11/2021,23.80
10/11/2021,23.80
09/11/2021,23.80
08/11/2021,24.20
05/11/2021,24.00
04/11/2021,25.00
03/11/2021,23.55
02/11/2021,24.75
01/11/2021,24.70
29/10/2021,25.65
28/10/2021,24.00
27/10/2021,23.10
26/10/2021,24.00
25/10/2021,24.00
22/10/2021,23.65
21/10/2021,23.65
20/10/2021,22.90
19/10/2021,22.80
18/10/2021,24.20
15/10/2021,24.50
14/10/2021,24.20
13/10/2021,24.45
12/10/2021,24.65
11/10/2021,24.70
08/10/2021,24.70
07/10/2021,24.70
06/10/2021,25.30
05/10/2021,25.35
04/10/2021,25.35
01/10/2021,28.00
30/09/2021,27.25
29/09/2021,27.40
28/09/2021,27.50
27/09/2021,27.50
24/09/2021,27.75
23/09/2021,26.00
22/09/2021,26.80
21/09/2021,28.50
20/09/2021,26.65
17/09/2021,24.95
16/09/2021,23.35
15/09/2021,22.00
14/09/2021,21.90
13/09/2021,21.05
10/09/2021,21.65
09/09/2021,21.65
08/09/2021,21.65
07/09/2021,21.80
06/09/2021,21.75
01/09/2021,20.75
31/08/2021,21.85
30/08/2021,21.80
27/08/2021,22.00
26/08/2021,22.00
25/08/2021,21.35
24/08/2021,21.35
23/08/2021,21.35
20/08/2021,20.65
19/08/2021,20.80
18/08/2021,22.05
17/08/2021,22.05
16/08/2021,20.80
13/08/2021,20.80
12/08/2021,20.90
11/08/2021,20.60
10/08/2021,20.60
09/08/2021,21.35
06/08/2021,20.40
05/08/2021,20.65
04/08/2021,20.65
03/08/2021,20.65
02/08/2021,20.20
30/07/2021,21.00
29/07/2021,20.90
28/07/2021,20.65
27/07/2021,20.65
26/07/2021,20.65
23/07/2021,20.00
22/07/2021,19.45
21/07/2021,20.25
20/07/2021,20.25
19/07/2021,20.15
16/07/2021,19.15
15/07/2021,19.90
14/07/2021,19.90
13/07/2021,19.90
12/07/2021,19.90
09/07/2021,21.25
08/07/2021,21.25
07/07/2021,21.25
06/07/2021,21.25
05/07/2021,20.95
02/07/2021,21.35
01/07/2021,20.10
30/06/2021,21.05
29/06/2021,21.05
28/06/2021,21.00
25/06/2021,21.85
24/06/2021,21.05
23/06/2021,21.00
22/06/2021,21.00
21/06/2021,22.10
18/06/2021,22.10
17/06/2021,20.70
16/06/2021,20.70
15/06/2021,21.90
14/06/2021,21.90
11/06/2021,21.90
10/06/2021,21.90
09/06/2021,21.90
08/06/2021,21.90
07/06/2021,20.90
04/06/2021,20.85
03/06/2021,20.60
02/06/2021,22.05
01/06/2021,22.05
31/05/2021,22.05
28/05/2021,22.05
27/05/2021,22.05
26/05/2021,22.05
25/05/2021,23.50
24/05/2021,23.50
21/05/2021,23.50
20/05/2021,22.00
19/05/2021,22.00
18/05/2021,23.50
17/05/2021,23.75
14/05/2021,25.50
13/05/2021,25.50
12/05/2021,25.50
11/05/2021,25.50
10/05/2021,25.50
07/05/2021,25.50
06/05/2021,25.50
05/05/2021,25.50
04/05/2021,25.00
29/04/2021,26.60
28/04/2021,26.60
27/04/2021,25.00
26/04/2021,24.60
23/04/2021,24.60
22/04/2021,23.00
20/04/2021,21.60
19/04/2021,23.00
16/04/2021,23.00
15/04/2021,23.00
14/04/2021,23.00
13/04/2021,22.90
12/04/2021,22.90
09/04/2021,22.30
08/04/2021,21.00
07/04/2021,21.00
