Date,Closing Price
10/05/2022,13.90
09/05/2022,14.80
06/05/2022,14.50
05/05/2022,15.00
04/05/2022,15.50
29/04/2022,15.40
28/04/2022,14.45
27/04/2022,14.75
26/04/2022,15.25
25/04/2022,15.65
22/04/2022,15.30
21/04/2022,15.45
20/04/2022,14.85
19/04/2022,15.95
18/04/2022,17.10
15/04/2022,18.35
14/04/2022,18.45
13/04/2022,19.80
12/04/2022,19.80
08/04/2022,18.80
07/04/2022,17.70
06/04/2022,19.00
05/04/2022,20.40
04/04/2022,19.75
01/04/2022,21.20
31/03/2022,19.90
30/03/2022,21.35
29/03/2022,22.95
28/03/2022,22.05
25/03/2022,20.65
24/03/2022,19.30
23/03/2022,18.05
22/03/2022,16.90
21/03/2022,15.80
18/03/2022,15.90
17/03/2022,15.80
16/03/2022,15.80
15/03/2022,15.85
14/03/2022,15.40
11/03/2022,15.50
10/03/2022,15.90
09/03/2022,15.35
08/03/2022,15.95
07/03/2022,15.95
04/03/2022,16.10
03/03/2022,16.25
02/03/2022,16.00
01/03/2022,15.90
28/02/2022,15.85
25/02/2022,16.00
24/02/2022,16.15
23/02/2022,16.30
22/02/2022,15.65
21/02/2022,15.90
18/02/2022,15.85
17/02/2022,15.95
16/02/2022,15.95
15/02/2022,16.35
14/02/2022,16.40
11/02/2022,16.45
10/02/2022,16.50
09/02/2022,16.60
08/02/2022,16.95
07/02/2022,16.00
28/01/2022,15.60
27/01/2022,16.70
26/01/2022,15.70
25/01/2022,16.70
24/01/2022,16.10
21/01/2022,17.00
20/01/2022,16.55
19/01/2022,16.90
18/01/2022,16.30
17/01/2022,17.50
14/01/2022,16.55
13/01/2022,15.50
12/01/2022,16.55
11/01/2022,17.50
10/01/2022,16.85
07/01/2022,16.45
06/01/2022,16.45
05/01/2022,16.45
04/01/2022,17.15
31/12/2021,16.25
30/12/2021,17.00
29/12/2021,17.30
28/12/2021,16.70
27/12/2021,16.50
24/12/2021,17.00
23/12/2021,16.45
22/12/2021,17.40
21/12/2021,16.35
20/12/2021,16.55
17/12/2021,17.05
16/12/2021,16.50
15/12/2021,16.50
14/12/2021,16.50
13/12/2021,16.70
10/12/2021,16.10
09/12/2021,16.10
08/12/2021,16.10
07/12/2021,16.10
06/12/2021,16.10
03/12/2021,17.00
02/12/2021,16.05
01/12/2021,16.80
30/11/2021,16.80
29/11/2021,16.20
26/11/2021,17.20
25/11/2021,17.20
24/11/2021,17.30
23/11/2021,17.30
22/11/2021,16.25
19/11/2021,16.60
18/11/2021,17.20
17/11/2021,17.20
16/11/2021,16.20
15/11/2021,17.00
12/11/2021,17.00
11/11/2021,17.00
10/11/2021,16.70
09/11/2021,16.55
08/11/2021,17.40
05/11/2021,17.40
04/11/2021,18.15
03/11/2021,17.25
02/11/2021,16.30
01/11/2021,16.80
29/10/2021,17.30
28/10/2021,18.40
27/10/2021,19.15
26/10/2021,17.90
25/10/2021,17.90
22/10/2021,17.10
21/10/2021,16.10
20/10/2021,16.40
19/10/2021,17.60
18/10/2021,18.25
15/10/2021,17.95
14/10/2021,18.75
13/10/2021,17.95
12/10/2021,16.85
11/10/2021,16.75
08/10/2021,17.10
07/10/2021,16.10
06/10/2021,15.05
05/10/2021,16.00
04/10/2021,16.00
01/10/2021,16.00
30/09/2021,15.85
29/09/2021,16.70
28/09/2021,17.95
27/09/2021,17.95
24/09/2021,19.30
23/09/2021,18.35
22/09/2021,18.35
21/09/2021,17.20
20/09/2021,16.10
17/09/2021,16.10
16/09/2021,16.60
15/09/2021,16.60
14/09/2021,16.60
13/09/2021,16.60
10/09/2021,17.80
09/09/2021,19.10
08/09/2021,19.10
07/09/2021,19.10
06/09/2021,19.00
01/09/2021,18.90
31/08/2021,18.70
30/08/2021,18.70
27/08/2021,18.70
26/08/2021,18.70
25/08/2021,18.70
24/08/2021,18.70
23/08/2021,18.70
20/08/2021,18.70
19/08/2021,18.70
18/08/2021,18.90
17/08/2021,18.60
16/08/2021,18.60
13/08/2021,19.00
12/08/2021,19.00
11/08/2021,19.00
10/08/2021,19.00
09/08/2021,19.00
06/08/2021,19.00
05/08/2021,19.00
04/08/2021,18.80
03/08/2021,18.80
02/08/2021,18.80
30/07/2021,18.65
29/07/2021,18.65
28/07/2021,18.65
27/07/2021,18.65
26/07/2021,18.45
23/07/2021,18.40
22/07/2021,17.20
21/07/2021,18.45
20/07/2021,18.50
19/07/2021,18.50
