Date,Closing Price
10/05/2022,15.90
09/05/2022,15.85
06/05/2022,17.00
05/05/2022,18.20
04/05/2022,18.80
29/04/2022,19.40
28/04/2022,18.50
27/04/2022,18.40
26/04/2022,18.60
25/04/2022,18.15
22/04/2022,19.50
21/04/2022,20.20
20/04/2022,20.20
19/04/2022,18.90
18/04/2022,18.60
15/04/2022,19.20
14/04/2022,18.60
13/04/2022,18.85
12/04/2022,18.90
08/04/2022,20.30
07/04/2022,21.80
06/04/2022,21.40
05/04/2022,22.20
04/04/2022,22.80
01/04/2022,22.60
31/03/2022,23.60
30/03/2022,23.80
29/03/2022,25.00
28/03/2022,25.00
25/03/2022,25.00
24/03/2022,23.55
23/03/2022,23.70
22/03/2022,23.40
21/03/2022,23.65
18/03/2022,23.50
17/03/2022,24.00
16/03/2022,23.90
15/03/2022,23.20
14/03/2022,23.50
11/03/2022,22.60
10/03/2022,21.60
09/03/2022,20.20
08/03/2022,20.60
07/03/2022,20.10
04/03/2022,20.50
03/03/2022,20.10
02/03/2022,20.95
01/03/2022,21.40
28/02/2022,21.40
25/02/2022,21.00
24/02/2022,20.80
23/02/2022,22.10
22/02/2022,22.20
21/02/2022,21.35
18/02/2022,21.70
17/02/2022,21.45
16/02/2022,20.90
15/02/2022,20.50
14/02/2022,19.50
11/02/2022,18.90
10/02/2022,18.90
09/02/2022,18.95
08/02/2022,18.60
07/02/2022,18.60
28/01/2022,17.40
27/01/2022,16.60
26/01/2022,17.00
25/01/2022,16.90
24/01/2022,15.80
21/01/2022,16.10
20/01/2022,16.20
19/01/2022,15.30
18/01/2022,15.25
17/01/2022,15.80
14/01/2022,16.45
13/01/2022,16.25
12/01/2022,17.10
11/01/2022,17.10
10/01/2022,17.30
07/01/2022,17.10
06/01/2022,17.50
05/01/2022,17.80
04/01/2022,17.65
31/12/2021,17.45
30/12/2021,17.60
29/12/2021,17.60
28/12/2021,17.60
27/12/2021,18.10
24/12/2021,18.55
23/12/2021,18.70
22/12/2021,17.50
21/12/2021,17.50
20/12/2021,17.00
17/12/2021,17.30
16/12/2021,17.40
15/12/2021,17.40
14/12/2021,17.50
13/12/2021,18.10
10/12/2021,17.80
09/12/2021,16.65
08/12/2021,16.75
07/12/2021,16.70
06/12/2021,16.20
03/12/2021,17.25
02/12/2021,17.65
01/12/2021,17.60
30/11/2021,17.20
29/11/2021,16.70
26/11/2021,16.85
25/11/2021,16.90
24/11/2021,16.80
23/11/2021,17.20
22/11/2021,16.50
19/11/2021,17.45
18/11/2021,18.60
17/11/2021,18.80
16/11/2021,18.80
15/11/2021,19.30
12/11/2021,19.95
11/11/2021,20.00
10/11/2021,19.90
09/11/2021,19.65
08/11/2021,19.65
05/11/2021,20.20
04/11/2021,20.60
03/11/2021,19.30
02/11/2021,19.00
01/11/2021,19.35
29/10/2021,19.90
28/10/2021,19.50
27/10/2021,18.60
26/10/2021,19.90
25/10/2021,20.05
22/10/2021,19.95
21/10/2021,19.40
20/10/2021,19.30
19/10/2021,19.70
18/10/2021,19.50
15/10/2021,18.25
14/10/2021,18.25
13/10/2021,18.25
12/10/2021,17.80
11/10/2021,18.05
08/10/2021,16.90
07/10/2021,16.15
06/10/2021,15.35
05/10/2021,15.35
04/10/2021,15.25
01/10/2021,14.85
30/09/2021,14.80
29/09/2021,14.70
28/09/2021,15.00
27/09/2021,14.50
24/09/2021,14.75
23/09/2021,14.95
22/09/2021,15.25
21/09/2021,15.00
20/09/2021,15.35
17/09/2021,15.55
16/09/2021,15.30
15/09/2021,15.20
14/09/2021,15.35
13/09/2021,14.35
10/09/2021,13.45
09/09/2021,13.45
08/09/2021,12.60
07/09/2021,12.75
06/09/2021,12.55
01/09/2021,12.05
31/08/2021,12.10
30/08/2021,12.45
27/08/2021,12.40
26/08/2021,12.05
25/08/2021,11.60
24/08/2021,11.70
23/08/2021,11.40
20/08/2021,11.45
19/08/2021,11.85
18/08/2021,11.95
17/08/2021,12.00
16/08/2021,12.00
13/08/2021,11.80
12/08/2021,11.75
11/08/2021,11.45
10/08/2021,11.20
09/08/2021,11.20
06/08/2021,11.00
05/08/2021,11.00
04/08/2021,11.15
03/08/2021,11.05
02/08/2021,11.20
30/07/2021,10.50
29/07/2021,10.45
28/07/2021,10.40
27/07/2021,10.40
26/07/2021,10.50
23/07/2021,10.60
22/07/2021,10.55
21/07/2021,10.15
20/07/2021,10.05
19/07/2021,9.99
16/07/2021,10.20
15/07/2021,10.20
14/07/2021,10.15
13/07/2021,10.15
12/07/2021,10.00
09/07/2021,10.50
08/07/2021,10.60
07/07/2021,10.65
06/07/2021,10.80
05/07/2021,11.05
02/07/2021,11.35
01/07/2021,11.35
30/06/2021,11.45
29/06/2021,11.65
28/06/2021,11.50
25/06/2021,11.50
24/06/2021,11.50
23/06/2021,11.65
22/06/2021,11.75
21/06/2021,11.80
18/06/2021,12.10
17/06/2021,12.00
16/06/2021,12.25
15/06/2021,12.40
14/06/2021,12.50
11/06/2021,11.70
10/06/2021,11.30
09/06/2021,11.30
08/06/2021,11.25
07/06/2021,11.30
04/06/2021,11.50
03/06/2021,11.45
02/06/2021,11.10
01/06/2021,11.00
31/05/2021,11.05
28/05/2021,11.15
27/05/2021,11.10
26/05/2021,11.25
25/05/2021,11.35
24/05/2021,11.10
21/05/2021,11.00
20/05/2021,10.85
19/05/2021,11.10
18/05/2021,11.15
17/05/2021,11.40
14/05/2021,11.35
13/05/2021,11.60
12/05/2021,11.80
11/05/2021,11.40
10/05/2021,11.35
07/05/2021,11.60
06/05/2021,11.90
05/05/2021,12.25
04/05/2021,12.10
29/04/2021,12.50
28/04/2021,12.50
27/04/2021,12.50
26/04/2021,12.80
23/04/2021,12.90
22/04/2021,12.80
20/04/2021,13.25
19/04/2021,13.25
16/04/2021,12.80
15/04/2021,13.15
14/04/2021,13.70
13/04/2021,13.55
12/04/2021,13.90
09/04/2021,14.00
08/04/2021,14.10
07/04/2021,14.20
06/04/2021,13.60
05/04/2021,13.70
02/04/2021,13.70
01/04/2021,13.50
31/03/2021,13.60
30/03/2021,13.60
29/03/2021,13.40
26/03/2021,12.55
25/03/2021,13.20
24/03/2021,13.70
23/03/2021,13.85
22/03/2021,13.55
19/03/2021,13.15
18/03/2021,12.70
17/03/2021,12.60
16/03/2021,12.60
15/03/2021,12.55
12/03/2021,12.15
11/03/2021,12.20
10/03/2021,12.20
09/03/2021,12.35
08/03/2021,12.05
05/03/2021,11.30
04/03/2021,11.25
03/03/2021,11.45
02/03/2021,11.45
01/03/2021,11.35
26/02/2021,11.20
25/02/2021,11.20
24/02/2021,11.25
23/02/2021,11.40
22/02/2021,11.55
19/02/2021,11.40
18/02/2021,11.00
17/02/2021,10.80
09/02/2021,10.40
08/02/2021,10.30
05/02/2021,10.80
04/02/2021,10.65
03/02/2021,10.65
02/02/2021,9.96
01/02/2021,10.00
29/01/2021,10.50
28/01/2021,10.20
27/01/2021,10.95
26/01/2021,11.50
25/01/2021,12.00
22/01/2021,12.00
21/01/2021,12.25
20/01/2021,12.00
19/01/2021,12.40
18/01/2021,13.30
15/01/2021,13.35
14/01/2021,13.20
13/01/2021,13.45
12/01/2021,13.25
11/01/2021,13.30
08/01/2021,12.50
07/01/2021,12.15
06/01/2021,12.15
05/01/2021,12.15
04/01/2021,12.25
31/12/2020,12.20
30/12/2020,12.05
29/12/2020,12.35
28/12/2020,12.20
25/12/2020,11.65
24/12/2020,11.20
23/12/2020,11.80
22/12/2020,11.35
21/12/2020,10.85
18/12/2020,10.80
17/12/2020,10.90
16/12/2020,10.95
15/12/2020,10.95
14/12/2020,11.15
11/12/2020,11.20
10/12/2020,11.15
09/12/2020,10.60
08/12/2020,10.60
07/12/2020,10.70
04/12/2020,10.60
03/12/2020,10.20
02/12/2020,10.20
01/12/2020,10.20
30/11/2020,10.20
27/11/2020,10.35
26/11/2020,10.45
25/11/2020,10.35
24/11/2020,10.60
23/11/2020,10.40
20/11/2020,10.85
19/11/2020,10.90
18/11/2020,10.20
17/11/2020,9.55
16/11/2020,9.53
13/11/2020,9.60
12/11/2020,9.61
11/11/2020,9.71
10/11/2020,9.72
09/11/2020,9.44
06/11/2020,9.42
05/11/2020,9.44
04/11/2020,9.48
03/11/2020,9.28
02/11/2020,9.29
30/10/2020,9.28
29/10/2020,9.33
28/10/2020,9.33
27/10/2020,9.45
26/10/2020,9.50
23/10/2020,9.54
22/10/2020,9.57
21/10/2020,9.52
20/10/2020,9.55
19/10/2020,9.53
16/10/2020,9.55
15/10/2020,9.55
14/10/2020,9.61
13/10/2020,9.60
12/10/2020,9.57
09/10/2020,9.70
08/10/2020,9.75
07/10/2020,9.79
06/10/2020,9.70
05/10/2020,9.70
02/10/2020,9.61
01/10/2020,9.60
30/09/2020,9.60
29/09/2020,9.70
28/09/2020,9.95
25/09/2020,9.75
24/09/2020,9.50
23/09/2020,9.78
22/09/2020,9.80
21/09/2020,9.55
18/09/2020,9.30
17/09/2020,9.30
16/09/2020,9.30
15/09/2020,9.30
14/09/2020,9.19
11/09/2020,8.95
10/09/2020,8.86
09/09/2020,8.86
08/09/2020,8.88
07/09/2020,8.79
04/09/2020,8.76
03/09/2020,8.92
01/09/2020,8.64
31/08/2020,8.64
28/08/2020,8.65
27/08/2020,8.67
26/08/2020,8.67
25/08/2020,8.68
24/08/2020,8.67
21/08/2020,8.62
20/08/2020,8.58
19/08/2020,8.60
18/08/2020,8.60
17/08/2020,8.70
14/08/2020,8.88
13/08/2020,9.15
12/08/2020,8.80
11/08/2020,8.39
10/08/2020,8.22
07/08/2020,8.18
06/08/2020,8.18
05/08/2020,8.30
04/08/2020,8.00
03/08/2020,7.90
31/07/2020,7.80
30/07/2020,7.56
29/07/2020,7.50
28/07/2020,8.05
27/07/2020,7.89
24/07/2020,8.48
23/07/2020,9.10
22/07/2020,9.26
21/07/2020,9.24
20/07/2020,9.24
17/07/2020,9.70
16/07/2020,9.89
15/07/2020,9.90
14/07/2020,10.65
13/07/2020,10.70
10/07/2020,10.80
09/07/2020,10.85
08/07/2020,10.70
07/07/2020,10.40
06/07/2020,10.40
03/07/2020,10.30
02/07/2020,10.00
01/07/2020,10.15
30/06/2020,9.90
29/06/2020,10.15
26/06/2020,10.25
25/06/2020,10.20
24/06/2020,10.30
23/06/2020,10.25
22/06/2020,10.25
19/06/2020,10.45
18/06/2020,10.30
17/06/2020,10.35
16/06/2020,10.45
15/06/2020,10.20
12/06/2020,10.60
11/06/2020,10.60
10/06/2020,11.35
09/06/2020,10.65
08/06/2020,10.80
05/06/2020,10.80
04/06/2020,10.30
03/06/2020,10.20
02/06/2020,10.20
01/06/2020,10.30
29/05/2020,10.25
28/05/2020,10.20
27/05/2020,10.25
26/05/2020,10.25
25/05/2020,10.20
22/05/2020,10.25
21/05/2020,10.40
20/05/2020,10.40
19/05/2020,10.10
18/05/2020,9.92
15/05/2020,9.95
14/05/2020,9.95
13/05/2020,9.97
12/05/2020,9.91
11/05/2020,9.95
08/05/2020,9.96
07/05/2020,9.94
06/05/2020,9.75
05/05/2020,9.76
04/05/2020,9.80
29/04/2020,10.00
28/04/2020,9.84
27/04/2020,10.10
24/04/2020,9.98
23/04/2020,9.51
22/04/2020,9.08
21/04/2020,9.08
20/04/2020,9.18
17/04/2020,9.19
16/04/2020,8.89
15/04/2020,9.10
14/04/2020,9.10
13/04/2020,9.21
10/04/2020,8.82
09/04/2020,8.66
08/04/2020,8.64
07/04/2020,8.45
06/04/2020,8.45
03/04/2020,7.90
01/04/2020,7.39
31/03/2020,7.10
30/03/2020,6.99
27/03/2020,7.51
26/03/2020,8.00
25/03/2020,8.12
24/03/2020,8.00
23/03/2020,8.51
20/03/2020,9.15
19/03/2020,9.44
18/03/2020,9.45
17/03/2020,9.48
16/03/2020,9.35
13/03/2020,9.30
12/03/2020,9.95
11/03/2020,10.30
10/03/2020,10.40
09/03/2020,10.25
06/03/2020,10.90
05/03/2020,11.20
04/03/2020,10.75
03/03/2020,10.65
02/03/2020,10.40
28/02/2020,10.40
27/02/2020,10.50
26/02/2020,10.40
25/02/2020,10.40
24/02/2020,10.80
21/02/2020,11.35
20/02/2020,11.45
19/02/2020,11.45
18/02/2020,11.50
17/02/2020,11.35
14/02/2020,11.55
13/02/2020,11.55
12/02/2020,11.35
11/02/2020,11.50
10/02/2020,11.50
07/02/2020,11.55
06/02/2020,11.60
05/02/2020,11.00
04/02/2020,11.00
03/02/2020,10.90
31/01/2020,11.50
30/01/2020,11.80
22/01/2020,12.30
21/01/2020,12.10
20/01/2020,12.25
17/01/2020,11.95
16/01/2020,11.70
15/01/2020,11.90
14/01/2020,12.15
13/01/2020,11.85
10/01/2020,12.15
09/01/2020,12.00
08/01/2020,11.75
07/01/2020,12.30
06/01/2020,12.35
03/01/2020,12.95
02/01/2020,13.10
