Date,Closing Price
10/05/2022,41.90
09/05/2022,42.00
06/05/2022,42.40
05/05/2022,42.40
04/05/2022,42.20
29/04/2022,41.85
28/04/2022,41.55
27/04/2022,41.40
26/04/2022,41.20
25/04/2022,41.00
22/04/2022,41.50
21/04/2022,41.35
20/04/2022,41.35
19/04/2022,41.40
18/04/2022,41.40
15/04/2022,41.40
14/04/2022,41.70
13/04/2022,41.80
12/04/2022,41.60
08/04/2022,41.80
07/04/2022,41.90
06/04/2022,41.60
05/04/2022,41.75
04/04/2022,42.00
01/04/2022,41.55
31/03/2022,41.60
30/03/2022,41.60
29/03/2022,41.50
28/03/2022,41.40
25/03/2022,41.50
24/03/2022,41.30
23/03/2022,41.45
22/03/2022,41.40
21/03/2022,41.50
18/03/2022,41.60
17/03/2022,41.60
16/03/2022,41.50
15/03/2022,41.80
14/03/2022,41.50
11/03/2022,42.00
10/03/2022,41.70
09/03/2022,41.55
08/03/2022,41.55
07/03/2022,41.70
04/03/2022,41.70
03/03/2022,41.75
02/03/2022,41.75
01/03/2022,41.75
28/02/2022,41.75
25/02/2022,41.90
24/02/2022,41.30
23/02/2022,41.90
22/02/2022,41.90
21/02/2022,41.90
18/02/2022,42.00
17/02/2022,42.90
16/02/2022,42.75
15/02/2022,42.80
14/02/2022,42.60
11/02/2022,42.60
10/02/2022,42.60
09/02/2022,42.60
08/02/2022,42.80
07/02/2022,42.80
28/01/2022,42.80
27/01/2022,42.80
26/01/2022,42.80
25/01/2022,42.80
24/01/2022,42.80
21/01/2022,42.50
20/01/2022,42.50
19/01/2022,42.50
18/01/2022,42.50
17/01/2022,42.50
14/01/2022,42.80
13/01/2022,42.80
12/01/2022,43.00
11/01/2022,42.50
10/01/2022,42.70
07/01/2022,43.00
06/01/2022,42.50
05/01/2022,42.50
04/01/2022,43.00
31/12/2021,42.70
30/12/2021,43.00
29/12/2021,43.00
28/12/2021,43.10
27/12/2021,43.30
24/12/2021,43.40
23/12/2021,42.30
22/12/2021,42.40
21/12/2021,42.40
20/12/2021,43.00
17/12/2021,43.20
16/12/2021,43.10
15/12/2021,43.40
14/12/2021,43.40
13/12/2021,43.20
10/12/2021,43.30
09/12/2021,43.20
08/12/2021,43.10
07/12/2021,43.10
06/12/2021,43.00
03/12/2021,43.50
02/12/2021,43.50
01/12/2021,43.50
30/11/2021,43.50
29/11/2021,43.80
26/11/2021,43.60
25/11/2021,43.80
24/11/2021,43.80
23/11/2021,43.60
22/11/2021,43.60
19/11/2021,43.50
18/11/2021,43.70
17/11/2021,43.70
16/11/2021,43.70
15/11/2021,43.60
12/11/2021,43.60
11/11/2021,43.50
10/11/2021,43.50
09/11/2021,43.50
08/11/2021,44.00
05/11/2021,42.50
04/11/2021,41.90
03/11/2021,41.00
02/11/2021,40.75
01/11/2021,40.70
29/10/2021,40.80
28/10/2021,40.90
