Date,Closing Price
10/05/2022,19.40
09/05/2022,19.60
06/05/2022,19.90
05/05/2022,19.50
04/05/2022,19.50
29/04/2022,20.00
28/04/2022,20.00
27/04/2022,20.00
26/04/2022,20.00
25/04/2022,20.00
22/04/2022,20.00
21/04/2022,19.95
20/04/2022,19.00
19/04/2022,20.00
18/04/2022,21.10
15/04/2022,21.00
14/04/2022,21.00
13/04/2022,22.00
12/04/2022,21.00
08/04/2022,22.05
07/04/2022,20.90
06/04/2022,21.90
05/04/2022,20.90
04/04/2022,21.00
01/04/2022,20.80
31/03/2022,20.80
30/03/2022,21.05
29/03/2022,21.60
28/03/2022,21.60
25/03/2022,21.70
24/03/2022,21.70
23/03/2022,21.70
22/03/2022,21.70
21/03/2022,21.70
18/03/2022,21.70
17/03/2022,22.00
16/03/2022,21.75
15/03/2022,22.70
14/03/2022,22.70
11/03/2022,23.40
10/03/2022,21.90
09/03/2022,21.00
08/03/2022,21.00
07/03/2022,20.60
04/03/2022,21.30
03/03/2022,22.00
02/03/2022,22.35
01/03/2022,20.90
28/02/2022,19.55
25/02/2022,19.50
24/02/2022,19.20
23/02/2022,19.80
22/02/2022,19.50
21/02/2022,20.10
18/02/2022,20.10
17/02/2022,19.90
16/02/2022,19.90
15/02/2022,20.00
14/02/2022,20.00
11/02/2022,20.30
10/02/2022,19.80
09/02/2022,19.40
08/02/2022,20.00
07/02/2022,20.00
28/01/2022,19.00
27/01/2022,19.50
26/01/2022,19.60
25/01/2022,19.20
24/01/2022,19.00
21/01/2022,20.00
20/01/2022,18.70
19/01/2022,17.70
18/01/2022,17.70
17/01/2022,19.00
14/01/2022,19.60
13/01/2022,19.60
12/01/2022,19.90
11/01/2022,19.70
10/01/2022,20.05
07/01/2022,19.90
06/01/2022,20.05
05/01/2022,20.00
04/01/2022,20.40
31/12/2021,20.60
30/12/2021,20.60
29/12/2021,20.60
28/12/2021,20.70
27/12/2021,20.50
24/12/2021,20.30
23/12/2021,20.05
22/12/2021,19.90
21/12/2021,19.75
20/12/2021,20.10
17/12/2021,20.10
16/12/2021,20.00
15/12/2021,20.40
14/12/2021,20.05
13/12/2021,19.90
10/12/2021,20.50
09/12/2021,20.50
08/12/2021,20.50
07/12/2021,20.45
06/12/2021,21.15
03/12/2021,22.70
02/12/2021,22.70
01/12/2021,24.40
30/11/2021,22.85
29/11/2021,21.40
26/11/2021,20.00
25/11/2021,20.30
24/11/2021,20.70
23/11/2021,20.80
22/11/2021,21.00
19/11/2021,21.05
18/11/2021,21.50
17/11/2021,21.50
16/11/2021,21.90
15/11/2021,21.55
12/11/2021,20.80
11/11/2021,20.40
10/11/2021,21.00
09/11/2021,21.60
08/11/2021,21.95
05/11/2021,21.70
04/11/2021,20.30
03/11/2021,20.40
02/11/2021,20.30
01/11/2021,20.30
29/10/2021,20.00
28/10/2021,20.55
27/10/2021,20.80
26/10/2021,21.50
25/10/2021,20.95
22/10/2021,19.60
21/10/2021,18.35
20/10/2021,18.20
19/10/2021,18.90
18/10/2021,19.00
15/10/2021,18.80
14/10/2021,18.50
13/10/2021,18.50
12/10/2021,18.00
11/10/2021,18.15
08/10/2021,18.30
07/10/2021,18.80
06/10/2021,18.95
05/10/2021,19.00
04/10/2021,19.80
01/10/2021,19.90
30/09/2021,20.60
29/09/2021,20.30
28/09/2021,20.60
27/09/2021,21.20
24/09/2021,21.10
23/09/2021,21.80
22/09/2021,22.25
21/09/2021,22.30
20/09/2021,23.30
17/09/2021,24.70
16/09/2021,26.55
15/09/2021,28.50
14/09/2021,27.60
13/09/2021,25.80
10/09/2021,24.15
09/09/2021,25.95
08/09/2021,27.90
07/09/2021,30.00
06/09/2021,32.25
01/09/2021,30.15
31/08/2021,28.20
30/08/2021,26.40
27/08/2021,24.70
26/08/2021,23.10
25/08/2021,21.60
24/08/2021,20.20
23/08/2021,18.90
20/08/2021,17.70
19/08/2021,16.55
18/08/2021,15.50
17/08/2021,14.50
16/08/2021,14.10
13/08/2021,13.80
12/08/2021,13.80
11/08/2021,13.80
10/08/2021,13.80
09/08/2021,13.50
06/08/2021,13.50
05/08/2021,13.50
04/08/2021,13.10
03/08/2021,13.05
02/08/2021,13.10
30/07/2021,13.20
29/07/2021,13.20
28/07/2021,13.30
27/07/2021,13.10
26/07/2021,13.05
23/07/2021,13.10
22/07/2021,13.10
21/07/2021,13.10
20/07/2021,13.10
19/07/2021,13.10
16/07/2021,13.10
15/07/2021,13.10
14/07/2021,13.00
13/07/2021,12.80
12/07/2021,12.80
09/07/2021,12.80
08/07/2021,12.85
07/07/2021,13.10
06/07/2021,13.10
05/07/2021,13.00
02/07/2021,13.40
01/07/2021,13.00
30/06/2021,13.80
29/06/2021,13.80
28/06/2021,13.80
25/06/2021,13.80
24/06/2021,14.00
23/06/2021,14.00
22/06/2021,13.80
21/06/2021,12.90
18/06/2021,12.90
17/06/2021,12.90
16/06/2021,13.00
15/06/2021,13.00
14/06/2021,13.00
11/06/2021,13.00
10/06/2021,13.20
09/06/2021,13.35
08/06/2021,13.40
07/06/2021,13.40
04/06/2021,13.00
03/06/2021,12.35
02/06/2021,13.25
01/06/2021,13.40
31/05/2021,13.40
28/05/2021,13.30
27/05/2021,14.00
26/05/2021,13.90
25/05/2021,13.00
24/05/2021,13.00
21/05/2021,13.00
20/05/2021,13.00
19/05/2021,13.00
18/05/2021,12.80
17/05/2021,13.00
14/05/2021,13.30
13/05/2021,13.20
12/05/2021,13.20
11/05/2021,13.40
10/05/2021,13.40
07/05/2021,13.40
06/05/2021,13.40
05/05/2021,13.60
04/05/2021,13.60
29/04/2021,13.30
28/04/2021,13.40
27/04/2021,13.50
26/04/2021,13.80
23/04/2021,13.80
22/04/2021,13.60
20/04/2021,13.60
19/04/2021,13.40
16/04/2021,13.00
15/04/2021,13.00
14/04/2021,13.00
13/04/2021,13.20
12/04/2021,13.30
09/04/2021,13.30
08/04/2021,13.00
07/04/2021,13.00
06/04/2021,13.30
05/04/2021,13.20
02/04/2021,13.20
01/04/2021,13.20
31/03/2021,12.50
30/03/2021,12.50
29/03/2021,12.60
26/03/2021,12.60
25/03/2021,12.60
24/03/2021,12.70
23/03/2021,12.90
22/03/2021,12.90
19/03/2021,12.90
18/03/2021,13.00
17/03/2021,13.00
16/03/2021,12.80
15/03/2021,12.80
12/03/2021,13.10
11/03/2021,13.00
10/03/2021,13.00
09/03/2021,13.25
08/03/2021,13.00
05/03/2021,13.00
04/03/2021,13.00
03/03/2021,13.00
02/03/2021,13.30
01/03/2021,13.30
26/02/2021,12.50
25/02/2021,12.50
24/02/2021,12.50
23/02/2021,12.45
22/02/2021,12.45
19/02/2021,12.50
18/02/2021,12.50
17/02/2021,12.40
09/02/2021,12.60
08/02/2021,12.75
05/02/2021,12.00
04/02/2021,12.40
03/02/2021,12.45
02/02/2021,12.45
01/02/2021,13.10
29/01/2021,13.10
28/01/2021,13.30
27/01/2021,13.30
26/01/2021,13.30
25/01/2021,13.30
22/01/2021,13.00
21/01/2021,13.00
20/01/2021,13.00
19/01/2021,12.60
18/01/2021,13.00
15/01/2021,13.40
14/01/2021,13.00
13/01/2021,13.00
12/01/2021,13.50
11/01/2021,13.95
08/01/2021,13.95
07/01/2021,13.95
06/01/2021,13.95
05/01/2021,13.40
04/01/2021,13.40
31/12/2020,13.40
30/12/2020,13.20
29/12/2020,12.75
28/12/2020,13.15
25/12/2020,13.30
24/12/2020,13.00
23/12/2020,12.70
22/12/2020,13.20
21/12/2020,13.30
18/12/2020,13.40
17/12/2020,13.45
16/12/2020,12.95
15/12/2020,13.15
14/12/2020,13.15
11/12/2020,13.20
10/12/2020,13.05
09/12/2020,13.20
08/12/2020,13.35
07/12/2020,12.80
04/12/2020,12.80
03/12/2020,12.70
02/12/2020,12.70
01/12/2020,12.40
30/11/2020,12.40
27/11/2020,13.00
26/11/2020,13.00
25/11/2020,12.80
24/11/2020,12.00
23/11/2020,12.90
20/11/2020,12.40
19/11/2020,12.55
18/11/2020,12.55
17/11/2020,12.55
16/11/2020,12.55
13/11/2020,12.40
12/11/2020,12.40
11/11/2020,12.35
10/11/2020,12.35
09/11/2020,12.50
06/11/2020,12.45
05/11/2020,12.50
04/11/2020,12.40
