Date,Closing Price
10/05/2022,16.35
09/05/2022,15.75
06/05/2022,14.75
05/05/2022,13.80
04/05/2022,13.80
29/04/2022,13.90
28/04/2022,13.10
27/04/2022,13.50
26/04/2022,13.45
25/04/2022,13.35
22/04/2022,12.50
21/04/2022,12.50
20/04/2022,12.40
19/04/2022,12.30
18/04/2022,12.50
15/04/2022,12.70
14/04/2022,12.60
13/04/2022,12.50
12/04/2022,12.60
08/04/2022,12.80
07/04/2022,12.70
06/04/2022,12.75
05/04/2022,12.60
04/04/2022,12.50
01/04/2022,12.10
31/03/2022,12.90
30/03/2022,12.90
29/03/2022,13.00
28/03/2022,13.00
25/03/2022,13.00
24/03/2022,13.10
23/03/2022,13.00
22/03/2022,13.00
21/03/2022,13.00
18/03/2022,13.35
17/03/2022,12.80
16/03/2022,12.00
15/03/2022,12.00
14/03/2022,12.50
11/03/2022,12.55
10/03/2022,12.40
09/03/2022,12.45
08/03/2022,12.00
07/03/2022,12.25
04/03/2022,12.20
03/03/2022,12.00
02/03/2022,12.00
01/03/2022,12.50
28/02/2022,12.30
25/02/2022,12.70
24/02/2022,12.20
23/02/2022,12.40
22/02/2022,12.40
21/02/2022,12.50
18/02/2022,12.50
17/02/2022,12.50
16/02/2022,12.90
15/02/2022,12.30
14/02/2022,13.15
11/02/2022,13.30
10/02/2022,13.35
09/02/2022,12.50
08/02/2022,12.45
07/02/2022,12.50
28/01/2022,12.00
27/01/2022,11.75
26/01/2022,12.50
25/01/2022,13.10
24/01/2022,12.30
21/01/2022,13.15
20/01/2022,13.15
19/01/2022,12.30
18/01/2022,11.50
17/01/2022,12.25
14/01/2022,13.00
13/01/2022,12.80
12/01/2022,12.60
11/01/2022,13.00
10/01/2022,13.60
07/01/2022,13.85
06/01/2022,14.10
05/01/2022,14.10
04/01/2022,14.20
31/12/2021,14.00
30/12/2021,14.00
29/12/2021,14.00
28/12/2021,14.10
27/12/2021,13.90
24/12/2021,13.80
23/12/2021,14.60
22/12/2021,13.65
21/12/2021,12.80
20/12/2021,12.00
17/12/2021,11.50
16/12/2021,11.30
15/12/2021,11.90
14/12/2021,11.90
13/12/2021,11.80
10/12/2021,11.70
09/12/2021,11.60
08/12/2021,11.50
07/12/2021,12.00
06/12/2021,11.50
03/12/2021,11.80
02/12/2021,11.95
01/12/2021,11.90
30/11/2021,11.60
29/11/2021,11.10
26/11/2021,11.40
25/11/2021,11.50
24/11/2021,11.60
23/11/2021,11.80
22/11/2021,12.00
19/11/2021,11.70
18/11/2021,12.20
17/11/2021,12.50
16/11/2021,13.00
15/11/2021,13.80
12/11/2021,13.50
11/11/2021,12.65
10/11/2021,12.80
09/11/2021,12.60
08/11/2021,12.50
05/11/2021,12.30
04/11/2021,11.50
03/11/2021,11.25
02/11/2021,11.25
01/11/2021,11.40
29/10/2021,11.20
28/10/2021,11.20
27/10/2021,10.80
26/10/2021,10.90
25/10/2021,10.90
22/10/2021,11.00
21/10/2021,11.00
20/10/2021,10.90
19/10/2021,11.60
18/10/2021,11.00
15/10/2021,11.10
14/10/2021,10.75
13/10/2021,10.75
12/10/2021,10.40
11/10/2021,10.80
08/10/2021,10.80
07/10/2021,10.85
06/10/2021,10.95
05/10/2021,10.60
04/10/2021,11.30
01/10/2021,11.30
30/09/2021,11.30
29/09/2021,11.30
28/09/2021,11.40
27/09/2021,11.40
24/09/2021,11.40
23/09/2021,11.40
22/09/2021,11.00
21/09/2021,10.70
20/09/2021,11.45
17/09/2021,11.50
16/09/2021,11.15
15/09/2021,11.20
14/09/2021,10.70
13/09/2021,10.70
10/09/2021,10.50
09/09/2021,10.05
08/09/2021,10.05
07/09/2021,10.40
06/09/2021,10.30
01/09/2021,10.20
31/08/2021,10.20
30/08/2021,10.10
27/08/2021,10.10
26/08/2021,10.20
25/08/2021,10.20
24/08/2021,10.00
23/08/2021,10.00
20/08/2021,10.00
19/08/2021,10.30
18/08/2021,10.00
17/08/2021,10.70
16/08/2021,10.70
13/08/2021,10.00
12/08/2021,10.00
11/08/2021,10.20
10/08/2021,10.40
09/08/2021,10.40
06/08/2021,10.40
05/08/2021,10.40
04/08/2021,10.05
03/08/2021,10.05
