Date,Closing Price
10/05/2022,30.90
09/05/2022,29.80
06/05/2022,31.65
05/05/2022,32.00
04/05/2022,31.75
29/04/2022,31.00
28/04/2022,30.80
27/04/2022,30.80
26/04/2022,30.80
25/04/2022,32.40
22/04/2022,32.50
21/04/2022,32.80
20/04/2022,31.00
19/04/2022,32.50
18/04/2022,33.10
15/04/2022,33.20
14/04/2022,33.00
13/04/2022,33.00
12/04/2022,33.20
08/04/2022,31.60
07/04/2022,29.55
06/04/2022,31.10
05/04/2022,33.25
04/04/2022,32.00
01/04/2022,31.90
31/03/2022,31.80
30/03/2022,31.95
29/03/2022,32.50
28/03/2022,31.80
25/03/2022,31.00
24/03/2022,30.85
23/03/2022,30.00
22/03/2022,29.00
21/03/2022,29.00
18/03/2022,29.00
17/03/2022,29.00
16/03/2022,29.00
15/03/2022,29.00
14/03/2022,29.00
11/03/2022,29.50
10/03/2022,29.60
09/03/2022,29.60
08/03/2022,30.85
07/03/2022,30.20
04/03/2022,30.80
03/03/2022,29.30
02/03/2022,28.90
01/03/2022,29.00
28/02/2022,28.70
25/02/2022,28.70
24/02/2022,28.70
23/02/2022,28.95
22/02/2022,29.30
21/02/2022,29.40
18/02/2022,29.50
17/02/2022,29.00
16/02/2022,29.00
15/02/2022,29.00
14/02/2022,29.00
11/02/2022,29.00
10/02/2022,29.70
09/02/2022,29.00
08/02/2022,28.60
07/02/2022,29.45
28/01/2022,30.00
27/01/2022,31.05
26/01/2022,29.90
25/01/2022,30.45
24/01/2022,31.00
21/01/2022,29.20
20/01/2022,30.30
19/01/2022,31.55
18/01/2022,31.00
17/01/2022,32.15
14/01/2022,32.15
13/01/2022,30.05
12/01/2022,30.00
11/01/2022,29.10
10/01/2022,29.30
07/01/2022,30.50
06/01/2022,30.60
05/01/2022,30.95
04/01/2022,30.95
31/12/2021,29.00
30/12/2021,29.80
29/12/2021,29.00
28/12/2021,28.50
27/12/2021,27.45
24/12/2021,28.00
23/12/2021,29.55
22/12/2021,30.50
21/12/2021,30.50
20/12/2021,30.50
17/12/2021,31.30
16/12/2021,30.80
15/12/2021,31.40
14/12/2021,30.70
13/12/2021,30.70
10/12/2021,31.30
09/12/2021,31.60
08/12/2021,32.00
07/12/2021,31.00
06/12/2021,29.70
03/12/2021,31.00
02/12/2021,31.85
01/12/2021,32.30
30/11/2021,33.05
29/11/2021,33.00
26/11/2021,33.40
25/11/2021,33.40
24/11/2021,33.00
23/11/2021,33.50
22/11/2021,33.10
19/11/2021,34.50
18/11/2021,35.60
17/11/2021,34.00
16/11/2021,34.85
15/11/2021,34.90
12/11/2021,34.00
11/11/2021,36.40
10/11/2021,34.15
09/11/2021,31.95
08/11/2021,29.90
05/11/2021,27.95
04/11/2021,26.15
03/11/2021,25.95
02/11/2021,26.75
01/11/2021,26.60
29/10/2021,26.45
28/10/2021,26.00
27/10/2021,25.95
26/10/2021,26.85
25/10/2021,25.70
22/10/2021,25.85
21/10/2021,25.90
20/10/2021,25.90
19/10/2021,26.20
18/10/2021,26.40
15/10/2021,26.50
14/10/2021,26.90
13/10/2021,26.90
12/10/2021,26.80
11/10/2021,26.80
08/10/2021,26.30
07/10/2021,26.00
06/10/2021,25.90
05/10/2021,25.60
04/10/2021,25.55
01/10/2021,25.35
30/09/2021,26.10
29/09/2021,25.25
28/09/2021,25.50
27/09/2021,25.60
24/09/2021,26.30
23/09/2021,26.50
22/09/2021,27.00
21/09/2021,26.10
20/09/2021,26.50
17/09/2021,26.80
16/09/2021,26.90
15/09/2021,27.45
14/09/2021,27.20
13/09/2021,26.00
10/09/2021,27.40
09/09/2021,27.90
08/09/2021,28.00
07/09/2021,28.20
06/09/2021,29.60
01/09/2021,27.80
31/08/2021,26.30
30/08/2021,26.30
27/08/2021,25.60
26/08/2021,26.20
25/08/2021,24.85
24/08/2021,24.90
23/08/2021,25.00
20/08/2021,25.55
19/08/2021,25.75
18/08/2021,26.70
17/08/2021,26.70
16/08/2021,27.80
13/08/2021,27.60
12/08/2021,25.80
11/08/2021,27.30
10/08/2021,25.55
09/08/2021,23.90
06/08/2021,22.35
05/08/2021,20.90
04/08/2021,21.60
03/08/2021,20.20
02/08/2021,18.90
30/07/2021,17.70
29/07/2021,17.40
28/07/2021,17.40
27/07/2021,17.40
26/07/2021,17.50
23/07/2021,16.70
22/07/2021,16.55
21/07/2021,16.00
20/07/2021,16.00
19/07/2021,15.90
16/07/2021,16.00
15/07/2021,16.00
14/07/2021,16.00
13/07/2021,16.10
12/07/2021,16.00
09/07/2021,16.95
08/07/2021,16.90
07/07/2021,16.95
06/07/2021,17.20
05/07/2021,17.80
02/07/2021,18.00
01/07/2021,18.00
30/06/2021,17.80
29/06/2021,17.80
28/06/2021,17.90
25/06/2021,17.90
24/06/2021,18.20
23/06/2021,18.20
22/06/2021,18.70
21/06/2021,18.50
18/06/2021,18.85
17/06/2021,18.15
16/06/2021,17.90
15/06/2021,18.00
14/06/2021,18.35
11/06/2021,17.20
10/06/2021,17.10
09/06/2021,17.10
08/06/2021,16.80
07/06/2021,16.80
04/06/2021,17.30
03/06/2021,17.40
02/06/2021,17.00
01/06/2021,17.00
31/05/2021,17.50
28/05/2021,18.20
27/05/2021,17.80
26/05/2021,18.80
25/05/2021,18.15
24/05/2021,17.00
21/05/2021,15.90
20/05/2021,15.60
19/05/2021,15.70
18/05/2021,15.80
17/05/2021,15.90
14/05/2021,15.90
13/05/2021,16.00
12/05/2021,16.00
11/05/2021,16.80
10/05/2021,15.95
07/05/2021,16.90
06/05/2021,16.80
05/05/2021,16.20
04/05/2021,16.90
29/04/2021,16.70
28/04/2021,16.70
27/04/2021,16.60
26/04/2021,16.70
23/04/2021,16.90
22/04/2021,17.00
20/04/2021,16.90
19/04/2021,15.80
16/04/2021,15.50
15/04/2021,15.50
14/04/2021,15.60
13/04/2021,15.65
12/04/2021,15.65
09/04/2021,15.60
08/04/2021,15.70
07/04/2021,15.70
06/04/2021,15.60
05/04/2021,15.45
02/04/2021,15.75
01/04/2021,15.60
31/03/2021,15.75
30/03/2021,16.00
29/03/2021,16.00
26/03/2021,15.40
25/03/2021,15.55
24/03/2021,15.90
23/03/2021,15.80
22/03/2021,16.00
19/03/2021,16.00
18/03/2021,16.00
17/03/2021,16.10
16/03/2021,15.90
15/03/2021,16.50
12/03/2021,15.90
11/03/2021,16.20
10/03/2021,16.00
09/03/2021,16.00
08/03/2021,15.60
05/03/2021,15.50
04/03/2021,15.50
03/03/2021,15.60
02/03/2021,15.60
01/03/2021,15.50
26/02/2021,15.50
25/02/2021,15.50
24/02/2021,15.60
23/02/2021,15.80
22/02/2021,15.65
19/02/2021,14.65
18/02/2021,14.75
17/02/2021,14.75
09/02/2021,14.90
08/02/2021,15.10
05/02/2021,15.10
04/02/2021,15.00
03/02/2021,15.20
02/02/2021,14.80
01/02/2021,14.50
29/01/2021,15.45
28/01/2021,14.90
27/01/2021,16.00
26/01/2021,16.50
25/01/2021,16.85
22/01/2021,17.00
21/01/2021,16.75
20/01/2021,15.70
19/01/2021,15.60
18/01/2021,15.80
15/01/2021,15.80
14/01/2021,16.20
13/01/2021,16.70
12/01/2021,15.90
11/01/2021,16.10
08/01/2021,16.80
07/01/2021,16.80
06/01/2021,17.00
05/01/2021,17.00
04/01/2021,16.25
31/12/2020,15.20
30/12/2020,14.95
29/12/2020,15.10
28/12/2020,15.00
25/12/2020,14.85
24/12/2020,14.80
23/12/2020,15.10
22/12/2020,15.00
21/12/2020,14.80
18/12/2020,14.70
17/12/2020,14.30
16/12/2020,14.40
15/12/2020,14.50
14/12/2020,14.40
11/12/2020,14.20
10/12/2020,14.80
09/12/2020,14.50
08/12/2020,14.60
07/12/2020,14.55
04/12/2020,14.50
03/12/2020,14.60
02/12/2020,14.75
01/12/2020,14.50
30/11/2020,14.15
27/11/2020,14.60
26/11/2020,14.25
25/11/2020,14.30
24/11/2020,14.40
23/11/2020,14.50
20/11/2020,14.70
19/11/2020,14.80
18/11/2020,14.30
17/11/2020,14.30
16/11/2020,14.85
13/11/2020,14.50
12/11/2020,14.70
11/11/2020,14.70
10/11/2020,14.65
09/11/2020,14.50
06/11/2020,14.50
05/11/2020,14.50
04/11/2020,14.30
03/11/2020,14.75
02/11/2020,13.80
30/10/2020,14.05
29/10/2020,14.90
28/10/2020,14.05
27/10/2020,14.80
26/10/2020,14.85
23/10/2020,14.65
22/10/2020,14.75
21/10/2020,14.75
20/10/2020,14.45
19/10/2020,14.45
16/10/2020,14.40
15/10/2020,14.55
14/10/2020,14.70
13/10/2020,14.80
12/10/2020,14.75
09/10/2020,14.60
08/10/2020,14.75
07/10/2020,14.75
06/10/2020,14.70
05/10/2020,14.65
02/10/2020,14.60
01/10/2020,14.75
30/09/2020,14.80
29/09/2020,14.60
28/09/2020,14.65
25/09/2020,14.70
24/09/2020,14.90
23/09/2020,14.80
22/09/2020,15.00
21/09/2020,14.95
18/09/2020,14.80
17/09/2020,15.00
16/09/2020,15.90
15/09/2020,16.10
14/09/2020,15.75
11/09/2020,14.75
10/09/2020,14.75
09/09/2020,14.75
08/09/2020,14.75
07/09/2020,14.35
04/09/2020,14.30
03/09/2020,14.70
01/09/2020,14.70
31/08/2020,14.95
28/08/2020,14.80
27/08/2020,15.25
26/08/2020,15.65
25/08/2020,16.80
24/08/2020,16.50
21/08/2020,15.95
20/08/2020,17.15
19/08/2020,18.40
18/08/2020,19.60
17/08/2020,18.35
14/08/2020,17.15
13/08/2020,16.05
12/08/2020,15.00
11/08/2020,14.05
10/08/2020,14.05
07/08/2020,14.00
06/08/2020,14.75
05/08/2020,13.90
04/08/2020,14.90
03/08/2020,14.90
31/07/2020,14.90
30/07/2020,14.90
29/07/2020,14.90
28/07/2020,14.85
27/07/2020,14.85
24/07/2020,13.90
23/07/2020,14.90
22/07/2020,14.90
21/07/2020,15.00
20/07/2020,15.00
17/07/2020,15.00
16/07/2020,15.00
15/07/2020,15.10
14/07/2020,15.10
13/07/2020,15.10
10/07/2020,14.60
09/07/2020,14.55
08/07/2020,14.50
07/07/2020,14.50
06/07/2020,14.50
03/07/2020,14.50
02/07/2020,14.70
01/07/2020,14.70
30/06/2020,14.20
29/06/2020,13.30
26/06/2020,13.80
25/06/2020,14.50
24/06/2020,14.50
23/06/2020,14.65
22/06/2020,14.50
19/06/2020,14.10
18/06/2020,14.70
17/06/2020,14.75
16/06/2020,15.00
15/06/2020,14.30
12/06/2020,14.40
11/06/2020,14.40
10/06/2020,15.25
09/06/2020,15.45
08/06/2020,15.40
05/06/2020,15.40
04/06/2020,15.45
03/06/2020,15.00
02/06/2020,14.85
01/06/2020,15.00
29/05/2020,15.00
28/05/2020,15.50
27/05/2020,15.60
26/05/2020,15.60
25/05/2020,15.90
22/05/2020,16.00
21/05/2020,16.00
20/05/2020,16.00
19/05/2020,16.00
18/05/2020,16.60
15/05/2020,16.60
14/05/2020,16.70
13/05/2020,16.70
12/05/2020,16.50
11/05/2020,16.00
08/05/2020,15.60
07/05/2020,15.60
06/05/2020,15.70
05/05/2020,15.70
04/05/2020,15.60
29/04/2020,15.70
28/04/2020,15.70
27/04/2020,15.70
24/04/2020,15.70
23/04/2020,15.70
22/04/2020,15.70
21/04/2020,15.70
20/04/2020,14.90
17/04/2020,14.50
16/04/2020,14.50
15/04/2020,14.00
14/04/2020,14.20
13/04/2020,15.00
10/04/2020,15.00
09/04/2020,15.00
08/04/2020,15.40
07/04/2020,14.90
06/04/2020,14.90
03/04/2020,15.30
01/04/2020,14.30
31/03/2020,15.35
30/03/2020,15.35
27/03/2020,16.50
26/03/2020,16.50
25/03/2020,16.50
24/03/2020,17.00
23/03/2020,16.50
20/03/2020,15.75
19/03/2020,16.90
18/03/2020,16.90
17/03/2020,16.90
16/03/2020,16.90
13/03/2020,16.90
12/03/2020,15.80
11/03/2020,16.90
10/03/2020,16.90
09/03/2020,17.00
06/03/2020,17.00
05/03/2020,17.40
04/03/2020,17.50
03/03/2020,17.00
02/03/2020,17.00
28/02/2020,17.00
27/02/2020,17.00
26/02/2020,17.00
25/02/2020,17.00
24/02/2020,17.00
21/02/2020,17.50
20/02/2020,17.70
19/02/2020,17.70
18/02/2020,17.70
17/02/2020,17.70
14/02/2020,17.70
13/02/2020,17.00
12/02/2020,17.00
11/02/2020,16.50
10/02/2020,16.80
07/02/2020,16.80
06/02/2020,16.00
05/02/2020,15.90
04/02/2020,16.00
03/02/2020,16.50
31/01/2020,16.90
30/01/2020,16.85
22/01/2020,16.30
21/01/2020,16.30
20/01/2020,16.10
17/01/2020,16.50
16/01/2020,16.00
15/01/2020,16.00
14/01/2020,16.00
13/01/2020,16.00
10/01/2020,15.50
09/01/2020,15.50
08/01/2020,14.90
07/01/2020,15.45
06/01/2020,15.45
03/01/2020,15.45
02/01/2020,15.95
