Date,Closing Price
10/05/2022,102.70
09/05/2022,102.70
06/05/2022,102.70
05/05/2022,102.70
04/05/2022,102.70
29/04/2022,102.60
28/04/2022,102.60
27/04/2022,102.60
26/04/2022,102.60
25/04/2022,102.60
22/04/2022,99.50
21/04/2022,99.50
20/04/2022,99.50
19/04/2022,99.50
18/04/2022,106.80
15/04/2022,100.00
14/04/2022,100.00
13/04/2022,100.00
12/04/2022,103.50
08/04/2022,97.00
07/04/2022,97.00
06/04/2022,103.70
05/04/2022,103.70
04/04/2022,103.70
01/04/2022,103.70
31/03/2022,103.70
30/03/2022,103.70
29/03/2022,103.70
28/03/2022,103.60
25/03/2022,103.60
24/03/2022,111.20
23/03/2022,111.20
22/03/2022,111.20
21/03/2022,111.20
18/03/2022,111.20
17/03/2022,111.30
16/03/2022,111.30
15/03/2022,111.30
14/03/2022,111.30
11/03/2022,111.30
10/03/2022,111.30
09/03/2022,111.30
08/03/2022,111.20
07/03/2022,111.20
04/03/2022,104.00
03/03/2022,106.00
02/03/2022,108.00
01/03/2022,110.00
28/02/2022,112.00
25/02/2022,115.00
24/02/2022,115.00
23/02/2022,118.00
22/02/2022,118.00
21/02/2022,118.00
18/02/2022,115.80
17/02/2022,115.20
16/02/2022,115.20
15/02/2022,115.20
14/02/2022,115.20
11/02/2022,115.20
10/02/2022,115.20
09/02/2022,115.20
08/02/2022,123.80
07/02/2022,123.80
28/01/2022,123.80
27/01/2022,123.80
26/01/2022,123.80
25/01/2022,116.30
24/01/2022,116.30
21/01/2022,109.00
20/01/2022,107.00
19/01/2022,100.00
18/01/2022,100.00
17/01/2022,100.00
14/01/2022,100.00
13/01/2022,102.70
12/01/2022,110.00
11/01/2022,104.50
10/01/2022,97.70
07/01/2022,105.00
06/01/2022,105.00
05/01/2022,112.90
04/01/2022,112.90
31/12/2021,105.60
30/12/2021,113.50
29/12/2021,113.60
28/12/2021,122.10
27/12/2021,131.20
24/12/2021,131.20
23/12/2021,131.20
22/12/2021,141.00
21/12/2021,132.90
20/12/2021,132.90
17/12/2021,132.90
16/12/2021,142.90
15/12/2021,143.00
14/12/2021,148.80
13/12/2021,139.30
10/12/2021,130.20
09/12/2021,140.00
08/12/2021,134.80
07/12/2021,126.00
06/12/2021,117.80
03/12/2021,110.40
02/12/2021,103.20
01/12/2021,96.50
30/11/2021,96.50
29/11/2021,90.20
26/11/2021,92.90
25/11/2021,87.00
24/11/2021,93.00
23/11/2021,93.00
22/11/2021,93.00
19/11/2021,93.00
18/11/2021,93.00
17/11/2021,93.00
16/11/2021,91.20
15/11/2021,95.00
12/11/2021,93.00
11/11/2021,93.00
10/11/2021,93.00
09/11/2021,87.00
08/11/2021,88.50
05/11/2021,92.00
04/11/2021,91.00
03/11/2021,95.00
02/11/2021,94.50
01/11/2021,98.00
29/10/2021,98.00
28/10/2021,103.00
27/10/2021,107.00
26/10/2021,100.00
25/10/2021,104.80
22/10/2021,98.00
21/10/2021,94.00
20/10/2021,88.80
19/10/2021,88.80
18/10/2021,83.00
15/10/2021,81.00
14/10/2021,81.00
13/10/2021,81.00
12/10/2021,76.30
11/10/2021,82.00
08/10/2021,82.00
07/10/2021,81.40
06/10/2021,81.00
05/10/2021,81.00
04/10/2021,81.00
01/10/2021,81.00
