Date,Closing Price
10/05/2022,13.75
09/05/2022,13.80
06/05/2022,14.80
05/05/2022,15.45
04/05/2022,15.60
29/04/2022,16.10
28/04/2022,15.70
27/04/2022,15.90
26/04/2022,15.55
25/04/2022,14.75
22/04/2022,15.85
21/04/2022,15.40
20/04/2022,15.60
19/04/2022,15.65
18/04/2022,16.80
15/04/2022,18.05
14/04/2022,18.70
13/04/2022,18.90
12/04/2022,18.80
08/04/2022,19.00
07/04/2022,19.80
06/04/2022,20.20
05/04/2022,20.35
04/04/2022,20.60
01/04/2022,20.70
31/03/2022,20.20
30/03/2022,20.35
29/03/2022,21.40
28/03/2022,21.00
25/03/2022,21.90
24/03/2022,21.25
23/03/2022,21.00
22/03/2022,21.10
21/03/2022,21.30
18/03/2022,20.70
17/03/2022,20.75
16/03/2022,20.50
15/03/2022,20.40
14/03/2022,20.10
11/03/2022,21.00
10/03/2022,21.55
09/03/2022,21.45
08/03/2022,21.80
07/03/2022,22.30
04/03/2022,22.10
03/03/2022,21.40
02/03/2022,21.15
01/03/2022,21.60
28/02/2022,21.35
25/02/2022,21.55
24/02/2022,21.30
23/02/2022,22.00
22/02/2022,21.95
21/02/2022,22.65
18/02/2022,22.50
17/02/2022,21.75
16/02/2022,21.85
15/02/2022,20.75
14/02/2022,20.30
11/02/2022,20.70
10/02/2022,21.00
09/02/2022,21.05
08/02/2022,20.40
07/02/2022,20.45
28/01/2022,19.75
27/01/2022,19.50
26/01/2022,19.80
25/01/2022,21.25
24/01/2022,21.15
21/01/2022,22.70
20/01/2022,22.35
19/01/2022,20.80
18/01/2022,20.60
17/01/2022,22.15
14/01/2022,23.80
13/01/2022,22.80
12/01/2022,26.35
11/01/2022,28.30
10/01/2022,28.00
07/01/2022,28.50
06/01/2022,29.00
05/01/2022,28.30
04/01/2022,28.10
31/12/2021,27.45
30/12/2021,28.15
29/12/2021,28.50
28/12/2021,29.35
27/12/2021,29.55
24/12/2021,27.65
23/12/2021,27.85
22/12/2021,28.20
21/12/2021,26.40
20/12/2021,24.70
17/12/2021,25.20
16/12/2021,25.10
15/12/2021,24.05
14/12/2021,24.00
13/12/2021,23.50
10/12/2021,22.00
09/12/2021,22.30
08/12/2021,20.85
07/12/2021,21.15
06/12/2021,20.80
03/12/2021,22.35
02/12/2021,24.00
01/12/2021,24.30
30/11/2021,24.35
29/11/2021,23.30
26/11/2021,23.50
25/11/2021,24.05
24/11/2021,22.50
23/11/2021,23.50
22/11/2021,23.90
19/11/2021,25.65
18/11/2021,25.45
17/11/2021,23.80
16/11/2021,23.30
15/11/2021,23.35
12/11/2021,21.85
11/11/2021,20.45
10/11/2021,19.15
09/11/2021,18.55
08/11/2021,18.90
05/11/2021,18.50
04/11/2021,18.00
03/11/2021,18.00
02/11/2021,19.05
01/11/2021,18.85
29/10/2021,17.85
28/10/2021,17.40
27/10/2021,16.95
26/10/2021,16.85
25/10/2021,17.00
22/10/2021,17.00
21/10/2021,16.65
20/10/2021,16.65
19/10/2021,16.55
18/10/2021,16.75
15/10/2021,17.05
14/10/2021,17.15
13/10/2021,17.10
12/10/2021,17.20
11/10/2021,17.00
08/10/2021,17.05
07/10/2021,17.30
06/10/2021,17.60
05/10/2021,17.55
04/10/2021,17.50
01/10/2021,17.90
30/09/2021,17.85
29/09/2021,17.80
28/09/2021,18.05
27/09/2021,17.90
24/09/2021,18.05
23/09/2021,17.65
22/09/2021,17.25
