Date,Closing Price
10/05/2022,65.40
09/05/2022,63.30
06/05/2022,68.00
05/05/2022,70.00
04/05/2022,70.90
29/04/2022,71.00
28/04/2022,69.70
27/04/2022,70.00
26/04/2022,70.00
25/04/2022,67.00
22/04/2022,72.00
21/04/2022,74.00
20/04/2022,75.00
19/04/2022,79.00
18/04/2022,78.80
15/04/2022,78.00
14/04/2022,75.00
13/04/2022,75.00
12/04/2022,72.00
08/04/2022,72.70
07/04/2022,75.30
06/04/2022,76.00
05/04/2022,76.00
04/04/2022,76.00
01/04/2022,76.20
31/03/2022,75.50
30/03/2022,76.50
29/03/2022,77.00
28/03/2022,75.20
25/03/2022,74.40
24/03/2022,71.70
23/03/2022,71.20
22/03/2022,71.20
21/03/2022,70.40
18/03/2022,71.00
17/03/2022,71.90
16/03/2022,72.00
15/03/2022,71.40
14/03/2022,72.00
11/03/2022,73.80
10/03/2022,70.50
09/03/2022,69.00
08/03/2022,71.40
07/03/2022,73.00
04/03/2022,73.00
03/03/2022,73.00
02/03/2022,71.30
01/03/2022,70.40
28/02/2022,67.70
25/02/2022,67.00
24/02/2022,67.00
23/02/2022,67.20
22/02/2022,67.00
21/02/2022,67.90
18/02/2022,67.70
17/02/2022,67.30
16/02/2022,67.60
15/02/2022,69.00
14/02/2022,69.20
11/02/2022,69.30
10/02/2022,69.00
09/02/2022,67.90
08/02/2022,68.00
07/02/2022,67.80
28/01/2022,66.00
27/01/2022,61.90
26/01/2022,63.00
25/01/2022,61.30
24/01/2022,62.50
21/01/2022,63.00
20/01/2022,63.00
19/01/2022,63.40
18/01/2022,63.00
17/01/2022,62.90
14/01/2022,63.90
13/01/2022,64.00
12/01/2022,64.50
11/01/2022,65.00
10/01/2022,65.00
07/01/2022,65.00
06/01/2022,65.50
05/01/2022,65.90
04/01/2022,66.00
31/12/2021,65.20
30/12/2021,66.00
29/12/2021,66.50
28/12/2021,66.90
27/12/2021,68.00
24/12/2021,68.00
23/12/2021,68.40
22/12/2021,68.50
21/12/2021,70.00
20/12/2021,72.00
17/12/2021,73.50
16/12/2021,74.00
15/12/2021,71.80
14/12/2021,71.90
13/12/2021,71.00
10/12/2021,71.00
09/12/2021,72.60
08/12/2021,72.90
07/12/2021,72.90
06/12/2021,69.60
03/12/2021,74.80
02/12/2021,73.00
01/12/2021,75.00
30/11/2021,76.00
29/11/2021,75.00
26/11/2021,79.50
25/11/2021,81.00
24/11/2021,81.20
23/11/2021,82.10
22/11/2021,82.10
19/11/2021,81.70
18/11/2021,79.90
17/11/2021,80.40
16/11/2021,76.20
15/11/2021,77.20
12/11/2021,78.00
11/11/2021,77.90
10/11/2021,78.00
09/11/2021,78.30
08/11/2021,79.00
05/11/2021,80.20
04/11/2021,75.00
03/11/2021,77.00
02/11/2021,77.80
01/11/2021,78.00
29/10/2021,77.60
28/10/2021,76.20
27/10/2021,76.30
26/10/2021,75.00
25/10/2021,75.50
22/10/2021,75.00
21/10/2021,75.60
20/10/2021,71.00
19/10/2021,71.50
18/10/2021,72.10
15/10/2021,71.30
14/10/2021,66.70
13/10/2021,63.00
12/10/2021,63.20
11/10/2021,63.70
08/10/2021,63.80
07/10/2021,64.00
06/10/2021,64.00
05/10/2021,64.30
04/10/2021,64.30
01/10/2021,64.60
30/09/2021,64.80
29/09/2021,64.80
28/09/2021,65.00
27/09/2021,65.50
24/09/2021,66.00
23/09/2021,65.00
22/09/2021,64.90
21/09/2021,63.00
20/09/2021,63.80
17/09/2021,66.00
16/09/2021,65.00
15/09/2021,66.20
14/09/2021,66.00
13/09/2021,66.50
10/09/2021,65.60
09/09/2021,63.00
08/09/2021,65.00
07/09/2021,68.90
06/09/2021,70.00
01/09/2021,71.00
31/08/2021,70.50
30/08/2021,71.50
27/08/2021,72.00
26/08/2021,72.60
25/08/2021,72.50
24/08/2021,72.50
23/08/2021,75.00
20/08/2021,77.50
19/08/2021,76.50
18/08/2021,76.30
17/08/2021,78.00
16/08/2021,82.00
13/08/2021,84.00
12/08/2021,84.00
11/08/2021,81.10
10/08/2021,75.80
09/08/2021,75.70
06/08/2021,76.00
05/08/2021,77.00
04/08/2021,77.00
03/08/2021,76.90
02/08/2021,76.70
30/07/2021,75.90
29/07/2021,75.60
28/07/2021,78.00
27/07/2021,78.50
26/07/2021,78.90
23/07/2021,78.90
22/07/2021,82.50
21/07/2021,83.70
20/07/2021,85.00
19/07/2021,85.00
16/07/2021,85.30
15/07/2021,87.00
14/07/2021,86.00
13/07/2021,86.20
12/07/2021,88.00
09/07/2021,91.20
08/07/2021,88.90
07/07/2021,91.00
06/07/2021,88.70
05/07/2021,91.00
02/07/2021,90.50
01/07/2021,89.30
30/06/2021,90.20
29/06/2021,90.50
28/06/2021,91.40
25/06/2021,91.30
24/06/2021,91.20
23/06/2021,91.50
22/06/2021,93.60
21/06/2021,93.40
18/06/2021,92.00
17/06/2021,88.00
16/06/2021,84.00
15/06/2021,84.30
14/06/2021,84.00
11/06/2021,84.00
10/06/2021,85.00
09/06/2021,85.00
08/06/2021,85.00
07/06/2021,86.80
04/06/2021,87.00
03/06/2021,87.40
02/06/2021,85.90
01/06/2021,82.30
31/05/2021,86.00
28/05/2021,86.90
27/05/2021,88.00
26/05/2021,89.00
25/05/2021,89.00
24/05/2021,91.00
21/05/2021,92.50
20/05/2021,87.50
19/05/2021,99.70
18/05/2021,102.90
17/05/2021,103.00
14/05/2021,103.90
13/05/2021,104.90
12/05/2021,105.00
11/05/2021,103.60
10/05/2021,104.00
07/05/2021,104.50
06/05/2021,106.90
05/05/2021,101.40
04/05/2021,109.00
29/04/2021,110.00
28/04/2021,114.80
27/04/2021,114.50
26/04/2021,113.00
23/04/2021,111.90
22/04/2021,115.50
20/04/2021,117.90
19/04/2021,118.00
16/04/2021,116.00
15/04/2021,115.10
14/04/2021,112.00
13/04/2021,113.00
12/04/2021,114.00
09/04/2021,114.80
08/04/2021,112.80
07/04/2021,114.00
06/04/2021,113.00
05/04/2021,113.90
02/04/2021,115.00
01/04/2021,117.00
31/03/2021,120.00
30/03/2021,114.00
29/03/2021,107.00
26/03/2021,100.00
25/03/2021,93.50
24/03/2021,90.00
23/03/2021,84.20
22/03/2021,84.30
19/03/2021,84.30
18/03/2021,84.30
17/03/2021,84.30
16/03/2021,84.80
15/03/2021,84.90
12/03/2021,85.30
11/03/2021,86.10
10/03/2021,80.50
09/03/2021,79.90
08/03/2021,81.40
05/03/2021,81.50
04/03/2021,80.00
03/03/2021,80.50
02/03/2021,80.70
01/03/2021,80.30
26/02/2021,78.70
25/02/2021,75.00
24/02/2021,76.00
23/02/2021,75.90
22/02/2021,76.00
19/02/2021,77.70
18/02/2021,78.00
17/02/2021,77.80
09/02/2021,77.60
08/02/2021,74.50
05/02/2021,75.90
04/02/2021,76.00
03/02/2021,78.00
02/02/2021,76.50
01/02/2021,76.30
29/01/2021,82.00
28/01/2021,79.10
27/01/2021,85.00
26/01/2021,85.50
25/01/2021,84.00
22/01/2021,80.90
21/01/2021,77.00
20/01/2021,72.00
19/01/2021,69.70
18/01/2021,67.90
15/01/2021,65.10
14/01/2021,60.90
