Date,Closing Price
10/05/2022,25.90
09/05/2022,26.15
06/05/2022,26.50
05/05/2022,25.20
04/05/2022,26.40
29/04/2022,27.00
28/04/2022,27.00
27/04/2022,27.00
26/04/2022,26.55
25/04/2022,26.60
22/04/2022,27.00
21/04/2022,27.00
20/04/2022,27.30
19/04/2022,27.00
18/04/2022,27.60
15/04/2022,27.50
14/04/2022,27.55
13/04/2022,27.40
12/04/2022,26.75
08/04/2022,27.30
07/04/2022,26.70
06/04/2022,27.60
05/04/2022,27.60
04/04/2022,27.60
01/04/2022,27.30
31/03/2022,27.65
30/03/2022,27.65
29/03/2022,27.85
28/03/2022,27.95
25/03/2022,27.95
24/03/2022,26.90
23/03/2022,25.60
22/03/2022,26.95
21/03/2022,26.20
18/03/2022,25.45
17/03/2022,25.20
16/03/2022,25.40
15/03/2022,25.50
14/03/2022,25.50
11/03/2022,25.60
10/03/2022,25.65
09/03/2022,25.70
08/03/2022,26.00
07/03/2022,26.00
04/03/2022,26.00
03/03/2022,26.00
02/03/2022,25.80
01/03/2022,25.90
28/02/2022,24.50
25/02/2022,24.50
24/02/2022,25.20
23/02/2022,25.55
22/02/2022,25.70
21/02/2022,25.20
18/02/2022,26.30
17/02/2022,26.30
16/02/2022,24.80
15/02/2022,26.50
14/02/2022,26.50
11/02/2022,26.90
10/02/2022,27.00
09/02/2022,27.00
08/02/2022,26.10
07/02/2022,26.70
28/01/2022,27.10
27/01/2022,27.10
26/01/2022,27.10
25/01/2022,27.00
24/01/2022,26.50
21/01/2022,27.00
20/01/2022,25.45
19/01/2022,24.00
18/01/2022,24.40
17/01/2022,23.85
14/01/2022,22.80
13/01/2022,21.55
12/01/2022,22.55
11/01/2022,23.00
10/01/2022,23.40
07/01/2022,24.75
06/01/2022,25.50
05/01/2022,25.90
04/01/2022,26.75
31/12/2021,26.25
30/12/2021,26.00
29/12/2021,26.40
28/12/2021,26.80
27/12/2021,26.90
24/12/2021,27.10
23/12/2021,27.40
22/12/2021,27.20
21/12/2021,26.90
20/12/2021,27.00
17/12/2021,27.00
16/12/2021,27.00
15/12/2021,26.95
14/12/2021,27.10
13/12/2021,27.40
10/12/2021,27.00
09/12/2021,27.40
08/12/2021,27.40
07/12/2021,27.35
06/12/2021,27.35
03/12/2021,27.35
02/12/2021,27.40
01/12/2021,27.00
30/11/2021,27.00
29/11/2021,27.40
26/11/2021,27.60
25/11/2021,26.60
24/11/2021,26.35
23/11/2021,26.60
22/11/2021,26.60
19/11/2021,26.70
18/11/2021,26.80
17/11/2021,27.00
16/11/2021,27.50
15/11/2021,27.50
12/11/2021,27.50
11/11/2021,27.50
10/11/2021,27.80
09/11/2021,27.85
08/11/2021,27.90
05/11/2021,27.10
04/11/2021,26.70
03/11/2021,27.30
02/11/2021,26.60
01/11/2021,26.40
29/10/2021,27.40
28/10/2021,27.25
27/10/2021,27.00
26/10/2021,27.00
25/10/2021,27.35
22/10/2021,27.35
21/10/2021,27.45
20/10/2021,27.40
19/10/2021,27.45
18/10/2021,27.50
15/10/2021,27.50
14/10/2021,27.00
13/10/2021,27.60
12/10/2021,27.10
11/10/2021,27.10
08/10/2021,27.30
07/10/2021,26.90
06/10/2021,26.10
05/10/2021,26.05
04/10/2021,26.90
01/10/2021,26.80
30/09/2021,27.00
29/09/2021,26.95
28/09/2021,27.00
27/09/2021,27.60
24/09/2021,27.00
23/09/2021,27.95
22/09/2021,27.00
21/09/2021,27.00
20/09/2021,27.10
17/09/2021,27.95
16/09/2021,27.35
15/09/2021,27.70
14/09/2021,27.95
13/09/2021,27.10
10/09/2021,27.05
09/09/2021,28.20
08/09/2021,28.60
07/09/2021,28.60
06/09/2021,28.00
01/09/2021,27.50
31/08/2021,28.30
30/08/2021,28.20
27/08/2021,27.10
26/08/2021,27.95
25/08/2021,28.50
24/08/2021,28.50
23/08/2021,28.80
20/08/2021,28.80
19/08/2021,28.80
18/08/2021,28.70
17/08/2021,28.70
16/08/2021,28.30
13/08/2021,26.45
12/08/2021,28.35
11/08/2021,28.35
10/08/2021,28.25
09/08/2021,28.25
06/08/2021,28.15
05/08/2021,28.10
04/08/2021,28.10
03/08/2021,27.90
02/08/2021,27.70
30/07/2021,27.10
29/07/2021,27.70
28/07/2021,27.80
27/07/2021,27.90
26/07/2021,27.10
23/07/2021,27.90
22/07/2021,27.00
21/07/2021,28.20
20/07/2021,27.60
19/07/2021,27.60
16/07/2021,26.50
15/07/2021,27.80
14/07/2021,27.75
13/07/2021,27.10
12/07/2021,27.00
09/07/2021,27.70
08/07/2021,28.30
07/07/2021,27.40
06/07/2021,27.10
05/07/2021,27.20
02/07/2021,27.10
01/07/2021,27.20
30/06/2021,27.00
29/06/2021,27.20
28/06/2021,27.30
25/06/2021,27.30
24/06/2021,26.80
23/06/2021,26.80
22/06/2021,26.05
21/06/2021,27.30
18/06/2021,27.35
17/06/2021,27.50
16/06/2021,27.10
15/06/2021,27.00
14/06/2021,26.80
11/06/2021,26.80
10/06/2021,26.90
09/06/2021,26.80
08/06/2021,27.00
07/06/2021,26.90
04/06/2021,26.90
03/06/2021,27.00
02/06/2021,27.00
01/06/2021,27.00
31/05/2021,27.10
28/05/2021,27.30
27/05/2021,27.10
26/05/2021,26.90
25/05/2021,27.00
24/05/2021,27.10
21/05/2021,27.00
20/05/2021,27.10
19/05/2021,27.10
18/05/2021,27.20
17/05/2021,26.90
14/05/2021,27.00
13/05/2021,27.20
12/05/2021,27.00
11/05/2021,27.50
10/05/2021,27.90
07/05/2021,28.30
06/05/2021,28.60
05/05/2021,29.30
04/05/2021,28.10
29/04/2021,27.15
28/04/2021,27.00
27/04/2021,27.35
26/04/2021,27.40
23/04/2021,27.25
22/04/2021,27.30
20/04/2021,27.20
19/04/2021,27.20
16/04/2021,27.15
15/04/2021,27.20
14/04/2021,27.10
13/04/2021,27.10
12/04/2021,27.20
09/04/2021,27.40
08/04/2021,27.40
07/04/2021,27.30
06/04/2021,27.40
05/04/2021,27.50
02/04/2021,27.90
01/04/2021,28.00
31/03/2021,27.90
30/03/2021,27.90
29/03/2021,29.40
26/03/2021,29.90
25/03/2021,30.00
24/03/2021,29.30
23/03/2021,29.40
22/03/2021,29.00
19/03/2021,28.40
18/03/2021,28.00
17/03/2021,27.90
16/03/2021,27.40
15/03/2021,27.30
12/03/2021,26.90
11/03/2021,27.20
10/03/2021,27.10
09/03/2021,27.00
08/03/2021,26.90
05/03/2021,26.00
04/03/2021,25.90
03/03/2021,26.00
02/03/2021,25.80
01/03/2021,25.80
26/02/2021,25.50
25/02/2021,25.20
24/02/2021,25.50
23/02/2021,25.50
22/02/2021,25.60
19/02/2021,27.20
18/02/2021,25.50
17/02/2021,25.20
09/02/2021,25.00
08/02/2021,25.50
05/02/2021,25.30
04/02/2021,25.30
03/02/2021,25.30
02/02/2021,25.20
01/02/2021,25.40
29/01/2021,25.50
28/01/2021,25.50
27/01/2021,25.30
26/01/2021,25.35
25/01/2021,24.90
22/01/2021,25.50
21/01/2021,26.95
20/01/2021,26.10
19/01/2021,28.05
18/01/2021,30.15
15/01/2021,32.40
14/01/2021,31.25
13/01/2021,29.25
12/01/2021,31.45
11/01/2021,33.80
08/01/2021,32.95
07/01/2021,31.45
06/01/2021,33.80
05/01/2021,34.35
04/01/2021,33.80
31/12/2020,34.10
30/12/2020,34.10
29/12/2020,34.20
28/12/2020,33.80
25/12/2020,34.90
24/12/2020,37.50
23/12/2020,35.10
22/12/2020,37.40
21/12/2020,36.50
18/12/2020,38.70
17/12/2020,38.25
16/12/2020,38.50
15/12/2020,37.50
14/12/2020,38.30
11/12/2020,36.55
10/12/2020,36.00
09/12/2020,35.10
08/12/2020,35.10
07/12/2020,34.55
04/12/2020,34.50
03/12/2020,33.50
02/12/2020,31.95
01/12/2020,31.70
30/11/2020,31.60
27/11/2020,31.50
26/11/2020,35.00
25/11/2020,35.80
24/11/2020,35.80
23/11/2020,36.50
20/11/2020,35.50
19/11/2020,33.20
18/11/2020,32.70
17/11/2020,32.40
16/11/2020,32.70
13/11/2020,32.90
12/11/2020,33.40
11/11/2020,32.30
10/11/2020,32.90
09/11/2020,32.45
06/11/2020,33.20
05/11/2020,32.35
04/11/2020,31.15
03/11/2020,30.30
02/11/2020,31.05
