Date,Closing Price
10/05/2022,7.43
09/05/2022,7.47
06/05/2022,8.03
05/05/2022,8.40
04/05/2022,8.38
29/04/2022,8.38
28/04/2022,7.87
27/04/2022,7.40
26/04/2022,6.92
25/04/2022,6.57
22/04/2022,6.84
21/04/2022,6.96
20/04/2022,7.48
19/04/2022,8.04
18/04/2022,8.61
15/04/2022,9.20
14/04/2022,9.79
13/04/2022,9.84
12/04/2022,9.86
08/04/2022,10.45
07/04/2022,10.75
06/04/2022,11.05
05/04/2022,11.05
04/04/2022,11.05
01/04/2022,11.05
31/03/2022,11.10
30/03/2022,11.10
29/03/2022,11.65
28/03/2022,11.25
25/03/2022,11.60
24/03/2022,11.50
23/03/2022,11.35
22/03/2022,11.50
21/03/2022,11.90
18/03/2022,11.60
17/03/2022,11.30
16/03/2022,11.05
15/03/2022,10.95
14/03/2022,10.70
11/03/2022,10.95
10/03/2022,10.95
09/03/2022,10.90
08/03/2022,11.05
07/03/2022,11.30
04/03/2022,11.45
03/03/2022,11.30
02/03/2022,11.35
01/03/2022,11.40
28/02/2022,11.50
25/02/2022,11.25
24/02/2022,10.55
23/02/2022,11.00
22/02/2022,10.90
21/02/2022,11.15
18/02/2022,11.00
17/02/2022,10.50
16/02/2022,10.50
15/02/2022,10.20
14/02/2022,10.20
11/02/2022,10.35
10/02/2022,10.25
09/02/2022,10.30
08/02/2022,10.10
07/02/2022,10.15
28/01/2022,9.64
27/01/2022,9.71
26/01/2022,9.73
25/01/2022,9.95
24/01/2022,9.97
21/01/2022,10.45
20/01/2022,10.30
19/01/2022,9.64
18/01/2022,10.35
17/01/2022,11.10
14/01/2022,11.90
13/01/2022,12.05
12/01/2022,12.95
11/01/2022,13.15
10/01/2022,13.70
07/01/2022,13.80
06/01/2022,13.65
05/01/2022,13.80
04/01/2022,12.90
31/12/2021,12.90
30/12/2021,13.15
29/12/2021,13.20
28/12/2021,13.20
27/12/2021,12.95
24/12/2021,12.80
23/12/2021,12.90
22/12/2021,12.95
21/12/2021,13.25
20/12/2021,13.15
17/12/2021,13.60
16/12/2021,13.60
15/12/2021,12.75
14/12/2021,13.10
13/12/2021,13.40
10/12/2021,12.80
09/12/2021,12.65
08/12/2021,12.60
07/12/2021,12.85
06/12/2021,13.75
03/12/2021,13.25
02/12/2021,12.80
01/12/2021,12.75
30/11/2021,12.70
29/11/2021,12.80
26/11/2021,12.15
25/11/2021,12.45
24/11/2021,12.30
23/11/2021,12.70
22/11/2021,12.25
19/11/2021,13.15
18/11/2021,12.30
17/11/2021,11.50
16/11/2021,10.95
15/11/2021,11.15
12/11/2021,10.90
11/11/2021,10.20
10/11/2021,10.30
09/11/2021,10.10
08/11/2021,10.50
05/11/2021,9.89
04/11/2021,10.50
03/11/2021,11.25
02/11/2021,11.25
01/11/2021,10.55
29/10/2021,9.90
28/10/2021,9.60
27/10/2021,9.59
26/10/2021,9.04
25/10/2021,8.45
22/10/2021,7.90
21/10/2021,7.49
20/10/2021,7.44
19/10/2021,7.28
18/10/2021,7.05
15/10/2021,7.11
14/10/2021,7.20
13/10/2021,7.13
12/10/2021,6.72
11/10/2021,6.72
08/10/2021,6.84
07/10/2021,6.90
06/10/2021,6.74
05/10/2021,6.55
04/10/2021,6.52
01/10/2021,6.58
30/09/2021,6.70
29/09/2021,6.55
28/09/2021,6.53
27/09/2021,6.60
24/09/2021,7.07
23/09/2021,7.10
22/09/2021,7.51
21/09/2021,7.02
20/09/2021,7.21
17/09/2021,6.74
16/09/2021,6.70
15/09/2021,6.88
14/09/2021,6.84
13/09/2021,6.40
10/09/2021,6.31
09/09/2021,6.37
08/09/2021,6.33
07/09/2021,6.43
06/09/2021,6.60
01/09/2021,6.29
31/08/2021,6.34
30/08/2021,6.44
27/08/2021,6.18
26/08/2021,6.13
25/08/2021,6.02
24/08/2021,5.91
23/08/2021,6.21
20/08/2021,6.60
19/08/2021,6.56
18/08/2021,6.14
17/08/2021,5.92
16/08/2021,5.87
13/08/2021,5.84
12/08/2021,5.85
11/08/2021,5.85
10/08/2021,5.79
09/08/2021,5.71
06/08/2021,5.67
05/08/2021,5.59
04/08/2021,5.44
03/08/2021,5.45
02/08/2021,5.48
30/07/2021,5.25
29/07/2021,5.25
28/07/2021,5.26
27/07/2021,5.26
26/07/2021,5.28
23/07/2021,5.30
22/07/2021,5.34
21/07/2021,5.18
20/07/2021,5.08
19/07/2021,4.96
16/07/2021,5.33
15/07/2021,5.40
14/07/2021,5.28
13/07/2021,5.30
12/07/2021,5.21
09/07/2021,5.59
08/07/2021,5.85
07/07/2021,5.66
06/07/2021,5.85
05/07/2021,6.03
02/07/2021,6.14
01/07/2021,6.11
30/06/2021,6.14
29/06/2021,6.15
28/06/2021,6.16
25/06/2021,6.20
24/06/2021,6.20
23/06/2021,6.25
22/06/2021,6.35
21/06/2021,6.45
18/06/2021,6.44
17/06/2021,6.55
16/06/2021,6.21
15/06/2021,6.11
14/06/2021,6.14
11/06/2021,6.11
10/06/2021,6.10
09/06/2021,6.10
08/06/2021,6.08
07/06/2021,6.10
04/06/2021,6.17
03/06/2021,6.14
02/06/2021,6.03
01/06/2021,5.84
31/05/2021,5.89
28/05/2021,5.92
27/05/2021,5.92
26/05/2021,6.00
25/05/2021,6.12
24/05/2021,6.16
21/05/2021,6.05
20/05/2021,5.85
19/05/2021,6.04
18/05/2021,6.11
17/05/2021,6.15
14/05/2021,6.30
13/05/2021,6.30
12/05/2021,6.40
11/05/2021,6.20
10/05/2021,6.11
07/05/2021,6.41
06/05/2021,6.68
05/05/2021,6.73
04/05/2021,6.56
29/04/2021,6.70
28/04/2021,6.75
27/04/2021,6.57
26/04/2021,6.65
23/04/2021,6.97
