Date,Closing Price
10/05/2022,33.30
09/05/2022,31.60
06/05/2022,33.60
05/05/2022,34.20
04/05/2022,32.00
29/04/2022,33.60
28/04/2022,33.60
27/04/2022,34.80
26/04/2022,34.95
25/04/2022,34.50
22/04/2022,35.20
21/04/2022,34.80
20/04/2022,35.50
19/04/2022,36.20
18/04/2022,37.90
15/04/2022,37.35
14/04/2022,39.05
13/04/2022,40.00
12/04/2022,38.05
08/04/2022,40.20
07/04/2022,41.00
06/04/2022,41.15
05/04/2022,40.80
04/04/2022,41.25
01/04/2022,41.25
31/03/2022,40.15
30/03/2022,40.00
29/03/2022,40.30
28/03/2022,39.45
25/03/2022,39.90
24/03/2022,40.10
23/03/2022,40.05
22/03/2022,40.50
21/03/2022,39.90
18/03/2022,39.50
17/03/2022,39.60
16/03/2022,39.75
15/03/2022,39.90
14/03/2022,39.20
11/03/2022,38.65
10/03/2022,39.00
09/03/2022,38.80
08/03/2022,38.80
07/03/2022,39.00
04/03/2022,40.75
03/03/2022,41.50
02/03/2022,41.45
01/03/2022,42.80
28/02/2022,42.25
25/02/2022,41.95
24/02/2022,41.25
23/02/2022,42.60
22/02/2022,41.50
21/02/2022,40.90
18/02/2022,40.80
17/02/2022,41.15
16/02/2022,40.40
15/02/2022,40.75
14/02/2022,40.00
11/02/2022,42.85
10/02/2022,41.20
09/02/2022,41.50
08/02/2022,42.00
07/02/2022,41.70
28/01/2022,41.95
27/01/2022,40.20
26/01/2022,39.20
25/01/2022,39.75
24/01/2022,37.75
21/01/2022,40.00
20/01/2022,39.55
19/01/2022,39.35
18/01/2022,38.90
17/01/2022,40.20
14/01/2022,41.90
13/01/2022,42.15
12/01/2022,43.00
11/01/2022,40.20
10/01/2022,40.45
07/01/2022,41.00
06/01/2022,42.00
05/01/2022,42.00
04/01/2022,42.75
31/12/2021,41.05
30/12/2021,40.75
29/12/2021,41.35
28/12/2021,42.05
27/12/2021,40.75
24/12/2021,39.25
23/12/2021,36.70
22/12/2021,38.00
21/12/2021,38.80
20/12/2021,39.80
17/12/2021,51.30
16/12/2021,51.20
15/12/2021,52.00
14/12/2021,50.50
13/12/2021,50.50
10/12/2021,52.00
09/12/2021,51.20
08/12/2021,51.00
07/12/2021,47.80
06/12/2021,47.00
03/12/2021,47.00
02/12/2021,48.40
01/12/2021,48.25
30/11/2021,45.10
29/11/2021,47.20
26/11/2021,47.50
25/11/2021,49.20
24/11/2021,49.10
23/11/2021,48.70
22/11/2021,46.50
19/11/2021,43.50
18/11/2021,42.95
17/11/2021,43.25
16/11/2021,43.70
15/11/2021,43.95
12/11/2021,43.50
11/11/2021,43.00
10/11/2021,44.00
09/11/2021,43.40
08/11/2021,43.80
05/11/2021,43.50
04/11/2021,43.75
03/11/2021,44.20
02/11/2021,43.80
01/11/2021,43.40
29/10/2021,44.85
28/10/2021,44.40
27/10/2021,43.30
26/10/2021,42.50
25/10/2021,42.00
22/10/2021,43.20
21/10/2021,43.70
20/10/2021,44.10
19/10/2021,43.90
18/10/2021,44.00
15/10/2021,43.55
14/10/2021,42.30
13/10/2021,42.40
12/10/2021,42.70
11/10/2021,43.10
08/10/2021,42.15
07/10/2021,42.00
06/10/2021,42.30
05/10/2021,42.50
04/10/2021,42.00
01/10/2021,42.60
30/09/2021,41.60
29/09/2021,41.40
28/09/2021,40.70
27/09/2021,40.00
24/09/2021,41.60
23/09/2021,41.55
22/09/2021,40.10
21/09/2021,40.00
20/09/2021,40.10
17/09/2021,40.80
16/09/2021,38.65
15/09/2021,38.25
14/09/2021,37.60
13/09/2021,38.10
10/09/2021,37.40
09/09/2021,37.80
08/09/2021,36.10
07/09/2021,36.40
06/09/2021,34.80
01/09/2021,34.20
31/08/2021,34.10
30/08/2021,34.65
27/08/2021,34.00
26/08/2021,34.10
25/08/2021,34.90
24/08/2021,34.05
23/08/2021,33.80
20/08/2021,35.00
19/08/2021,36.70
18/08/2021,37.25
17/08/2021,37.35
16/08/2021,37.10
13/08/2021,36.40
12/08/2021,36.40
11/08/2021,37.00
10/08/2021,36.00
09/08/2021,35.90
06/08/2021,35.50
05/08/2021,35.90
04/08/2021,35.10
03/08/2021,34.55
02/08/2021,34.45
30/07/2021,35.00
29/07/2021,34.70
28/07/2021,34.20
27/07/2021,34.10
26/07/2021,32.90
23/07/2021,33.00
22/07/2021,33.85
21/07/2021,33.10
20/07/2021,33.00
19/07/2021,31.55
16/07/2021,33.90
15/07/2021,33.70
14/07/2021,33.00
13/07/2021,34.80
12/07/2021,35.05
09/07/2021,37.00
08/07/2021,37.75
07/07/2021,37.50
06/07/2021,36.55
05/07/2021,39.30
02/07/2021,37.75
01/07/2021,37.20
30/06/2021,36.75
29/06/2021,37.30
28/06/2021,37.65
25/06/2021,35.90
24/06/2021,35.65
23/06/2021,35.75
22/06/2021,35.45
21/06/2021,35.25
18/06/2021,35.50
17/06/2021,35.40
16/06/2021,35.60
15/06/2021,36.00
14/06/2021,36.30
11/06/2021,36.60
10/06/2021,35.25
09/06/2021,35.90
08/06/2021,35.00
07/06/2021,37.20
04/06/2021,39.00
03/06/2021,38.25
02/06/2021,37.20
01/06/2021,37.80
31/05/2021,37.45
28/05/2021,36.10
27/05/2021,35.10
26/05/2021,35.95
25/05/2021,35.10
24/05/2021,33.35
21/05/2021,33.00
20/05/2021,33.00
19/05/2021,32.90
18/05/2021,32.10
17/05/2021,32.60
14/05/2021,31.95
13/05/2021,31.50
12/05/2021,31.95
11/05/2021,31.00
10/05/2021,31.10
07/05/2021,29.10
06/05/2021,28.15
05/05/2021,28.65
04/05/2021,28.00
29/04/2021,27.40
28/04/2021,27.25
27/04/2021,27.10
26/04/2021,27.15
23/04/2021,28.00
22/04/2021,27.00
20/04/2021,27.80
19/04/2021,28.30
16/04/2021,27.70
15/04/2021,28.80
14/04/2021,29.65
13/04/2021,29.60
12/04/2021,29.15
09/04/2021,28.80
08/04/2021,28.90
07/04/2021,28.80
06/04/2021,28.15
05/04/2021,28.40
02/04/2021,28.30
01/04/2021,28.00
31/03/2021,27.85
30/03/2021,27.80
29/03/2021,27.40
26/03/2021,26.70
25/03/2021,26.90
24/03/2021,26.95
23/03/2021,28.30
22/03/2021,28.80
19/03/2021,28.90
18/03/2021,29.00
17/03/2021,28.70
16/03/2021,28.50
15/03/2021,28.70
12/03/2021,28.60
11/03/2021,28.60
10/03/2021,28.45
09/03/2021,28.40
08/03/2021,28.50
05/03/2021,28.50
04/03/2021,28.65
03/03/2021,29.75
02/03/2021,29.75
01/03/2021,28.00
26/02/2021,27.55
25/02/2021,27.35
24/02/2021,27.40
23/02/2021,27.95
22/02/2021,27.90
19/02/2021,27.70
18/02/2021,27.85
17/02/2021,27.70
09/02/2021,26.85
08/02/2021,26.20
05/02/2021,26.70
04/02/2021,26.50
03/02/2021,26.80
02/02/2021,25.30
01/02/2021,24.35
29/01/2021,24.95
28/01/2021,23.35
27/01/2021,25.10
26/01/2021,26.70
25/01/2021,27.30
22/01/2021,27.70
21/01/2021,28.50
20/01/2021,27.90
19/01/2021,27.95
18/01/2021,28.80
15/01/2021,28.70
14/01/2021,27.65
13/01/2021,27.60
12/01/2021,28.00
11/01/2021,28.20
08/01/2021,28.50
07/01/2021,28.35
06/01/2021,28.00
05/01/2021,27.75
04/01/2021,27.80
31/12/2020,26.80
30/12/2020,26.55
29/12/2020,26.50
28/12/2020,26.90
25/12/2020,27.15
24/12/2020,26.00
23/12/2020,26.50
22/12/2020,27.60
21/12/2020,26.60
18/12/2020,24.90
17/12/2020,23.50
16/12/2020,22.70
15/12/2020,22.20
14/12/2020,22.45
11/12/2020,22.30
10/12/2020,22.20
09/12/2020,22.45
08/12/2020,22.05
07/12/2020,22.00
04/12/2020,21.90
03/12/2020,21.70
02/12/2020,21.90
01/12/2020,22.35
30/11/2020,22.30
27/11/2020,25.50
26/11/2020,24.80
25/11/2020,25.15
23/11/2020,24.55
20/11/2020,24.65
19/11/2020,24.70
18/11/2020,24.75
17/11/2020,24.40
16/11/2020,24.20
13/11/2020,24.30
12/11/2020,24.20
11/11/2020,24.15
10/11/2020,24.00
09/11/2020,24.50
06/11/2020,23.45
05/11/2020,23.40
04/11/2020,23.65
03/11/2020,23.30
02/11/2020,23.10
30/10/2020,22.80
29/10/2020,22.75
28/10/2020,22.10
27/10/2020,23.75
26/10/2020,24.00
23/10/2020,24.65
22/10/2020,25.20
21/10/2020,25.00
20/10/2020,25.65
19/10/2020,25.50
16/10/2020,24.95
15/10/2020,24.80
14/10/2020,25.00
13/10/2020,24.85
12/10/2020,24.80
09/10/2020,24.90
08/10/2020,24.60
07/10/2020,24.75
06/10/2020,25.10
05/10/2020,25.15
02/10/2020,24.85
01/10/2020,24.70
30/09/2020,23.45
29/09/2020,23.30
28/09/2020,23.70
25/09/2020,23.50
24/09/2020,23.80
23/09/2020,23.70
22/09/2020,23.90
