Date,Closing Price
10/05/2022,100.00
09/05/2022,99.50
06/05/2022,97.90
05/05/2022,97.20
04/05/2022,98.00
29/04/2022,99.00
28/04/2022,99.00
27/04/2022,99.60
26/04/2022,99.70
25/04/2022,93.50
22/04/2022,99.00
21/04/2022,101.00
20/04/2022,100.50
19/04/2022,100.90
18/04/2022,103.00
15/04/2022,103.50
14/04/2022,102.50
13/04/2022,100.00
12/04/2022,99.00
08/04/2022,100.00
07/04/2022,100.60
06/04/2022,100.00
05/04/2022,98.10
04/04/2022,98.10
01/04/2022,97.00
31/03/2022,93.60
30/03/2022,93.60
29/03/2022,92.80
28/03/2022,93.00
25/03/2022,92.40
24/03/2022,93.20
23/03/2022,93.20
22/03/2022,93.20
21/03/2022,92.00
18/03/2022,92.10
17/03/2022,92.10
16/03/2022,93.60
15/03/2022,93.50
14/03/2022,93.30
11/03/2022,92.80
10/03/2022,93.00
09/03/2022,92.60
08/03/2022,93.00
07/03/2022,94.50
04/03/2022,94.00
03/03/2022,93.90
02/03/2022,93.00
01/03/2022,92.80
28/02/2022,93.80
25/02/2022,93.00
24/02/2022,89.00
23/02/2022,91.00
22/02/2022,91.00
21/02/2022,91.10
18/02/2022,91.40
17/02/2022,90.90
16/02/2022,90.00
15/02/2022,91.00
14/02/2022,90.00
11/02/2022,90.10
10/02/2022,90.60
09/02/2022,90.90
08/02/2022,91.20
07/02/2022,91.20
28/01/2022,90.70
27/01/2022,91.00
26/01/2022,90.00
25/01/2022,85.70
24/01/2022,85.00
21/01/2022,86.00
20/01/2022,85.40
19/01/2022,86.00
18/01/2022,85.90
17/01/2022,86.00
14/01/2022,87.50
13/01/2022,88.50
12/01/2022,90.80
11/01/2022,90.80
10/01/2022,91.10
07/01/2022,91.10
06/01/2022,91.00
05/01/2022,90.90
04/01/2022,92.10
31/12/2021,91.20
30/12/2021,91.30
29/12/2021,91.50
28/12/2021,92.90
27/12/2021,92.50
24/12/2021,92.00
23/12/2021,92.00
22/12/2021,91.00
21/12/2021,92.40
20/12/2021,91.30
17/12/2021,93.00
16/12/2021,93.00
15/12/2021,93.50
14/12/2021,93.30
13/12/2021,95.00
10/12/2021,95.00
09/12/2021,95.00
08/12/2021,92.70
07/12/2021,92.10
06/12/2021,91.50
03/12/2021,92.40
02/12/2021,95.00
01/12/2021,95.00
30/11/2021,93.00
29/11/2021,93.80
26/11/2021,89.90
25/11/2021,90.50
24/11/2021,91.50
23/11/2021,88.00
22/11/2021,88.70
19/11/2021,89.40
18/11/2021,90.00
17/11/2021,90.50
16/11/2021,90.10
15/11/2021,89.10
12/11/2021,90.00
11/11/2021,90.00
10/11/2021,90.40
09/11/2021,90.20
08/11/2021,91.00
05/11/2021,90.20
04/11/2021,90.20
03/11/2021,90.00
02/11/2021,90.10
01/11/2021,91.00
29/10/2021,90.00
28/10/2021,91.40
27/10/2021,89.90
26/10/2021,89.40
25/10/2021,90.00
22/10/2021,88.20
21/10/2021,88.50
20/10/2021,88.90
19/10/2021,90.00
18/10/2021,90.20
15/10/2021,89.60
14/10/2021,91.00
13/10/2021,90.40
12/10/2021,89.40
11/10/2021,90.10
08/10/2021,90.90
07/10/2021,90.90
06/10/2021,91.30
05/10/2021,91.40
04/10/2021,93.30
01/10/2021,90.40
30/09/2021,89.90
29/09/2021,88.50
28/09/2021,90.00
27/09/2021,92.10
24/09/2021,93.60
23/09/2021,95.20
22/09/2021,89.00
21/09/2021,88.30
20/09/2021,89.80
17/09/2021,89.50
16/09/2021,88.00
15/09/2021,88.50
14/09/2021,88.30
13/09/2021,90.00
10/09/2021,91.80
09/09/2021,90.10
08/09/2021,92.00
07/09/2021,91.60
06/09/2021,90.00
01/09/2021,95.10
31/08/2021,101.10
30/08/2021,98.20
27/08/2021,91.80
26/08/2021,91.80
25/08/2021,85.80
24/08/2021,80.20
23/08/2021,79.80
20/08/2021,78.40
19/08/2021,79.40
18/08/2021,77.60
17/08/2021,78.50
16/08/2021,79.80
13/08/2021,79.50
12/08/2021,79.50
11/08/2021,78.10
10/08/2021,79.00
09/08/2021,79.80
06/08/2021,80.00
05/08/2021,80.00
04/08/2021,80.40
03/08/2021,79.00
02/08/2021,79.90
30/07/2021,76.40
29/07/2021,76.00
28/07/2021,74.70
27/07/2021,74.60
26/07/2021,75.00
23/07/2021,72.50
22/07/2021,73.40
21/07/2021,75.10
20/07/2021,74.70
19/07/2021,74.20
16/07/2021,72.00
15/07/2021,72.00
14/07/2021,72.00
13/07/2021,72.00
12/07/2021,74.40
09/07/2021,75.60
08/07/2021,74.50
07/07/2021,71.50
06/07/2021,73.20
05/07/2021,73.50
02/07/2021,74.20
01/07/2021,76.00
30/06/2021,75.60
29/06/2021,75.50
28/06/2021,74.40
25/06/2021,73.10
24/06/2021,70.50
23/06/2021,70.50
22/06/2021,71.20
21/06/2021,71.20
18/06/2021,72.80
17/06/2021,72.90
16/06/2021,73.40
15/06/2021,74.50
14/06/2021,73.50
11/06/2021,73.00
10/06/2021,72.50
09/06/2021,71.00
08/06/2021,70.80
07/06/2021,70.20
04/06/2021,70.60
03/06/2021,70.60
02/06/2021,69.80
01/06/2021,69.00
31/05/2021,70.20
28/05/2021,70.00
27/05/2021,69.00
26/05/2021,68.50
25/05/2021,66.50
24/05/2021,66.50
21/05/2021,66.50
20/05/2021,67.50
19/05/2021,68.40
18/05/2021,67.90
17/05/2021,68.30
14/05/2021,68.30
13/05/2021,67.50
12/05/2021,67.50
11/05/2021,67.60
10/05/2021,67.40
07/05/2021,67.80
06/05/2021,68.00
05/05/2021,68.00
04/05/2021,69.00
29/04/2021,69.50
28/04/2021,69.00
27/04/2021,67.90
26/04/2021,68.00
23/04/2021,69.80
22/04/2021,69.90
20/04/2021,69.80
19/04/2021,69.90
16/04/2021,70.00
15/04/2021,70.10
14/04/2021,71.50
13/04/2021,70.70
12/04/2021,70.70
09/04/2021,71.00
08/04/2021,72.00
07/04/2021,74.60
06/04/2021,75.60
05/04/2021,75.60
02/04/2021,72.00
01/04/2021,71.50
31/03/2021,68.70
30/03/2021,69.00
29/03/2021,70.50
26/03/2021,69.30
25/03/2021,69.50
24/03/2021,69.20
23/03/2021,70.00
22/03/2021,69.90
19/03/2021,69.80
18/03/2021,70.20
17/03/2021,69.60
16/03/2021,69.50
15/03/2021,71.00
12/03/2021,69.50
11/03/2021,68.00
10/03/2021,68.50
09/03/2021,69.00
08/03/2021,69.00
05/03/2021,68.00
04/03/2021,68.50
03/03/2021,69.20
02/03/2021,69.00
01/03/2021,69.00
26/02/2021,67.90
25/02/2021,67.00
24/02/2021,66.50
23/02/2021,67.50
22/02/2021,66.00
19/02/2021,65.50
18/02/2021,65.50
17/02/2021,66.00
09/02/2021,65.60
08/02/2021,64.50
05/02/2021,63.50
04/02/2021,63.60
03/02/2021,64.00
02/02/2021,64.20
01/02/2021,66.70
29/01/2021,66.70
28/01/2021,62.40
27/01/2021,64.00
26/01/2021,66.80
25/01/2021,66.80
22/01/2021,68.50
21/01/2021,68.50
20/01/2021,68.50
19/01/2021,68.00
18/01/2021,72.00
15/01/2021,71.00
14/01/2021,72.00
13/01/2021,73.50
12/01/2021,71.50
11/01/2021,72.60
08/01/2021,70.50
07/01/2021,71.00
06/01/2021,72.50
05/01/2021,73.30
04/01/2021,73.00
31/12/2020,71.60
30/12/2020,71.50
29/12/2020,69.80
28/12/2020,69.00
25/12/2020,69.90
24/12/2020,69.00
23/12/2020,70.00
22/12/2020,70.00
21/12/2020,69.40
18/12/2020,69.00
17/12/2020,69.00
16/12/2020,68.40
15/12/2020,68.40
14/12/2020,68.50
11/12/2020,69.00
10/12/2020,68.00
09/12/2020,68.80
08/12/2020,68.80
07/12/2020,68.30
04/12/2020,68.30
03/12/2020,68.20
02/12/2020,68.10
01/12/2020,68.70
30/11/2020,68.70
27/11/2020,68.60
26/11/2020,69.00
25/11/2020,69.80
24/11/2020,69.90
23/11/2020,70.50
20/11/2020,70.50
19/11/2020,70.50
18/11/2020,69.40
17/11/2020,68.20
16/11/2020,67.00
13/11/2020,66.80
12/11/2020,66.10
11/11/2020,66.50
10/11/2020,66.50
09/11/2020,64.20
06/11/2020,64.00
05/11/2020,64.00
04/11/2020,63.30
03/11/2020,63.00
02/11/2020,63.50
30/10/2020,63.50
29/10/2020,62.00
28/10/2020,60.60
27/10/2020,62.00
26/10/2020,63.00
23/10/2020,62.00
22/10/2020,62.00
21/10/2020,62.00
20/10/2020,63.00
19/10/2020,63.20
16/10/2020,62.00
15/10/2020,63.30
14/10/2020,62.20
13/10/2020,62.40
12/10/2020,64.80
09/10/2020,64.80
08/10/2020,61.00
07/10/2020,57.90
06/10/2020,57.70
05/10/2020,57.60
02/10/2020,57.50
01/10/2020,57.40
30/09/2020,57.40
29/09/2020,56.80
28/09/2020,56.60
25/09/2020,56.70
24/09/2020,56.80
23/09/2020,56.90
22/09/2020,56.80
21/09/2020,57.00
18/09/2020,57.70
17/09/2020,57.50
16/09/2020,57.60
15/09/2020,57.60
14/09/2020,56.00
11/09/2020,56.20
10/09/2020,56.20
09/09/2020,56.30
08/09/2020,56.20
07/09/2020,55.30
04/09/2020,55.00
03/09/2020,54.70
01/09/2020,54.70
31/08/2020,55.00
28/08/2020,55.60
27/08/2020,54.20
26/08/2020,55.00
25/08/2020,55.40
24/08/2020,55.60
21/08/2020,55.60
20/08/2020,55.60
19/08/2020,56.00
18/08/2020,56.10
17/08/2020,56.40
14/08/2020,56.50
13/08/2020,55.60
12/08/2020,55.60
11/08/2020,55.50
10/08/2020,56.10
07/08/2020,57.50
06/08/2020,56.40
05/08/2020,57.00
04/08/2020,56.90
03/08/2020,56.00
31/07/2020,57.10
30/07/2020,56.00
29/07/2020,54.30
28/07/2020,55.80
27/07/2020,53.90
24/07/2020,53.00
23/07/2020,55.20
22/07/2020,56.90
21/07/2020,56.40
20/07/2020,56.40
17/07/2020,56.00
16/07/2020,56.00
15/07/2020,55.00
14/07/2020,53.30
13/07/2020,52.90
10/07/2020,52.10
09/07/2020,54.00
08/07/2020,54.00
07/07/2020,52.90
06/07/2020,55.00
03/07/2020,52.00
02/07/2020,51.80
01/07/2020,53.00
30/06/2020,53.20
29/06/2020,53.10
26/06/2020,56.00
25/06/2020,56.60
24/06/2020,57.50
23/06/2020,57.50
22/06/2020,58.00
19/06/2020,57.80
18/06/2020,56.50
17/06/2020,57.00
16/06/2020,57.00
15/06/2020,56.50
12/06/2020,57.50
11/06/2020,58.00
10/06/2020,58.10
09/06/2020,58.10
08/06/2020,58.50
05/06/2020,57.80
04/06/2020,57.80
03/06/2020,58.00
02/06/2020,58.50
01/06/2020,58.50
29/05/2020,58.80
28/05/2020,58.00
27/05/2020,59.00
26/05/2020,59.00
25/05/2020,59.80
22/05/2020,58.90
21/05/2020,58.50
20/05/2020,58.00
19/05/2020,57.10
18/05/2020,57.60
15/05/2020,57.40
14/05/2020,57.20
13/05/2020,57.40
12/05/2020,57.20
11/05/2020,57.00
08/05/2020,57.20
07/05/2020,57.30
06/05/2020,57.00
05/05/2020,56.50
04/05/2020,56.00
29/04/2020,56.00
28/04/2020,56.90
27/04/2020,56.80
24/04/2020,56.00
23/04/2020,56.50
22/04/2020,56.90
21/04/2020,56.00
20/04/2020,56.10
17/04/2020,54.80
16/04/2020,54.50
15/04/2020,54.20
14/04/2020,53.90
13/04/2020,54.70
10/04/2020,53.50
09/04/2020,52.80
08/04/2020,54.00
07/04/2020,53.00
06/04/2020,52.40
03/04/2020,50.50
01/04/2020,50.00
31/03/2020,48.50
30/03/2020,49.00
27/03/2020,51.00
26/03/2020,50.80
25/03/2020,50.20
24/03/2020,47.00
23/03/2020,46.50
20/03/2020,48.50
19/03/2020,48.80
18/03/2020,50.90
17/03/2020,49.70
16/03/2020,48.00
13/03/2020,47.10
12/03/2020,46.10
11/03/2020,49.05
10/03/2020,50.90
09/03/2020,52.80
06/03/2020,54.00
05/03/2020,55.30
04/03/2020,53.50
03/03/2020,55.00
02/03/2020,55.90
28/02/2020,55.90
27/02/2020,56.40
26/02/2020,56.20
25/02/2020,56.50
24/02/2020,56.70
21/02/2020,57.00
20/02/2020,57.40
19/02/2020,56.80
18/02/2020,57.50
17/02/2020,56.10
14/02/2020,56.00
13/02/2020,56.60
12/02/2020,57.00
11/02/2020,59.00
10/02/2020,58.80
07/02/2020,55.00
06/02/2020,55.90
05/02/2020,57.90
04/02/2020,58.00
03/02/2020,58.10
31/01/2020,58.00
30/01/2020,58.50
22/01/2020,58.00
21/01/2020,58.30
20/01/2020,59.40
17/01/2020,58.00
16/01/2020,57.00
15/01/2020,57.00
14/01/2020,57.90
13/01/2020,58.20
10/01/2020,59.00
09/01/2020,60.30
08/01/2020,60.40
07/01/2020,59.00
06/01/2020,59.00
03/01/2020,60.80
02/01/2020,60.00
