Date,Closing Price
10/05/2022,5.84
09/05/2022,6.06
06/05/2022,6.51
05/05/2022,7.00
04/05/2022,7.15
29/04/2022,7.26
28/04/2022,7.14
27/04/2022,7.18
26/04/2022,7.15
25/04/2022,6.76
22/04/2022,7.26
21/04/2022,7.80
20/04/2022,8.38
19/04/2022,9.01
18/04/2022,9.68
15/04/2022,10.40
14/04/2022,10.60
13/04/2022,11.30
12/04/2022,10.85
08/04/2022,11.10
07/04/2022,11.10
06/04/2022,10.70
05/04/2022,11.10
04/04/2022,11.05
01/04/2022,10.90
31/03/2022,10.65
30/03/2022,11.30
29/03/2022,12.10
28/03/2022,11.85
25/03/2022,12.70
24/03/2022,12.40
23/03/2022,12.10
22/03/2022,12.00
21/03/2022,12.30
18/03/2022,12.30
17/03/2022,12.40
16/03/2022,12.30
15/03/2022,11.50
14/03/2022,11.10
11/03/2022,11.30
10/03/2022,11.10
09/03/2022,11.00
08/03/2022,11.00
07/03/2022,11.25
04/03/2022,11.30
03/03/2022,10.95
02/03/2022,10.60
01/03/2022,10.80
28/02/2022,10.50
25/02/2022,10.45
24/02/2022,10.15
23/02/2022,10.90
22/02/2022,10.75
21/02/2022,11.40
18/02/2022,11.55
17/02/2022,11.80
16/02/2022,11.95
15/02/2022,11.50
14/02/2022,11.45
11/02/2022,12.30
10/02/2022,12.30
09/02/2022,11.85
08/02/2022,11.10
07/02/2022,11.40
28/01/2022,10.70
27/01/2022,10.85
26/01/2022,10.70
25/01/2022,10.25
24/01/2022,11.00
21/01/2022,11.80
20/01/2022,11.00
19/01/2022,10.40
18/01/2022,11.15
17/01/2022,11.95
14/01/2022,12.80
13/01/2022,13.30
12/01/2022,13.20
11/01/2022,12.90
10/01/2022,13.20
07/01/2022,12.40
06/01/2022,11.60
05/01/2022,11.50
04/01/2022,11.45
31/12/2021,11.35
30/12/2021,11.35
29/12/2021,11.50
28/12/2021,11.95
27/12/2021,12.05
24/12/2021,11.65
23/12/2021,12.05
22/12/2021,11.30
21/12/2021,11.45
20/12/2021,11.80
17/12/2021,11.10
16/12/2021,10.40
15/12/2021,10.10
14/12/2021,10.20
13/12/2021,10.40
10/12/2021,10.00
09/12/2021,10.05
08/12/2021,9.97
07/12/2021,10.25
06/12/2021,10.00
03/12/2021,10.30
02/12/2021,10.70
01/12/2021,10.00
30/11/2021,9.98
29/11/2021,10.00
26/11/2021,10.00
25/11/2021,10.20
24/11/2021,10.20
23/11/2021,10.20
22/11/2021,10.25
19/11/2021,11.00
18/11/2021,10.60
17/11/2021,10.50
16/11/2021,10.30
15/11/2021,10.35
12/11/2021,10.00
11/11/2021,9.96
10/11/2021,9.70
09/11/2021,9.80
08/11/2021,9.99
05/11/2021,10.00
04/11/2021,10.30
03/11/2021,9.72
02/11/2021,10.45
01/11/2021,9.79
29/10/2021,9.15
28/10/2021,8.92
27/10/2021,8.80
26/10/2021,9.40
25/10/2021,9.10
22/10/2021,8.70
21/10/2021,8.29
20/10/2021,8.30
19/10/2021,8.10
18/10/2021,8.10
15/10/2021,8.19
14/10/2021,7.89
13/10/2021,7.90
12/10/2021,7.83
11/10/2021,7.78
08/10/2021,7.40
07/10/2021,7.41
06/10/2021,7.30
05/10/2021,7.16
04/10/2021,7.00
01/10/2021,7.15
30/09/2021,7.24
29/09/2021,7.10
28/09/2021,7.50
27/09/2021,7.26
24/09/2021,7.80
23/09/2021,8.38
22/09/2021,8.44
21/09/2021,7.89
20/09/2021,8.12
17/09/2021,8.00
16/09/2021,8.28
15/09/2021,8.29
14/09/2021,7.81
13/09/2021,7.30
10/09/2021,7.12
