Date,Closing Price
10/05/2022,9.91
09/05/2022,10.65
06/05/2022,11.40
05/05/2022,12.00
04/05/2022,12.50
29/04/2022,12.65
28/04/2022,12.45
27/04/2022,12.65
26/04/2022,12.45
25/04/2022,11.80
22/04/2022,12.35
21/04/2022,12.60
20/04/2022,11.80
19/04/2022,12.50
18/04/2022,13.40
15/04/2022,14.40
14/04/2022,14.30
13/04/2022,14.85
12/04/2022,14.00
08/04/2022,14.75
07/04/2022,14.85
06/04/2022,15.00
05/04/2022,16.10
04/04/2022,16.30
01/04/2022,16.85
31/03/2022,16.70
30/03/2022,17.05
29/03/2022,17.20
28/03/2022,16.10
25/03/2022,17.00
24/03/2022,16.85
23/03/2022,16.70
22/03/2022,16.95
21/03/2022,17.20
18/03/2022,17.00
17/03/2022,16.85
16/03/2022,17.00
15/03/2022,16.80
14/03/2022,16.85
11/03/2022,16.60
10/03/2022,15.55
09/03/2022,15.25
08/03/2022,15.20
07/03/2022,15.65
04/03/2022,15.70
03/03/2022,15.70
02/03/2022,15.75
01/03/2022,14.95
28/02/2022,15.15
25/02/2022,15.00
24/02/2022,15.00
23/02/2022,14.05
22/02/2022,13.70
21/02/2022,14.10
18/02/2022,13.80
17/02/2022,13.90
16/02/2022,13.60
15/02/2022,12.85
14/02/2022,12.75
11/02/2022,13.15
10/02/2022,12.90
09/02/2022,13.05
08/02/2022,12.95
07/02/2022,12.80
28/01/2022,12.00
27/01/2022,11.50
26/01/2022,12.20
25/01/2022,12.85
24/01/2022,12.95
21/01/2022,13.90
20/01/2022,14.20
19/01/2022,13.80
18/01/2022,13.60
17/01/2022,13.20
14/01/2022,14.10
13/01/2022,13.95
12/01/2022,15.00
11/01/2022,15.50
10/01/2022,15.70
07/01/2022,15.70
06/01/2022,15.45
05/01/2022,14.95
04/01/2022,14.00
31/12/2021,13.50
30/12/2021,13.70
29/12/2021,14.25
28/12/2021,13.85
27/12/2021,14.00
24/12/2021,13.60
23/12/2021,13.80
22/12/2021,12.90
21/12/2021,12.10
20/12/2021,12.00
17/12/2021,12.20
16/12/2021,12.05
15/12/2021,11.30
14/12/2021,11.55
13/12/2021,11.70
10/12/2021,10.95
09/12/2021,11.15
08/12/2021,10.90
07/12/2021,11.05
06/12/2021,10.35
03/12/2021,11.10
02/12/2021,11.35
01/12/2021,11.35
30/11/2021,11.60
29/11/2021,11.75
26/11/2021,11.70
25/11/2021,11.60
24/11/2021,11.50
23/11/2021,10.75
22/11/2021,10.05
19/11/2021,10.80
18/11/2021,11.25
17/11/2021,10.55
16/11/2021,10.40
15/11/2021,10.85
12/11/2021,10.80
11/11/2021,10.30
10/11/2021,9.66
09/11/2021,9.20
08/11/2021,9.28
05/11/2021,9.30
04/11/2021,9.04
03/11/2021,9.03
02/11/2021,9.70
01/11/2021,9.85
29/10/2021,9.58
28/10/2021,9.16
27/10/2021,9.10
26/10/2021,9.19
25/10/2021,9.05
22/10/2021,9.15
21/10/2021,8.96
20/10/2021,9.05
19/10/2021,8.48
18/10/2021,8.10
15/10/2021,8.30
14/10/2021,8.10
13/10/2021,7.63
12/10/2021,7.59
11/10/2021,7.50
08/10/2021,7.59
07/10/2021,7.80
06/10/2021,7.30
05/10/2021,7.18
04/10/2021,7.14
01/10/2021,7.09
30/09/2021,7.24
29/09/2021,7.06
28/09/2021,7.07
27/09/2021,7.05
24/09/2021,7.33
23/09/2021,7.51
22/09/2021,7.62
21/09/2021,7.13
20/09/2021,7.20
17/09/2021,7.18
16/09/2021,6.97
15/09/2021,7.02
14/09/2021,7.22
13/09/2021,7.22
10/09/2021,7.22
09/09/2021,7.25
08/09/2021,7.17
07/09/2021,7.28
06/09/2021,7.53
01/09/2021,7.29
31/08/2021,7.28
30/08/2021,7.39
27/08/2021,7.15
26/08/2021,6.83
25/08/2021,6.90
24/08/2021,6.91
23/08/2021,6.72
20/08/2021,6.94
19/08/2021,7.28
18/08/2021,7.35
17/08/2021,7.47
16/08/2021,7.54
13/08/2021,7.35
12/08/2021,7.40
11/08/2021,7.40
10/08/2021,7.65
09/08/2021,7.39
06/08/2021,7.37
05/08/2021,7.24
04/08/2021,7.22
03/08/2021,7.20
02/08/2021,7.16
30/07/2021,7.13
29/07/2021,7.20
28/07/2021,7.26
27/07/2021,7.52
26/07/2021,7.04
23/07/2021,7.04
22/07/2021,7.22
21/07/2021,7.15
20/07/2021,6.93
19/07/2021,6.48
16/07/2021,6.84
15/07/2021,6.91
14/07/2021,6.70
13/07/2021,6.96
12/07/2021,6.51
09/07/2021,7.00
08/07/2021,7.07
07/07/2021,7.00
06/07/2021,7.10
05/07/2021,7.37
02/07/2021,7.67
01/07/2021,7.91
30/06/2021,7.78
29/06/2021,7.90
28/06/2021,8.26
25/06/2021,7.72
24/06/2021,7.22
23/06/2021,7.05
22/06/2021,7.23
21/06/2021,7.37
18/06/2021,7.21
17/06/2021,7.10
16/06/2021,7.12
15/06/2021,6.67
14/06/2021,6.73
11/06/2021,6.86
10/06/2021,6.55
09/06/2021,6.43
08/06/2021,6.37
07/06/2021,6.40
04/06/2021,6.57
03/06/2021,6.70
02/06/2021,6.50
01/06/2021,6.08
31/05/2021,6.28
28/05/2021,6.57
27/05/2021,6.60
26/05/2021,6.74
25/05/2021,6.80
24/05/2021,6.81
21/05/2021,6.78
20/05/2021,6.53
19/05/2021,6.80
18/05/2021,6.85
17/05/2021,6.90
14/05/2021,7.04
13/05/2021,7.10
12/05/2021,7.19
11/05/2021,6.95
10/05/2021,6.93
07/05/2021,6.95
06/05/2021,7.08
05/05/2021,7.20
04/05/2021,7.29
29/04/2021,7.65
28/04/2021,7.53
27/04/2021,7.04
26/04/2021,6.58
23/04/2021,6.87
22/04/2021,6.85
20/04/2021,7.36
19/04/2021,7.65
16/04/2021,7.29
15/04/2021,7.60
14/04/2021,7.92
13/04/2021,7.81
12/04/2021,8.00
09/04/2021,7.93
08/04/2021,8.15
07/04/2021,7.91
06/04/2021,7.40
05/04/2021,7.18
02/04/2021,7.30
01/04/2021,7.30
31/03/2021,7.20
30/03/2021,7.36
29/03/2021,7.17
26/03/2021,6.71
25/03/2021,6.81
24/03/2021,6.60
23/03/2021,6.48
22/03/2021,6.30
19/03/2021,6.05
18/03/2021,6.18
17/03/2021,6.19
16/03/2021,6.36
15/03/2021,6.42
12/03/2021,6.18
11/03/2021,6.13
10/03/2021,6.13
09/03/2021,6.25
08/03/2021,6.02
05/03/2021,5.63
04/03/2021,5.78
03/03/2021,5.78
02/03/2021,5.41
01/03/2021,5.06
26/02/2021,5.06
25/02/2021,5.09
24/02/2021,5.09
23/02/2021,5.13
22/02/2021,5.14
19/02/2021,5.10
18/02/2021,5.14
17/02/2021,5.07
09/02/2021,4.74
08/02/2021,4.70
05/02/2021,4.99
04/02/2021,4.81
03/02/2021,4.50
02/02/2021,4.28
01/02/2021,4.60
29/01/2021,4.94
28/01/2021,4.83
27/01/2021,5.19
26/01/2021,5.58
25/01/2021,5.98
22/01/2021,6.43
21/01/2021,6.68
20/01/2021,6.60
19/01/2021,6.70
18/01/2021,6.98
15/01/2021,6.53
14/01/2021,6.45
13/01/2021,6.50
12/01/2021,6.63
11/01/2021,6.55
08/01/2021,6.51
07/01/2021,6.55
06/01/2021,6.13
05/01/2021,6.17
04/01/2021,6.10
31/12/2020,6.15
30/12/2020,6.15
29/12/2020,5.97
28/12/2020,5.74
25/12/2020,5.85
24/12/2020,5.89
23/12/2020,6.07
22/12/2020,5.69
21/12/2020,5.50
18/12/2020,5.60
17/12/2020,5.64
16/12/2020,5.72
15/12/2020,5.67
14/12/2020,5.74
11/12/2020,5.63
10/12/2020,5.67
09/12/2020,5.69
08/12/2020,5.62
07/12/2020,5.61
04/12/2020,5.68
03/12/2020,5.68
02/12/2020,5.59
01/12/2020,5.63
30/11/2020,5.79
27/11/2020,5.93
26/11/2020,5.94
25/11/2020,5.95
24/11/2020,6.12
23/11/2020,5.97
20/11/2020,5.58
19/11/2020,5.66
18/11/2020,5.50
17/11/2020,5.66
16/11/2020,5.70
13/11/2020,5.83
12/11/2020,5.72
11/11/2020,5.77
10/11/2020,5.80
09/11/2020,5.89
06/11/2020,5.72
05/11/2020,5.81
04/11/2020,6.04
03/11/2020,5.65
02/11/2020,6.07
30/10/2020,6.41
29/10/2020,6.70
28/10/2020,6.44
27/10/2020,6.92
26/10/2020,7.44
23/10/2020,7.99
22/10/2020,8.59
21/10/2020,8.40
20/10/2020,8.12
19/10/2020,7.76
16/10/2020,7.26
15/10/2020,6.79
14/10/2020,6.73
13/10/2020,6.56
12/10/2020,6.29
09/10/2020,6.42
08/10/2020,6.29
07/10/2020,5.88
06/10/2020,5.50
05/10/2020,5.53
02/10/2020,5.46
01/10/2020,5.54
30/09/2020,5.49
29/09/2020,5.39
28/09/2020,5.49
25/09/2020,5.20
24/09/2020,5.17
23/09/2020,5.20
22/09/2020,5.25
