Date,Closing Price
10/05/2022,31.50
09/05/2022,31.90
06/05/2022,32.00
05/05/2022,32.70
04/05/2022,33.40
29/04/2022,33.70
28/04/2022,33.40
27/04/2022,31.90
26/04/2022,31.10
25/04/2022,31.00
22/04/2022,33.00
21/04/2022,33.00
20/04/2022,34.00
19/04/2022,35.60
18/04/2022,35.80
15/04/2022,34.40
14/04/2022,32.70
13/04/2022,32.30
12/04/2022,32.60
08/04/2022,33.40
07/04/2022,33.00
06/04/2022,32.90
05/04/2022,32.40
04/04/2022,32.15
01/04/2022,32.10
31/03/2022,34.00
30/03/2022,34.00
29/03/2022,33.10
28/03/2022,30.95
25/03/2022,30.60
24/03/2022,30.00
23/03/2022,30.10
22/03/2022,30.00
21/03/2022,30.30
18/03/2022,30.30
17/03/2022,30.30
16/03/2022,30.60
15/03/2022,30.70
14/03/2022,30.70
11/03/2022,30.05
10/03/2022,31.00
09/03/2022,30.10
08/03/2022,30.10
07/03/2022,30.70
04/03/2022,30.90
03/03/2022,30.90
02/03/2022,30.25
01/03/2022,30.45
28/02/2022,30.70
25/02/2022,30.80
24/02/2022,29.75
23/02/2022,30.80
22/02/2022,30.80
21/02/2022,30.80
18/02/2022,30.80
17/02/2022,30.80
16/02/2022,30.40
15/02/2022,30.20
14/02/2022,30.20
11/02/2022,30.20
10/02/2022,30.20
09/02/2022,29.70
08/02/2022,29.50
07/02/2022,29.65
28/01/2022,30.90
27/01/2022,29.10
26/01/2022,29.10
25/01/2022,28.95
24/01/2022,28.05
21/01/2022,28.10
20/01/2022,28.10
19/01/2022,28.30
18/01/2022,28.35
17/01/2022,28.35
14/01/2022,28.10
13/01/2022,28.00
12/01/2022,28.00
11/01/2022,28.95
10/01/2022,28.30
07/01/2022,29.35
06/01/2022,29.05
05/01/2022,28.90
04/01/2022,28.45
31/12/2021,28.30
30/12/2021,28.00
29/12/2021,28.40
28/12/2021,28.00
27/12/2021,28.30
24/12/2021,27.80
23/12/2021,27.95
22/12/2021,28.80
21/12/2021,28.80
20/12/2021,29.25
17/12/2021,29.55
16/12/2021,29.10
15/12/2021,29.60
14/12/2021,29.60
13/12/2021,29.60
10/12/2021,30.30
09/12/2021,29.55
08/12/2021,30.70
07/12/2021,30.40
06/12/2021,29.00
03/12/2021,29.70
02/12/2021,31.25
01/12/2021,31.25
30/11/2021,31.00
29/11/2021,31.00
26/11/2021,31.20
25/11/2021,32.00
24/11/2021,32.40
23/11/2021,32.65
22/11/2021,31.80
19/11/2021,32.00
18/11/2021,33.30
17/11/2021,32.90
16/11/2021,32.10
15/11/2021,32.60
12/11/2021,33.00
11/11/2021,32.40
10/11/2021,33.30
09/11/2021,32.20
08/11/2021,33.25
05/11/2021,32.90
04/11/2021,31.85
03/11/2021,32.10
02/11/2021,32.80
01/11/2021,32.00
29/10/2021,32.50
28/10/2021,32.00
27/10/2021,32.50
26/10/2021,31.50
25/10/2021,30.90
22/10/2021,30.40
21/10/2021,30.00
20/10/2021,29.30
19/10/2021,28.90
18/10/2021,29.80
15/10/2021,29.50
14/10/2021,28.90
13/10/2021,28.90
12/10/2021,28.70
11/10/2021,28.50
08/10/2021,28.90
07/10/2021,28.90
06/10/2021,28.50
05/10/2021,28.50
04/10/2021,28.50
01/10/2021,29.50
30/09/2021,28.65
29/09/2021,28.80
28/09/2021,28.65
27/09/2021,28.70
24/09/2021,29.00
23/09/2021,29.00
22/09/2021,30.00
21/09/2021,30.30
20/09/2021,29.85
17/09/2021,30.50
16/09/2021,29.95
15/09/2021,29.60
14/09/2021,27.80
13/09/2021,26.80
10/09/2021,26.10
09/09/2021,26.10
08/09/2021,26.50
07/09/2021,26.50
06/09/2021,26.70
01/09/2021,26.00
31/08/2021,25.95
30/08/2021,25.80
27/08/2021,25.50
26/08/2021,25.10
25/08/2021,25.00
24/08/2021,25.00
23/08/2021,25.00
20/08/2021,25.10
19/08/2021,25.90
