Date,Closing Price
10/05/2022,80.00
09/05/2022,77.90
06/05/2022,79.40
05/05/2022,81.00
04/05/2022,79.90
29/04/2022,80.90
28/04/2022,81.50
27/04/2022,81.50
26/04/2022,80.50
25/04/2022,81.80
22/04/2022,82.20
21/04/2022,78.40
20/04/2022,78.40
19/04/2022,77.70
18/04/2022,77.70
15/04/2022,80.20
14/04/2022,81.00
13/04/2022,82.40
12/04/2022,82.40
08/04/2022,83.00
07/04/2022,83.00
06/04/2022,84.60
05/04/2022,83.00
04/04/2022,82.60
01/04/2022,82.80
31/03/2022,82.10
30/03/2022,82.00
29/03/2022,81.90
28/03/2022,82.40
25/03/2022,82.50
24/03/2022,83.50
23/03/2022,84.90
22/03/2022,84.90
21/03/2022,84.90
18/03/2022,84.20
17/03/2022,83.00
16/03/2022,82.50
15/03/2022,81.10
14/03/2022,84.20
11/03/2022,83.80
10/03/2022,83.50
09/03/2022,83.00
08/03/2022,81.50
07/03/2022,84.90
04/03/2022,84.90
03/03/2022,85.50
02/03/2022,85.00
01/03/2022,85.00
28/02/2022,84.50
25/02/2022,85.10
24/02/2022,85.30
23/02/2022,86.90
22/02/2022,86.80
21/02/2022,87.40
18/02/2022,87.20
17/02/2022,87.50
16/02/2022,87.00
15/02/2022,87.00
14/02/2022,86.00
11/02/2022,90.00
10/02/2022,91.30
09/02/2022,90.80
08/02/2022,92.00
07/02/2022,92.40
28/01/2022,89.00
27/01/2022,91.00
26/01/2022,94.50
25/01/2022,95.80
24/01/2022,93.00
21/01/2022,89.20
20/01/2022,84.40
19/01/2022,85.40
18/01/2022,87.60
17/01/2022,86.20
14/01/2022,83.40
13/01/2022,81.90
12/01/2022,80.00
11/01/2022,79.40
10/01/2022,79.50
07/01/2022,79.80
06/01/2022,79.10
05/01/2022,78.00
04/01/2022,79.00
31/12/2021,78.80
30/12/2021,78.40
29/12/2021,79.50
28/12/2021,80.00
27/12/2021,79.80
24/12/2021,78.50
23/12/2021,76.50
22/12/2021,76.90
21/12/2021,98.90
20/12/2021,99.50
17/12/2021,96.50
16/12/2021,99.10
15/12/2021,99.90
