Date,Closing Price
10/05/2022,27.45
09/05/2022,27.45
06/05/2022,29.50
05/05/2022,31.50
04/05/2022,31.35
29/04/2022,29.30
28/04/2022,29.00
27/04/2022,29.50
26/04/2022,29.30
25/04/2022,28.80
22/04/2022,30.95
21/04/2022,32.00
20/04/2022,30.90
19/04/2022,33.20
18/04/2022,35.65
15/04/2022,38.30
14/04/2022,40.80
13/04/2022,41.95
12/04/2022,41.00
08/04/2022,42.65
07/04/2022,43.60
06/04/2022,44.60
05/04/2022,44.60
04/04/2022,43.75
01/04/2022,43.25
31/03/2022,43.00
30/03/2022,43.05
29/03/2022,43.60
28/03/2022,43.40
25/03/2022,44.80
24/03/2022,44.65
23/03/2022,44.65
22/03/2022,45.20
21/03/2022,44.20
18/03/2022,44.00
17/03/2022,44.05
16/03/2022,43.60
15/03/2022,43.45
14/03/2022,42.20
11/03/2022,43.10
10/03/2022,43.25
09/03/2022,43.15
08/03/2022,43.70
07/03/2022,45.10
04/03/2022,44.00
03/03/2022,43.60
02/03/2022,43.25
01/03/2022,44.40
28/02/2022,43.20
25/02/2022,42.80
24/02/2022,42.70
23/02/2022,44.35
22/02/2022,44.30
21/02/2022,45.65
18/02/2022,45.00
17/02/2022,44.70
16/02/2022,45.00
15/02/2022,43.45
14/02/2022,42.70
11/02/2022,43.55
10/02/2022,43.65
09/02/2022,43.70
08/02/2022,42.10
07/02/2022,42.90
28/01/2022,41.80
27/01/2022,41.50
26/01/2022,43.10
25/01/2022,46.30
24/01/2022,45.15
21/01/2022,48.50
20/01/2022,49.35
19/01/2022,47.40
18/01/2022,46.70
17/01/2022,47.25
14/01/2022,50.80
13/01/2022,48.80
12/01/2022,52.30
11/01/2022,53.60
10/01/2022,52.00
07/01/2022,55.90
06/01/2022,55.70
05/01/2022,56.00
04/01/2022,53.60
31/12/2021,51.70
30/12/2021,52.00
29/12/2021,53.10
28/12/2021,53.50
27/12/2021,54.00
24/12/2021,53.40
23/12/2021,53.80
22/12/2021,50.30
21/12/2021,49.75
20/12/2021,49.60
17/12/2021,48.80
16/12/2021,45.65
15/12/2021,44.80
14/12/2021,45.80
13/12/2021,46.40
10/12/2021,45.65
09/12/2021,44.35
08/12/2021,44.60
07/12/2021,45.05
06/12/2021,44.50
03/12/2021,47.00
02/12/2021,50.10
01/12/2021,51.00
30/11/2021,50.50
29/11/2021,47.50
26/11/2021,46.60
25/11/2021,46.80
24/11/2021,45.60
23/11/2021,46.30
22/11/2021,46.30
19/11/2021,48.50
18/11/2021,49.25
17/11/2021,47.65
16/11/2021,48.00
15/11/2021,45.80
12/11/2021,45.20
11/11/2021,44.20
10/11/2021,42.75
09/11/2021,42.60
08/11/2021,42.70
05/11/2021,42.00
04/11/2021,42.50
03/11/2021,42.90
02/11/2021,43.75
01/11/2021,41.60
