Date,Closing Price
10/05/2022,12.50
09/05/2022,13.00
06/05/2022,13.95
05/05/2022,15.00
04/05/2022,15.05
29/04/2022,15.50
28/04/2022,15.05
27/04/2022,15.20
26/04/2022,15.10
25/04/2022,14.25
22/04/2022,15.30
21/04/2022,15.50
20/04/2022,15.90
19/04/2022,16.50
18/04/2022,17.50
15/04/2022,18.80
14/04/2022,20.20
13/04/2022,21.50
12/04/2022,20.65
08/04/2022,20.40
07/04/2022,21.90
06/04/2022,22.60
05/04/2022,23.90
04/04/2022,24.40
01/04/2022,23.00
31/03/2022,22.55
30/03/2022,22.50
29/03/2022,23.25
28/03/2022,22.20
25/03/2022,23.50
24/03/2022,23.95
23/03/2022,24.00
22/03/2022,23.20
21/03/2022,23.00
18/03/2022,22.80
17/03/2022,21.95
16/03/2022,22.05
15/03/2022,22.00
14/03/2022,21.80
11/03/2022,22.40
10/03/2022,22.90
09/03/2022,22.85
08/03/2022,22.80
07/03/2022,23.05
04/03/2022,22.90
03/03/2022,22.55
02/03/2022,22.20
01/03/2022,22.65
28/02/2022,22.90
25/02/2022,23.30
24/02/2022,22.85
23/02/2022,27.95
22/02/2022,27.80
21/02/2022,29.20
18/02/2022,28.50
17/02/2022,28.20
16/02/2022,28.65
15/02/2022,28.25
14/02/2022,28.40
11/02/2022,28.35
10/02/2022,27.45
09/02/2022,27.20
08/02/2022,26.60
07/02/2022,27.10
28/01/2022,25.80
27/01/2022,24.90
26/01/2022,24.10
25/01/2022,24.60
24/01/2022,24.95
21/01/2022,26.80
20/01/2022,27.45
19/01/2022,26.40
18/01/2022,26.60
17/01/2022,28.60
14/01/2022,30.75
13/01/2022,30.50
12/01/2022,32.00
11/01/2022,32.15
10/01/2022,33.00
07/01/2022,34.60
06/01/2022,32.80
05/01/2022,33.20
04/01/2022,33.30
31/12/2021,33.00
30/12/2021,33.10
29/12/2021,30.95
28/12/2021,30.95
27/12/2021,31.40
24/12/2021,30.20
23/12/2021,29.60
22/12/2021,31.10
21/12/2021,32.40
20/12/2021,32.60
17/12/2021,32.40
16/12/2021,31.55
15/12/2021,32.00
14/12/2021,33.20
13/12/2021,32.60
10/12/2021,32.05
09/12/2021,31.70
08/12/2021,30.00
07/12/2021,31.40
06/12/2021,31.25
03/12/2021,33.55
02/12/2021,36.05
01/12/2021,36.60
30/11/2021,36.55
29/11/2021,35.85
26/11/2021,33.55
25/11/2021,33.50
24/11/2021,33.00
23/11/2021,33.00
22/11/2021,32.00
19/11/2021,33.90
18/11/2021,32.40
17/11/2021,30.30
16/11/2021,30.20
15/11/2021,30.90
12/11/2021,28.95
11/11/2021,29.60
10/11/2021,29.85
09/11/2021,29.10
08/11/2021,27.95
05/11/2021,26.15
04/11/2021,25.65
03/11/2021,24.00
02/11/2021,24.95
01/11/2021,23.75
29/10/2021,22.20
28/10/2021,21.40
27/10/2021,20.90
26/10/2021,20.75
25/10/2021,20.80
22/10/2021,21.20
21/10/2021,20.60
20/10/2021,20.40
19/10/2021,20.55
18/10/2021,20.00
15/10/2021,18.70
14/10/2021,18.80
13/10/2021,18.70
12/10/2021,18.90
11/10/2021,18.25
08/10/2021,17.95
07/10/2021,18.10
06/10/2021,18.05
05/10/2021,18.35
04/10/2021,17.55
01/10/2021,17.65
30/09/2021,17.90
29/09/2021,17.70
28/09/2021,18.00
27/09/2021,17.90
24/09/2021,18.65
23/09/2021,18.75
22/09/2021,18.65
21/09/2021,18.60
20/09/2021,19.00
17/09/2021,19.45
16/09/2021,18.85
15/09/2021,18.80
14/09/2021,18.40
13/09/2021,19.00
10/09/2021,19.60
09/09/2021,19.60
08/09/2021,19.50
07/09/2021,18.25
06/09/2021,26.75
01/09/2021,27.00
31/08/2021,27.50
30/08/2021,28.70
27/08/2021,28.10
26/08/2021,26.30
25/08/2021,27.60
24/08/2021,28.65
23/08/2021,30.80
20/08/2021,29.50
19/08/2021,28.10
18/08/2021,26.30
17/08/2021,24.60
16/08/2021,24.05
13/08/2021,22.50
12/08/2021,22.70
11/08/2021,23.05
10/08/2021,23.50
09/08/2021,23.55
06/08/2021,23.20
05/08/2021,22.75
04/08/2021,22.15
03/08/2021,21.80
02/08/2021,21.90
30/07/2021,22.20
29/07/2021,21.70
28/07/2021,21.70
27/07/2021,22.10
26/07/2021,22.50
23/07/2021,21.75
22/07/2021,20.35
21/07/2021,20.40
20/07/2021,20.55
19/07/2021,20.60
16/07/2021,22.10
15/07/2021,22.30
14/07/2021,21.75
13/07/2021,21.40
12/07/2021,22.35
09/07/2021,24.00
08/07/2021,25.60
07/07/2021,26.50
06/07/2021,25.90
05/07/2021,27.75
02/07/2021,28.45
01/07/2021,28.50
30/06/2021,28.25
29/06/2021,28.85
28/06/2021,29.30
25/06/2021,29.60
24/06/2021,28.90
23/06/2021,29.15
22/06/2021,29.70
21/06/2021,30.10
18/06/2021,28.50
17/06/2021,28.05
16/06/2021,28.25
15/06/2021,28.45
14/06/2021,28.25
11/06/2021,27.75
10/06/2021,27.05
09/06/2021,27.50
08/06/2021,27.85
07/06/2021,29.90
04/06/2021,31.00
