Date,Closing Price
10/05/2022,20.60
09/05/2022,21.00
06/05/2022,22.50
05/05/2022,23.80
04/05/2022,25.00
29/04/2022,24.05
28/04/2022,23.10
27/04/2022,22.80
26/04/2022,22.50
25/04/2022,22.80
22/04/2022,24.50
21/04/2022,25.00
20/04/2022,25.50
19/04/2022,25.50
18/04/2022,26.95
15/04/2022,27.50
14/04/2022,28.50
13/04/2022,29.00
12/04/2022,28.90
08/04/2022,29.50
07/04/2022,30.70
06/04/2022,30.50
05/04/2022,31.70
04/04/2022,32.00
01/04/2022,31.75
31/03/2022,31.60
30/03/2022,32.15
29/03/2022,32.65
28/03/2022,31.65
25/03/2022,32.65
24/03/2022,32.95
23/03/2022,33.05
22/03/2022,33.00
21/03/2022,32.65
18/03/2022,33.45
17/03/2022,33.50
16/03/2022,34.40
15/03/2022,34.40
14/03/2022,34.10
11/03/2022,36.10
10/03/2022,35.50
09/03/2022,33.20
08/03/2022,34.05
07/03/2022,35.50
04/03/2022,36.80
03/03/2022,36.90
02/03/2022,36.15
01/03/2022,38.85
28/02/2022,41.75
25/02/2022,39.05
24/02/2022,36.50
23/02/2022,34.15
22/02/2022,31.95
21/02/2022,29.90
18/02/2022,28.15
17/02/2022,27.70
16/02/2022,27.50
15/02/2022,28.15
14/02/2022,28.35
11/02/2022,27.60
10/02/2022,27.00
09/02/2022,26.55
08/02/2022,26.45
07/02/2022,26.45
28/01/2022,25.95
27/01/2022,25.35
26/01/2022,26.70
25/01/2022,27.30
24/01/2022,27.35
21/01/2022,27.35
20/01/2022,28.25
19/01/2022,27.50
18/01/2022,27.50
17/01/2022,27.50
14/01/2022,27.80
13/01/2022,28.75
12/01/2022,30.90
11/01/2022,32.20
10/01/2022,33.50
07/01/2022,34.45
06/01/2022,34.60
05/01/2022,35.15
04/01/2022,35.25
31/12/2021,35.50
30/12/2021,36.00
29/12/2021,36.00
28/12/2021,36.00
27/12/2021,35.35
24/12/2021,35.20
23/12/2021,35.90
22/12/2021,36.00
21/12/2021,36.65
20/12/2021,37.10
17/12/2021,37.40
16/12/2021,37.10
15/12/2021,37.20
14/12/2021,37.30
13/12/2021,38.10
10/12/2021,38.70
09/12/2021,38.55
08/12/2021,38.30
07/12/2021,39.00
06/12/2021,37.90
03/12/2021,39.00
02/12/2021,40.20
01/12/2021,41.70
30/11/2021,42.85
29/11/2021,41.50
26/11/2021,38.80
25/11/2021,40.00
24/11/2021,40.10
23/11/2021,39.55
22/11/2021,37.00
19/11/2021,38.50
18/11/2021,39.90
17/11/2021,39.85
16/11/2021,41.60
15/11/2021,43.25
12/11/2021,42.85
11/11/2021,40.05
10/11/2021,43.05
09/11/2021,46.25
08/11/2021,43.25
05/11/2021,40.45
04/11/2021,37.85
03/11/2021,35.40
02/11/2021,37.60
01/11/2021,39.30
29/10/2021,39.70
28/10/2021,39.70
27/10/2021,40.05
26/10/2021,39.15
25/10/2021,38.20
22/10/2021,38.20
21/10/2021,39.20
20/10/2021,39.45
19/10/2021,39.80
18/10/2021,39.90
15/10/2021,40.70
14/10/2021,40.60
13/10/2021,40.70
12/10/2021,39.00
11/10/2021,40.10
08/10/2021,41.45
07/10/2021,42.45
06/10/2021,42.80
05/10/2021,41.50
04/10/2021,44.00
01/10/2021,46.70
30/09/2021,47.60
29/09/2021,46.55
28/09/2021,48.95
27/09/2021,49.50
24/09/2021,46.30
23/09/2021,49.70
22/09/2021,53.40
21/09/2021,57.00
20/09/2021,59.10
17/09/2021,58.90
16/09/2021,63.30
15/09/2021,68.00
14/09/2021,65.90
13/09/2021,61.60
10/09/2021,57.60
09/09/2021,61.90
08/09/2021,66.50
07/09/2021,71.40
06/09/2021,76.70
01/09/2021,82.40
31/08/2021,77.10
30/08/2021,72.10
27/08/2021,67.40
26/08/2021,63.00
25/08/2021,58.90
24/08/2021,55.10
23/08/2021,51.50
20/08/2021,48.15
19/08/2021,45.00
18/08/2021,42.20
17/08/2021,39.45
16/08/2021,36.90
13/08/2021,34.50
12/08/2021,32.25
11/08/2021,30.15
10/08/2021,28.20
09/08/2021,26.40
06/08/2021,24.70
05/08/2021,25.35
04/08/2021,25.00
03/08/2021,24.80
02/08/2021,24.80
30/07/2021,25.00
29/07/2021,24.80
28/07/2021,24.80
27/07/2021,24.70
26/07/2021,25.00
23/07/2021,25.60
22/07/2021,25.95
21/07/2021,27.90
20/07/2021,27.15
19/07/2021,25.40
16/07/2021,23.75
15/07/2021,23.85
14/07/2021,23.85
13/07/2021,23.55
12/07/2021,24.00
09/07/2021,25.30
08/07/2021,26.95
07/07/2021,26.00
06/07/2021,26.30
05/07/2021,26.60
02/07/2021,27.20
01/07/2021,27.90
30/06/2021,27.00
29/06/2021,27.90
28/06/2021,27.50
25/06/2021,26.55
24/06/2021,27.05
23/06/2021,27.80
22/06/2021,27.80
21/06/2021,28.35
18/06/2021,29.30
17/06/2021,31.40
16/06/2021,30.05
15/06/2021,28.10
14/06/2021,29.30
11/06/2021,33.50
10/06/2021,36.00
09/06/2021,36.30
08/06/2021,33.95
07/06/2021,31.75
04/06/2021,29.70
03/06/2021,27.80
02/06/2021,26.00
01/06/2021,25.20
31/05/2021,26.80
28/05/2021,26.80
27/05/2021,25.90
26/05/2021,25.10
25/05/2021,25.10
24/05/2021,25.10
21/05/2021,24.80
20/05/2021,24.95
19/05/2021,24.60
18/05/2021,24.00
17/05/2021,24.95
14/05/2021,24.00
13/05/2021,24.80
12/05/2021,23.45
11/05/2021,23.45
10/05/2021,22.90
07/05/2021,22.40
06/05/2021,22.40
05/05/2021,22.35
04/05/2021,22.95
29/04/2021,23.50
28/04/2021,23.50
27/04/2021,23.80
