Date,Closing Price
10/05/2022,12.70
09/05/2022,12.15
06/05/2022,13.05
05/05/2022,13.80
04/05/2022,14.00
29/04/2022,14.40
28/04/2022,14.10
27/04/2022,13.95
26/04/2022,13.90
25/04/2022,14.00
22/04/2022,13.75
21/04/2022,13.45
20/04/2022,14.20
19/04/2022,14.35
18/04/2022,15.40
15/04/2022,15.70
14/04/2022,15.65
13/04/2022,16.30
12/04/2022,15.50
08/04/2022,16.00
07/04/2022,16.90
06/04/2022,17.30
05/04/2022,17.70
04/04/2022,17.30
01/04/2022,17.30
31/03/2022,16.80
30/03/2022,17.20
29/03/2022,18.05
28/03/2022,18.00
25/03/2022,18.50
24/03/2022,18.50
23/03/2022,17.95
22/03/2022,17.95
21/03/2022,18.00
18/03/2022,17.65
17/03/2022,17.75
16/03/2022,17.80
15/03/2022,17.70
14/03/2022,17.45
11/03/2022,18.30
10/03/2022,18.85
09/03/2022,18.20
08/03/2022,18.40
07/03/2022,19.00
04/03/2022,18.05
03/03/2022,16.90
02/03/2022,16.25
01/03/2022,16.50
28/02/2022,16.20
25/02/2022,16.30
24/02/2022,16.10
23/02/2022,16.80
22/02/2022,16.80
21/02/2022,17.10
18/02/2022,16.00
17/02/2022,16.10
16/02/2022,16.30
15/02/2022,16.30
14/02/2022,15.85
11/02/2022,16.15
10/02/2022,15.70
09/02/2022,15.65
08/02/2022,15.65
07/02/2022,15.60
28/01/2022,15.50
27/01/2022,14.75
26/01/2022,15.30
25/01/2022,15.60
24/01/2022,15.10
21/01/2022,16.20
20/01/2022,15.95
19/01/2022,15.80
18/01/2022,15.90
17/01/2022,15.65
14/01/2022,16.80
13/01/2022,16.25
12/01/2022,16.55
11/01/2022,17.00
10/01/2022,17.40
07/01/2022,17.10
06/01/2022,17.00
05/01/2022,15.90
04/01/2022,15.90
31/12/2021,15.45
30/12/2021,15.35
29/12/2021,15.80
28/12/2021,15.85
27/12/2021,15.55
24/12/2021,14.65
23/12/2021,13.80
22/12/2021,13.70
21/12/2021,13.60
20/12/2021,13.60
17/12/2021,13.85
16/12/2021,13.95
15/12/2021,13.05
14/12/2021,13.30
13/12/2021,12.65
10/12/2021,11.85
09/12/2021,11.90
08/12/2021,11.65
07/12/2021,11.65
06/12/2021,11.25
03/12/2021,11.95
02/12/2021,12.45
01/12/2021,12.15
30/11/2021,12.25
29/11/2021,12.15
26/11/2021,12.25
25/11/2021,11.85
24/11/2021,11.95
23/11/2021,12.25
22/11/2021,12.30
19/11/2021,13.20
18/11/2021,13.15
17/11/2021,12.60
16/11/2021,12.30
15/11/2021,12.30
12/11/2021,12.25
11/11/2021,12.05
10/11/2021,11.30
09/11/2021,11.35
08/11/2021,11.35
05/11/2021,11.35
04/11/2021,11.30
03/11/2021,11.05
02/11/2021,11.85
01/11/2021,11.20
29/10/2021,11.25
28/10/2021,11.00
27/10/2021,11.15
26/10/2021,10.60
25/10/2021,9.95
22/10/2021,10.00
21/10/2021,9.90
20/10/2021,9.92
19/10/2021,9.28
18/10/2021,9.27
15/10/2021,9.27
14/10/2021,9.26
13/10/2021,9.18
12/10/2021,9.22
11/10/2021,9.05
08/10/2021,9.18
07/10/2021,9.32
06/10/2021,9.43
05/10/2021,9.36
04/10/2021,9.46
01/10/2021,9.02
30/09/2021,9.00
29/09/2021,9.00
28/09/2021,8.97
27/09/2021,8.77
24/09/2021,9.42
23/09/2021,9.52
22/09/2021,9.72
21/09/2021,9.09
20/09/2021,9.10
17/09/2021,8.96
16/09/2021,8.70
15/09/2021,8.76
14/09/2021,8.70
13/09/2021,8.62
10/09/2021,8.06
09/09/2021,7.75
08/09/2021,7.86
07/09/2021,8.05
06/09/2021,8.04
01/09/2021,7.91
31/08/2021,7.99
30/08/2021,8.10
27/08/2021,7.98
26/08/2021,7.70
25/08/2021,7.60
