Date,Closing Price
10/05/2022,33.30
09/05/2022,31.80
06/05/2022,34.15
05/05/2022,35.55
04/05/2022,35.80
29/04/2022,36.70
28/04/2022,36.50
27/04/2022,35.95
26/04/2022,36.40
25/04/2022,34.25
22/04/2022,36.80
21/04/2022,35.50
20/04/2022,35.20
19/04/2022,35.80
18/04/2022,36.65
15/04/2022,38.50
14/04/2022,39.50
13/04/2022,39.00
12/04/2022,39.00
08/04/2022,38.80
07/04/2022,39.80
06/04/2022,39.95
05/04/2022,38.30
04/04/2022,39.00
01/04/2022,38.60
31/03/2022,37.20
30/03/2022,36.80
29/03/2022,36.40
28/03/2022,36.25
25/03/2022,36.75
24/03/2022,36.35
23/03/2022,36.65
22/03/2022,36.85
21/03/2022,36.80
18/03/2022,36.25
17/03/2022,36.45
16/03/2022,36.80
15/03/2022,36.90
14/03/2022,36.00
11/03/2022,36.40
10/03/2022,36.75
09/03/2022,36.85
08/03/2022,37.00
07/03/2022,37.70
04/03/2022,38.10
03/03/2022,37.45
02/03/2022,36.50
01/03/2022,37.75
28/02/2022,38.00
25/02/2022,38.20
24/02/2022,36.90
23/02/2022,35.90
22/02/2022,35.55
21/02/2022,35.90
18/02/2022,35.90
17/02/2022,36.30
16/02/2022,35.65
15/02/2022,35.95
14/02/2022,35.00
11/02/2022,36.60
10/02/2022,36.70
09/02/2022,37.10
08/02/2022,37.30
07/02/2022,36.30
28/01/2022,36.65
27/01/2022,35.45
26/01/2022,35.90
25/01/2022,34.90
24/01/2022,33.45
21/01/2022,34.30
20/01/2022,33.80
19/01/2022,33.50
18/01/2022,33.25
17/01/2022,33.05
14/01/2022,34.85
13/01/2022,35.25
12/01/2022,35.40
11/01/2022,34.30
10/01/2022,34.40
07/01/2022,34.60
06/01/2022,35.15
05/01/2022,35.50
04/01/2022,36.05
31/12/2021,35.80
30/12/2021,35.40
29/12/2021,34.75
28/12/2021,34.55
27/12/2021,34.35
24/12/2021,34.25
23/12/2021,32.40
22/12/2021,33.60
21/12/2021,34.15
20/12/2021,34.15
17/12/2021,33.80
16/12/2021,33.70
15/12/2021,34.65
14/12/2021,35.00
13/12/2021,35.40
10/12/2021,35.80
09/12/2021,35.60
08/12/2021,35.75
07/12/2021,35.65
06/12/2021,35.50
03/12/2021,35.70
02/12/2021,37.00
01/12/2021,37.90
30/11/2021,37.70
29/11/2021,38.40
26/11/2021,39.20
25/11/2021,38.00
24/11/2021,37.30
23/11/2021,36.25
22/11/2021,36.70
19/11/2021,36.20
18/11/2021,35.40
17/11/2021,36.15
16/11/2021,36.15
15/11/2021,36.15
12/11/2021,36.75
11/11/2021,36.50
10/11/2021,36.70
09/11/2021,37.05
08/11/2021,37.55
05/11/2021,37.95
04/11/2021,38.00
03/11/2021,38.40
02/11/2021,37.55
01/11/2021,37.55
29/10/2021,38.05
28/10/2021,38.60
27/10/2021,37.95
26/10/2021,37.05
25/10/2021,37.00
22/10/2021,37.20
21/10/2021,37.55
20/10/2021,38.30
19/10/2021,38.50
18/10/2021,38.40
15/10/2021,37.50
14/10/2021,36.95
13/10/2021,36.85
12/10/2021,36.70
11/10/2021,36.80
08/10/2021,35.90
07/10/2021,35.65
06/10/2021,61.60
05/10/2021,62.60
04/10/2021,63.00
01/10/2021,63.90
30/09/2021,65.90
29/09/2021,66.00
28/09/2021,66.80
27/09/2021,67.00
24/09/2021,67.00
23/09/2021,67.00
22/09/2021,66.80
21/09/2021,66.90
20/09/2021,67.50
17/09/2021,67.00
16/09/2021,65.00
15/09/2021,63.90
14/09/2021,63.90
13/09/2021,64.80
10/09/2021,64.60
09/09/2021,63.40
08/09/2021,62.00
07/09/2021,63.50
06/09/2021,61.10
01/09/2021,61.50
31/08/2021,61.60
30/08/2021,61.60
27/08/2021,61.20
26/08/2021,60.80
25/08/2021,61.40
24/08/2021,61.00
23/08/2021,60.60
20/08/2021,62.50
19/08/2021,64.60
18/08/2021,64.00
17/08/2021,65.10
16/08/2021,65.60
13/08/2021,63.60
12/08/2021,61.90
11/08/2021,61.20
10/08/2021,60.50
09/08/2021,61.00
06/08/2021,60.60
05/08/2021,61.80
04/08/2021,60.50
03/08/2021,60.80
02/08/2021,60.40
30/07/2021,61.00
29/07/2021,57.70
28/07/2021,56.30
27/07/2021,57.00
26/07/2021,56.70
23/07/2021,58.50
22/07/2021,60.80
21/07/2021,60.30
20/07/2021,60.60
19/07/2021,60.00
16/07/2021,64.50
15/07/2021,64.00
14/07/2021,61.50
13/07/2021,64.00
12/07/2021,64.00
09/07/2021,68.80
08/07/2021,69.30
07/07/2021,70.70
06/07/2021,71.00
05/07/2021,72.70
02/07/2021,72.10
01/07/2021,70.40
30/06/2021,67.70
29/06/2021,66.90
28/06/2021,68.00
25/06/2021,68.20
24/06/2021,68.60
23/06/2021,69.00
22/06/2021,66.00
21/06/2021,66.50
18/06/2021,66.50
17/06/2021,66.00
16/06/2021,66.80
15/06/2021,66.50
14/06/2021,70.90
11/06/2021,71.70
10/06/2021,71.80
09/06/2021,71.80
