Date,Closing Price
10/05/2022,13.30
09/05/2022,13.35
06/05/2022,14.35
05/05/2022,14.50
04/05/2022,14.20
29/04/2022,15.25
28/04/2022,15.35
27/04/2022,15.10
26/04/2022,14.60
25/04/2022,14.25
22/04/2022,13.35
21/04/2022,12.50
20/04/2022,13.00
19/04/2022,13.95
18/04/2022,15.00
15/04/2022,16.10
14/04/2022,17.30
13/04/2022,17.80
12/04/2022,17.85
08/04/2022,19.15
07/04/2022,20.55
06/04/2022,21.60
05/04/2022,22.80
04/04/2022,22.75
01/04/2022,22.50
31/03/2022,21.90
30/03/2022,23.50
29/03/2022,24.95
28/03/2022,24.50
25/03/2022,26.30
24/03/2022,26.70
23/03/2022,26.65
22/03/2022,27.40
21/03/2022,26.70
18/03/2022,25.00
17/03/2022,25.80
16/03/2022,26.10
15/03/2022,25.90
14/03/2022,27.50
11/03/2022,26.50
10/03/2022,28.20
09/03/2022,29.50
08/03/2022,30.90
07/03/2022,30.25
04/03/2022,31.20
03/03/2022,33.00
02/03/2022,35.00
01/03/2022,34.00
28/02/2022,35.80
25/02/2022,37.95
24/02/2022,38.80
23/02/2022,38.80
22/02/2022,36.30
21/02/2022,39.00
18/02/2022,36.45
17/02/2022,34.10
16/02/2022,31.90
15/02/2022,29.85
14/02/2022,27.90
11/02/2022,26.10
10/02/2022,28.00
09/02/2022,29.00
08/02/2022,30.80
07/02/2022,29.10
28/01/2022,27.20
27/01/2022,28.80
26/01/2022,28.40
25/01/2022,30.50
24/01/2022,30.00
21/01/2022,29.05
20/01/2022,27.30
19/01/2022,29.15
18/01/2022,31.30
17/01/2022,29.45
14/01/2022,27.80
13/01/2022,26.10
12/01/2022,28.00
11/01/2022,30.10
10/01/2022,32.35
07/01/2022,30.65
06/01/2022,28.75
05/01/2022,26.90
04/01/2022,28.90
31/12/2021,31.00
30/12/2021,30.25
29/12/2021,29.50
28/12/2021,28.00
27/12/2021,27.00
24/12/2021,26.75
23/12/2021,25.00
22/12/2021,26.80
21/12/2021,25.80
20/12/2021,25.65
17/12/2021,24.00
16/12/2021,25.00
15/12/2021,24.50
14/12/2021,23.10
13/12/2021,22.45
10/12/2021,21.00
09/12/2021,21.70
08/12/2021,21.45
07/12/2021,20.85
06/12/2021,19.55
03/12/2021,18.30
02/12/2021,18.10
01/12/2021,17.50
30/11/2021,17.60
29/11/2021,18.20
26/11/2021,18.00
25/11/2021,18.10
24/11/2021,18.10
23/11/2021,19.35
22/11/2021,20.50
19/11/2021,21.00
18/11/2021,21.00
17/11/2021,21.30
16/11/2021,22.70
15/11/2021,22.90
12/11/2021,23.00
11/11/2021,21.90
10/11/2021,20.50
09/11/2021,19.20
08/11/2021,19.10
05/11/2021,19.60
04/11/2021,19.50
03/11/2021,19.10
02/11/2021,20.50
01/11/2021,19.25
29/10/2021,19.50
28/10/2021,18.70
27/10/2021,20.10
26/10/2021,19.15
25/10/2021,17.90
22/10/2021,16.75
21/10/2021,15.70
20/10/2021,15.70
19/10/2021,15.15
18/10/2021,14.20
15/10/2021,13.85
14/10/2021,14.30
13/10/2021,13.40
12/10/2021,12.55
11/10/2021,11.75
08/10/2021,11.00
07/10/2021,10.45
06/10/2021,10.85
05/10/2021,10.40
04/10/2021,10.20
01/10/2021,10.15
30/09/2021,10.45
29/09/2021,10.00
28/09/2021,9.49
27/09/2021,8.89
24/09/2021,9.20
23/09/2021,9.78
22/09/2021,10.50
21/09/2021,10.30
20/09/2021,9.66
17/09/2021,9.03
16/09/2021,9.06
15/09/2021,9.00
14/09/2021,8.76
13/09/2021,8.72
10/09/2021,8.15
09/09/2021,7.79
08/09/2021,7.75
07/09/2021,7.84
06/09/2021,8.20
01/09/2021,7.99
31/08/2021,7.57
30/08/2021,7.48
27/08/2021,7.39
26/08/2021,7.22
25/08/2021,7.24
24/08/2021,7.40
23/08/2021,7.50
20/08/2021,7.60
19/08/2021,7.60
18/08/2021,7.59
17/08/2021,7.60
16/08/2021,7.84
13/08/2021,7.50
12/08/2021,7.78
11/08/2021,7.64
10/08/2021,7.74
09/08/2021,7.99
06/08/2021,7.47
05/08/2021,6.99
04/08/2021,6.87
03/08/2021,6.94
02/08/2021,7.11
30/07/2021,7.00
29/07/2021,6.97
28/07/2021,6.89
27/07/2021,6.97
26/07/2021,6.90
23/07/2021,6.78
22/07/2021,6.95
21/07/2021,6.60
20/07/2021,6.60
19/07/2021,6.48
16/07/2021,6.88
15/07/2021,6.88
14/07/2021,6.85
13/07/2021,6.90
12/07/2021,6.58
09/07/2021,7.05
08/07/2021,7.46
07/07/2021,7.50
06/07/2021,7.70
05/07/2021,7.76
02/07/2021,8.02
01/07/2021,8.12
30/06/2021,8.12
29/06/2021,8.12
28/06/2021,8.03
25/06/2021,8.20
24/06/2021,8.20
23/06/2021,8.46
22/06/2021,8.70
21/06/2021,8.95
18/06/2021,8.69
17/06/2021,8.39
16/06/2021,8.52
15/06/2021,8.37
14/06/2021,8.00
11/06/2021,8.00
10/06/2021,8.00
09/06/2021,8.10
08/06/2021,7.96
07/06/2021,8.20
04/06/2021,8.10
03/06/2021,8.19
02/06/2021,7.76
01/06/2021,7.76
31/05/2021,7.80
28/05/2021,7.91
27/05/2021,8.00
26/05/2021,8.10
25/05/2021,8.39
24/05/2021,8.24
21/05/2021,7.71
20/05/2021,7.21
19/05/2021,7.65
18/05/2021,7.90
17/05/2021,8.20
14/05/2021,8.30
13/05/2021,8.31
12/05/2021,8.55
11/05/2021,8.37
10/05/2021,8.39
07/05/2021,8.70
06/05/2021,8.90
05/05/2021,8.89
04/05/2021,8.61
29/04/2021,8.90
28/04/2021,8.85
27/04/2021,8.90
26/04/2021,9.05
23/04/2021,9.70
22/04/2021,9.35
20/04/2021,10.00
19/04/2021,10.20
16/04/2021,10.30
15/04/2021,10.70
14/04/2021,11.00
13/04/2021,10.95
12/04/2021,11.40
09/04/2021,11.10
08/04/2021,10.90
07/04/2021,11.30
06/04/2021,11.25
05/04/2021,11.05
02/04/2021,11.20
01/04/2021,11.30
31/03/2021,10.80
30/03/2021,10.65
29/03/2021,10.30
26/03/2021,10.25
25/03/2021,10.40
24/03/2021,10.35
23/03/2021,11.00
22/03/2021,10.80
19/03/2021,10.30
18/03/2021,10.55
17/03/2021,10.60
16/03/2021,10.70
15/03/2021,10.80
12/03/2021,10.70
11/03/2021,10.40
10/03/2021,9.75
09/03/2021,9.67
08/03/2021,9.69
05/03/2021,9.55
04/03/2021,9.45
03/03/2021,9.89
02/03/2021,9.80
01/03/2021,9.52
