Date,Closing Price
10/05/2022,10.00
09/05/2022,10.25
06/05/2022,11.00
05/05/2022,11.65
04/05/2022,11.50
29/04/2022,11.60
28/04/2022,11.70
27/04/2022,11.40
26/04/2022,11.10
25/04/2022,11.00
22/04/2022,11.00
21/04/2022,10.80
20/04/2022,11.40
19/04/2022,11.70
18/04/2022,11.75
15/04/2022,12.60
14/04/2022,12.80
13/04/2022,13.20
12/04/2022,12.65
08/04/2022,13.60
07/04/2022,14.05
06/04/2022,14.55
05/04/2022,15.00
04/04/2022,15.00
01/04/2022,15.50
31/03/2022,15.45
30/03/2022,15.75
29/03/2022,15.60
28/03/2022,15.30
25/03/2022,15.50
24/03/2022,15.70
23/03/2022,15.20
22/03/2022,15.30
21/03/2022,15.10
18/03/2022,15.00
17/03/2022,15.20
16/03/2022,15.60
15/03/2022,15.20
14/03/2022,15.20
11/03/2022,15.55
10/03/2022,15.25
09/03/2022,15.00
08/03/2022,14.05
07/03/2022,15.05
04/03/2022,14.50
03/03/2022,14.40
02/03/2022,13.50
01/03/2022,13.45
28/02/2022,13.25
25/02/2022,13.35
24/02/2022,13.20
23/02/2022,13.55
22/02/2022,13.20
21/02/2022,13.20
18/02/2022,12.55
17/02/2022,12.65
16/02/2022,12.60
15/02/2022,12.65
14/02/2022,12.80
11/02/2022,12.50
10/02/2022,12.30
09/02/2022,12.30
08/02/2022,12.30
07/02/2022,12.15
28/01/2022,11.70
27/01/2022,11.60
26/01/2022,11.85
25/01/2022,11.70
24/01/2022,11.70
21/01/2022,11.95
20/01/2022,12.05
19/01/2022,11.55
18/01/2022,11.30
17/01/2022,11.60
14/01/2022,12.00
13/01/2022,12.10
12/01/2022,12.65
11/01/2022,12.50
10/01/2022,13.00
07/01/2022,13.35
06/01/2022,13.30
05/01/2022,13.40
04/01/2022,13.20
31/12/2021,12.90
30/12/2021,12.80
29/12/2021,13.00
28/12/2021,12.65
27/12/2021,12.55
24/12/2021,12.65
23/12/2021,12.55
22/12/2021,12.85
21/12/2021,12.95
20/12/2021,12.95
17/12/2021,12.80
16/12/2021,12.75
15/12/2021,13.00
14/12/2021,12.35
13/12/2021,12.35
10/12/2021,12.35
09/12/2021,12.40
08/12/2021,11.70
07/12/2021,11.85
06/12/2021,11.10
03/12/2021,11.80
02/12/2021,12.05
01/12/2021,12.15
30/11/2021,12.10
29/11/2021,12.00
26/11/2021,12.25
25/11/2021,12.30
24/11/2021,12.40
23/11/2021,12.40
22/11/2021,12.00
19/11/2021,12.85
18/11/2021,13.60
17/11/2021,13.85
16/11/2021,13.90
15/11/2021,13.35
12/11/2021,13.25
11/11/2021,13.50
10/11/2021,13.60
09/11/2021,13.10
08/11/2021,12.95
05/11/2021,13.00
04/11/2021,13.00
03/11/2021,12.90
02/11/2021,13.40
01/11/2021,13.40
29/10/2021,13.65
28/10/2021,14.00
27/10/2021,14.05
26/10/2021,14.00
25/10/2021,13.80
22/10/2021,14.30
21/10/2021,13.70
20/10/2021,13.35
19/10/2021,12.80
18/10/2021,12.90
15/10/2021,13.15
14/10/2021,13.55
13/10/2021,13.20
12/10/2021,13.30
11/10/2021,13.20
08/10/2021,13.45
07/10/2021,13.55
06/10/2021,13.20
05/10/2021,12.90
04/10/2021,13.30
01/10/2021,12.45
30/09/2021,12.45
29/09/2021,12.50
28/09/2021,12.70
27/09/2021,12.35
24/09/2021,12.35
23/09/2021,12.90
22/09/2021,13.60
21/09/2021,13.50
20/09/2021,12.75
17/09/2021,11.95
16/09/2021,11.20
15/09/2021,11.35
14/09/2021,11.00
13/09/2021,11.50
10/09/2021,11.40
09/09/2021,11.20
08/09/2021,10.90
07/09/2021,11.25
06/09/2021,11.60
01/09/2021,10.85
31/08/2021,10.55
30/08/2021,10.85
27/08/2021,10.80
26/08/2021,10.15
25/08/2021,9.49
24/08/2021,9.50
23/08/2021,9.59
20/08/2021,9.83
19/08/2021,10.15
18/08/2021,9.99
17/08/2021,10.05
16/08/2021,10.50
13/08/2021,10.30
12/08/2021,10.35
11/08/2021,10.20
10/08/2021,9.57
09/08/2021,9.56
06/08/2021,9.18
05/08/2021,9.19
04/08/2021,9.13
03/08/2021,9.20
02/08/2021,9.06
30/07/2021,9.24
29/07/2021,8.94
28/07/2021,8.75
27/07/2021,8.68
26/07/2021,8.61
23/07/2021,8.77
22/07/2021,8.98
21/07/2021,8.98
20/07/2021,8.99
19/07/2021,8.60
16/07/2021,9.07
15/07/2021,9.22
14/07/2021,9.21
13/07/2021,9.03
12/07/2021,8.75
09/07/2021,9.10
08/07/2021,9.20
07/07/2021,9.20
06/07/2021,9.50
05/07/2021,10.00
02/07/2021,10.40
01/07/2021,9.72
30/06/2021,10.10
29/06/2021,10.55
28/06/2021,11.30
25/06/2021,10.60
24/06/2021,9.92
23/06/2021,9.28
22/06/2021,8.89
21/06/2021,8.86
18/06/2021,8.85
17/06/2021,8.75
16/06/2021,8.80
15/06/2021,8.95
14/06/2021,9.00
11/06/2021,9.00
10/06/2021,9.00
09/06/2021,9.55
08/06/2021,9.53
07/06/2021,9.95
04/06/2021,9.50
03/06/2021,9.47
02/06/2021,9.35
01/06/2021,9.18
31/05/2021,9.18
28/05/2021,8.99
27/05/2021,8.90
26/05/2021,9.05
25/05/2021,9.09
24/05/2021,8.97
21/05/2021,8.80
20/05/2021,8.85
19/05/2021,8.90
18/05/2021,8.79
17/05/2021,8.60
14/05/2021,8.70
13/05/2021,8.63
12/05/2021,8.69
11/05/2021,8.70
10/05/2021,8.72
07/05/2021,8.73
06/05/2021,8.74
05/05/2021,8.94
04/05/2021,8.74
29/04/2021,9.00
28/04/2021,9.00
27/04/2021,8.81
26/04/2021,8.97
23/04/2021,9.10
22/04/2021,9.00
20/04/2021,9.00
19/04/2021,9.20
16/04/2021,9.05
15/04/2021,9.20
14/04/2021,9.43
13/04/2021,9.60
12/04/2021,9.60
09/04/2021,9.74
08/04/2021,9.35
07/04/2021,9.40
06/04/2021,9.30
05/04/2021,9.35
02/04/2021,9.38
01/04/2021,9.37
31/03/2021,9.30
30/03/2021,9.35
29/03/2021,9.40
26/03/2021,9.10
25/03/2021,9.15
24/03/2021,9.21
23/03/2021,9.40
22/03/2021,9.45
19/03/2021,9.40
18/03/2021,9.43
17/03/2021,9.43
16/03/2021,9.38
15/03/2021,9.49
12/03/2021,9.57
11/03/2021,9.50
10/03/2021,9.40
09/03/2021,9.60
08/03/2021,9.55
05/03/2021,8.99
04/03/2021,8.99
03/03/2021,9.00
02/03/2021,9.04
01/03/2021,9.00
26/02/2021,8.80
25/02/2021,8.80
24/02/2021,8.80
23/02/2021,8.96
22/02/2021,8.92
19/02/2021,8.95
18/02/2021,8.89
17/02/2021,8.90
09/02/2021,8.59
08/02/2021,8.52
05/02/2021,8.50
04/02/2021,8.60
03/02/2021,8.47
02/02/2021,8.47
01/02/2021,8.28
29/01/2021,8.88
28/01/2021,8.51
27/01/2021,9.15
26/01/2021,9.20
25/01/2021,9.67
22/01/2021,9.70
21/01/2021,9.70
20/01/2021,9.59
19/01/2021,9.72
